Tarih,TP_GSYIH27_HY_ZH
2000-01-01,526862.453699305
2000-04-01,621092.380126563
2000-07-01,569263.625845754
2000-10-01,643440.641791542
2001-01-01,557065.434253885
2001-04-01,526233.085714656
2001-07-01,496777.173178504
2001-10-01,559649.470926898
2002-01-01,541279.887462068
2002-04-01,664797.372035643
2002-07-01,620706.152444698
2002-10-01,671019.290476719
2003-01-01,715611.815335669
2003-04-01,787017.666054632
2003-07-01,690068.49270433
2003-10-01,761812.931939008
2004-01-01,703861.78102267
2004-04-01,724325.319172258
2004-07-01,626639.522585203
2004-10-01,688139.228349771
2005-01-01,647887.386191776
2005-04-01,684104.02394454
2005-07-01,621070.599452405
2005-10-01,716744.979928791
2006-01-01,681188.611515379
2006-04-01,732179.251077219
2006-07-01,658487.890054079
2006-10-01,748429.624634334
2007-01-01,732423.331839133
2007-04-01,765027.998882318
2007-07-01,682477.299015362
2007-10-01,760562.891314208
2008-01-01,763684.684108266
2008-04-01,754199.602013178
2008-07-01,673113.200373902
2008-10-01,721409.2386305
2009-01-01,727481.973245742
2009-04-01,773223.271965601
2009-07-01,683441.959719318
2009-10-01,777505.287009797
2010-01-01,659797.678588305
2010-04-01,607085.402535657
2010-07-01,569463.941362852
2010-10-01,664400.149347874
2011-01-01,714393.210835927
2011-04-01,755573.797630531
2011-07-01,753101.843636376
2011-10-01,881989.334395843
2012-01-01,738781.296840662
2012-04-01,740538.947360218
2012-07-01,702828.629571658
2012-10-01,756582.606488804
2013-01-01,672363.230726331
2013-04-01,663040.613061561
2013-07-01,632741.669664644
2013-10-01,683599.574500207
2014-01-01,806010.515801891
2014-04-01,848399.7842645
2014-07-01,817721.353580796
2014-10-01,871273.989657968
2015-01-01,1102723.89026022
2015-04-01,1137674.48851038
2015-07-01,1079684.24079682
2015-10-01,1053057.38422979
2016-01-01,1124982.97090826
2016-04-01,1260899.66172287
2016-07-01,1260983.51552208
2016-10-01,1215258.71173545
2017-01-01,1205040.25109544
2017-04-01,1312223.873667829
2017-07-01,1166957.17605663
2017-10-01,1188349.57307309
2018-01-01,1522381.658953869
2018-04-01,1664431.63998101
2018-07-01,1441029.00969259
2018-10-01,1409734.73239421
2019-01-01,1527814.26337322
2019-04-01,1545254.59635262
2019-07-01,1351446.06937948
2019-10-01,1345180.73956225
2020-01-01,1826893.9960266
2020-04-01,1543110.97521013
2020-07-01,1608649.51413237
2020-10-01,1610242.36691077
2021-01-01,2101514.211288679
2021-04-01,1837538.649253
2021-07-01,1748540.37795894
2021-10-01,1793868.59210184
2022-01-01,2160907.84672986
2022-04-01,1840158.66052462
2022-07-01,1740180.41039415
2022-10-01,1797877.9236627
2023-01-01,2846186.16131144
2023-04-01,2202570.14456949
2023-07-01,1983855.8284586
2023-10-01,1993296.13068231
2024-01-01,3144493.4260928
2024-04-01,2480654.75294309
2024-07-01,2224208.73465852
2024-10-01,2265109.965304549
2025-01-01,3044552.062715409
2025-04-01,2422866.22290362
