Tarih,TP_GSYIH21_HY_ZH
2000-01-01,22811315.1951464
2000-04-01,25318003.8527171
2000-07-01,25498231.6691688
2000-10-01,28643290.5677284
2001-01-01,23002056.5092694
2001-04-01,25386857.909515
2001-07-01,25105522.1534992
2001-10-01,29460889.9192636
2002-01-01,24193733.6817885
2002-04-01,26744782.5573356
2002-07-01,27182958.02236659
2002-10-01,31038459.0188771
2003-01-01,24723962.46959729
2003-04-01,27091107.2688038
2003-07-01,27744774.71745289
2003-10-01,30466845.2285594
2004-01-01,26667637.69694019
2004-04-01,27357948.37948409
2004-07-01,27974480.0749842
2004-10-01,35743798.58501309
2005-01-01,27905108.15853089
2005-04-01,28300720.79698479
2005-07-01,29707469.5182508
2005-10-01,36458617.2528524
2006-01-01,30865128.87863609
2006-04-01,32987461.2520206
2006-07-01,33574682.5306579
2006-10-01,37787899.0967516
2007-01-01,33208674.16450029
2007-04-01,37689268.4258906
2007-07-01,35133695.49889619
2007-10-01,39114011.33091159
2008-01-01,35670045.43622809
2008-04-01,36894000.84271349
2008-07-01,37121275.7978119
2008-10-01,41087835.5986099
2009-01-01,36213554.7332846
2009-04-01,39011437.18105729
2009-07-01,39320310.470089
2009-10-01,49744416.0241471
2010-01-01,38575201.604676
2010-04-01,38457315.89472179
2010-07-01,39503757.1276843
2010-10-01,47433051.7209213
2011-01-01,37875184.4957981
2011-04-01,41909434.5256787
2011-07-01,40692575.30606549
2011-10-01,51077429.7126476
2012-01-01,41225347.04021909
2012-04-01,44135196.4122755
2012-07-01,44845471.1766254
2012-10-01,51124176.40795829
2013-01-01,45098778.3422254
2013-04-01,47795092.2307126
2013-07-01,48293025.3723679
2013-10-01,53658465.00335419
2014-01-01,49479704.0084516
2014-04-01,48248344.8374013
2014-07-01,49720629.3544754
2014-10-01,57601176.6566539
2015-01-01,43863492.2981564
2015-04-01,48362909.8248613
2015-07-01,47470946.2861768
2015-10-01,60020330.89283569
2016-01-01,48581398.3265248
2016-04-01,55980105.86284179
2016-07-01,50614200.54961349
2016-10-01,64955030.0430248
2017-01-01,52957348.40087299
2017-04-01,54743347.16838079
2017-07-01,54219823.98409079
2017-10-01,68709754.2565238
2018-01-01,55572672.23903899
2018-04-01,61195571.1049121
2018-07-01,58935784.7256024
2018-10-01,73596765.1778593
2019-01-01,59220418.71609599
2019-04-01,63430695.7137792
2019-07-01,63116714.0896421
2019-10-01,74892836.3099516
2020-01-01,60849773.1528699
2020-04-01,63265570.9919318
2020-07-01,64547522.3188598
2020-10-01,79209091.4641302
2021-01-01,60148697.2627466
2021-04-01,66014053.66368
2021-07-01,70754443.3261151
2021-10-01,82169275.6240814
2022-01-01,62871390.8613374
2022-04-01,67330739.0634341
2022-07-01,73796449.448236
2022-10-01,87750441.3027908
2023-01-01,65647187.259612
2023-04-01,71260228.9270467
2023-07-01,76159108.9639645
2023-10-01,85248820.14845788
2024-01-01,67188687.0633261
2024-04-01,69165591.4094254
2024-07-01,75970141.89624628
2024-10-01,83604950.9363707
2025-01-01,68457129.370257
2025-04-01,65597427.61667609
