Tarih,TP_GSYIH25_HY_ZH
2000-01-01,36009835.4103918
2000-04-01,40835136.4503372
2000-07-01,38622992.77419649
2000-10-01,41017823.4942253
2001-01-01,32381837.9663578
2001-04-01,28067042.74399759
2001-07-01,28844119.42280939
2001-10-01,29401300.1252316
2002-01-01,33746450.47730019
2002-04-01,33758308.6259732
2002-07-01,36409015.21256829
2002-10-01,40134349.68616119
2003-01-01,39465858.32503549
2003-04-01,41176145.95268549
2003-07-01,46368019.9824723
2003-10-01,50662525.70101249
2004-01-01,50938786.77416159
2004-04-01,54290727.4919925
2004-07-01,53107117.2230605
2004-10-01,56881287.79598189
2005-01-01,55843297.44618559
2005-04-01,59069485.37763369
2005-07-01,60644103.47196179
2005-10-01,65902107.739964
2006-01-01,62557842.0081489
2006-04-01,66669684.5173022
2006-07-01,62728643.3135854
2006-10-01,66845323.0268763
2007-01-01,67068010.706201
2007-04-01,69094353.80210958
2007-07-01,70800223.3122822
2007-10-01,76941598.9747901
2008-01-01,76636767.6529974
2008-04-01,71208145.34177738
2008-07-01,68903749.9137873
2008-10-01,58824361.42264679
2009-01-01,49773274.4594457
2009-04-01,57386738.16218969
2009-07-01,63515686.0427967
2009-10-01,65282448.80204179
2010-01-01,57777194.2104671
2010-04-01,70065644.3570028
2010-07-01,73728225.9426115
2010-10-01,80015393.0371176
2011-01-01,76069228.9010573
2011-04-01,84990118.6159652
2011-07-01,81909547.7635003
2011-10-01,79494525.7002784
2012-01-01,74184978.0464529
2012-04-01,84048566.72386628
2012-07-01,83348808.908306
2012-10-01,81978149.8094529
2013-01-01,81305957.40461358
2013-04-01,94278182.5293951
2013-07-01,89756298.8596263
2013-10-01,92117054.527557
2014-01-01,83296016.324252
2014-04-01,90242751.4574169
2014-07-01,88504269.231916
2014-10-01,95394281.7578177
2015-01-01,86141812.1052089
2015-04-01,92685048.2423295
2015-07-01,89936139.3802796
2015-10-01,96300820.2605219
2016-01-01,87824823.73746
2016-04-01,99046117.2621292
2016-07-01,90541972.6077813
2016-10-01,98324708.1630475
2017-01-01,89792546.3558438
2017-04-01,100869687.6760209
2017-07-01,104423192.1842129
2017-10-01,120805551.14798
2018-01-01,103188655.630049
2018-04-01,103662677.0083719
2018-07-01,91101687.5365895
2018-10-01,93354100.3583774
2019-01-01,72351456.358869
2019-04-01,84245261.7583084
2019-07-01,94625186.1184902
2019-10-01,119129330.1777909
2020-01-01,87406374.4519104
2020-04-01,77163432.3245742
2020-07-01,109367899.723221
2020-10-01,121755538.36326
2021-01-01,86319911.5857792
2021-04-01,92585481.15034468
2021-07-01,99523168.053476
2021-10-01,125717783.8039589
2022-01-01,88420522.21355549
2022-04-01,98584877.5657199
2022-07-01,112181914.2270279
2022-10-01,138317678.6082459
2023-01-01,100738966.031011
2023-04-01,118090480.263126
2023-07-01,128893031.904475
2023-10-01,142502083.90825
2024-01-01,97613190.8996795
2024-04-01,110193333.91805
2024-07-01,116045081.936679
2024-10-01,144820034.4659439
2025-01-01,100288320.3161499
2025-04-01,119924303.552403
