Tarih,TP_GSYIH24_HY_ZH
2000-01-01,30109544.3793255
2000-04-01,35102783.81518509
2000-07-01,38150993.50789289
2000-10-01,37182489.82154169
2001-01-01,33502171.3851048
2001-04-01,37168383.37684269
2001-07-01,39575457.8764166
2001-10-01,37378538.6402968
2002-01-01,34454009.04091449
2002-04-01,37817576.8507831
2002-07-01,43614967.70208919
2002-10-01,44299573.4781633
2003-01-01,37067954.66678389
2003-04-01,39053898.19234859
2003-07-01,49491100.73761469
2003-10-01,47296440.26967059
2004-01-01,41421669.0532542
2004-04-01,46571938.10424579
2004-07-01,52549977.43252699
2004-10-01,53829512.2628616
2005-01-01,46795283.08827149
2005-04-01,49610777.75363829
2005-07-01,56262924.51878439
2005-10-01,58236961.87168589
2006-01-01,49609717.9894696
2006-04-01,53407401.25128339
2006-07-01,58124287.5789723
2006-10-01,62268782.1572144
2007-01-01,55807047.0862748
2007-04-01,58434063.1295121
2007-07-01,60636112.5103776
2007-10-01,64414099.59667669
2008-01-01,63209260.7549452
2008-04-01,61292019.555535
2008-07-01,63888459.9194933
2008-10-01,60244953.23244079
2009-01-01,53530659.50232309
2009-04-01,55865552.68283739
2009-07-01,66605754.87606889
2009-10-01,64786372.4098578
2010-01-01,51744483.4389777
2010-04-01,62021993.1550078
2010-07-01,65359888.1709467
2010-10-01,67250861.9532973
2011-01-01,57403297.2860374
2011-04-01,64852636.4134531
2011-07-01,81065720.1293649
2011-10-01,76007779.3106651
2012-01-01,66059824.31955359
2012-04-01,81287012.1796428
2012-07-01,87853599.5909952
2012-10-01,86096212.17104518
2013-01-01,73115894.7576621
2013-04-01,85754106.27351458
2013-07-01,90098711.0099351
2013-10-01,87494370.4707399
2014-01-01,82312735.741897
2014-04-01,88545622.1248001
2014-07-01,97531880.8783546
2014-10-01,91724424.73489238
2015-01-01,84548759.3206949
2015-04-01,93109048.0243026
2015-07-01,105886395.1697469
2015-10-01,94777534.77365158
2016-01-01,84271095.4327366
2016-04-01,90619514.7221653
2016-07-01,95976737.49462108
2016-10-01,99147047.8351774
2017-01-01,94385408.1809457
2017-04-01,100305791.217813
2017-07-01,112359793.255564
2017-10-01,109032895.8591309
2018-01-01,93770094.1644067
2018-04-01,106317982.14345
2018-07-01,132958770.062248
2018-10-01,122671550.3967729
2019-01-01,101765721.7168679
2019-04-01,113011321.870269
2019-07-01,138873518.9930459
2019-10-01,123366754.2070019
2020-01-01,102056420.1194919
2020-04-01,72363103.669801
2020-07-01,103176492.4296649
2020-10-01,121129892.649055
2021-01-01,103878710.5220769
2021-04-01,114580105.7322729
2021-07-01,131876667.2625489
2021-10-01,148412842.1660049
2022-01-01,121301037.958036
2022-04-01,136797178.08039
2022-07-01,149740304.777877
2022-10-01,143265607.120236
2023-01-01,118195926.028325
2023-04-01,125211330.200596
2023-07-01,151141235.456052
2023-10-01,144017636.336519
2024-01-01,122400206.1597879
2024-04-01,124592868.5148089
2024-07-01,151420009.227988
2024-10-01,140545289.770354
2025-01-01,122569557.152052
2025-04-01,126760746.20517
