Tarih,TP_GSYIH26_HY_ZH
2000-01-01,163064170.7852649
2000-04-01,183201860.7330819
2000-07-01,200947758.8798609
2000-10-01,187537616.121277
2001-01-01,167584874.137129
2001-04-01,171292958.3495
2001-07-01,185919224.166635
2001-10-01,169841269.907808
2002-01-01,164419322.48309
2002-04-01,183634844.539126
2002-07-01,200295332.4952329
2002-10-01,190992338.0121479
2003-01-01,174108165.7780489
2003-04-01,189548835.5647979
2003-07-01,212506327.052895
2003-10-01,206053631.3720479
2004-01-01,190491423.872287
2004-04-01,211675868.4262889
2004-07-01,230564022.2489579
2004-10-01,227123850.5354909
2005-01-01,208044508.3205969
2005-04-01,226627773.4969609
2005-07-01,250367520.76563
2005-10-01,253161731.9389559
2006-01-01,221398908.367587
2006-04-01,249758568.487998
2006-07-01,263980948.860724
2006-10-01,269371685.1234899
2007-01-01,238087073.9321959
2007-04-01,255384150.0164929
2007-07-01,275326865.147674
2007-10-01,287024257.9430559
2008-01-01,255454357.686129
2008-04-01,262493656.297152
2008-07-01,279026884.5974119
2008-10-01,268562262.2029489
2009-01-01,217989286.4533689
2009-04-01,246205815.649787
2009-07-01,274728224.603901
2009-10-01,274586914.9158459
2010-01-01,234276479.6575919
2010-04-01,265672343.116068
2010-07-01,298492806.772614
2010-10-01,301644668.511133
2011-01-01,261479672.4797289
2011-04-01,295773538.671862
2011-07-01,332337198.913815
2011-10-01,331284951.33192
2012-01-01,278755008.862527
2012-04-01,310529912.707458
2012-07-01,345090685.1227869
2012-10-01,345194887.855619
2013-01-01,302751561.7042909
2013-04-01,341259457.3188549
2013-07-01,375033618.3230509
2013-10-01,369139087.826206
2014-01-01,327671992.613017
2014-04-01,350141451.1606799
2014-07-01,386464585.708096
2014-10-01,387773175.83411
2015-01-01,336426523.3682259
2015-04-01,373132886.5336719
2015-07-01,408584533.4728199
2015-10-01,418207167.220439
2016-01-01,353285915.925122
2016-04-01,392325924.145226
2016-07-01,405802584.312128
2016-10-01,435999851.636986
2017-01-01,372807576.962517
2017-04-01,413647676.328638
2017-07-01,455511212.2739859
2017-10-01,469676586.4732909
2018-01-01,402659336.9931089
2018-04-01,439699392.3879219
2018-07-01,469282501.60794
2018-10-01,459364221.87228
2019-01-01,394943586.4671779
2019-04-01,436166224.9356359
2019-07-01,475312812.246958
2019-10-01,487634655.103787
2020-01-01,411846213.356242
2020-04-01,391784931.454207
2020-07-01,505785683.505173
2020-10-01,516988423.9566569
2021-01-01,444647096.068306
2021-04-01,479506916.9378849
2021-07-01,547131514.074185
2021-10-01,570838174.58499
2022-01-01,479420805.4428579
2022-04-01,515717208.3429309
2022-07-01,569713378.7694
2022-10-01,588388856.8401479
2023-01-01,498407252.3117359
2023-04-01,539446294.2439429
2023-07-01,606746039.03639
2023-10-01,617274297.883784
2024-01-01,524652271.713764
2024-04-01,551584060.030158
2024-07-01,623875223.088732
2024-10-01,637028966.22509
2025-01-01,536670191.357191
2025-04-01,578085157.708301
