Tarih,TP_SEKBILB15A_G
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,76.0
2010-01-01,77.5
2011-01-01,77.7
2012-01-01,78.8
2013-01-01,79.7
2014-01-01,79.7
2015-01-01,79.6
2016-01-01,79.4
2017-01-01,79.7
2018-01-01,80.0
2019-01-01,81.1
2020-01-01,82.9
2021-01-01,84.2
2022-01-01,84.6
2023-01-01,86.9
