Tarih,TP_SEKBILB15A_J
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,29.0
2010-01-01,29.8
2011-01-01,32.1
2012-01-01,34.6
2013-01-01,40.7
2014-01-01,44.8
2015-01-01,41.8
2016-01-01,43.8
2017-01-01,44.4
2018-01-01,48.4
2019-01-01,50.5
2020-01-01,54.9
2021-01-01,57.5
2022-01-01,57.9
2023-01-01,62.0
