Tarih,TP_TUFE1YI_T102
2022-09-01,1278.11
2022-10-01,1364.07
2022-11-01,1424.55
2022-12-01,1460.77
2023-01-01,1556.77
2023-02-01,1590.99
2023-03-01,1653.55
2023-04-01,1720.95
2023-05-01,1768.22
2023-06-01,1840.11
2023-07-01,2015.03
2023-08-01,2169.78
2023-09-01,2316.15
2023-10-01,2383.61
2023-11-01,2435.47
2023-12-01,2478.41
2024-01-01,2713.15
2024-02-01,2787.46
2024-03-01,2839.23
2024-04-01,2934.62
2024-05-01,3012.76
2024-06-01,3091.08
2024-07-01,3151.33
2024-08-01,3228.46
2024-09-01,3283.45
2024-10-01,3334.99
2024-11-01,3401.83
2024-12-01,3522.96
2025-01-01,3646.38
2025-02-01,3754.33
2025-03-01,3755.71
2025-04-01,3933.27
2025-05-01,4043.19
2025-06-01,4078.84
2025-07-01,4177.76
2025-08-01,4240.17
2025-09-01,4292.22
