Tarih,TP_TUFE1YI_T76
2022-08-01,2255.27
2022-09-01,2259.34
2022-10-01,2293.21
2022-11-01,2237.44
2022-12-01,2270.59
2023-01-01,2320.64
2023-02-01,2355.76
2023-03-01,2431.88
2023-04-01,2499.95
2023-05-01,2521.26
2023-06-01,2709.01
2023-07-01,3030.01
2023-08-01,3092.79
2023-09-01,3092.29
2023-10-01,3114.76
2023-11-01,3203.73
2023-12-01,3334.25
2024-01-01,3460.89
2024-02-01,3541.91
2024-03-01,3700.47
2024-04-01,3695.05
2024-05-01,3678.38
2024-06-01,3689.22
2024-07-01,3717.18
2024-08-01,3795.14
2024-09-01,3918.55
2024-10-01,3906.99
2024-11-01,3898.31
2024-12-01,3921.29
2025-01-01,3947.34
2025-02-01,4025.79
2025-03-01,4102.96
2025-04-01,4258.01
2025-05-01,4317.62
2025-06-01,4378.57
2025-07-01,4468.37
2025-08-01,4479.98
2025-09-01,4555.73
