Tarih,TP_TUFE1YI_T121
2022-09-01,4678.42
2022-10-01,6719.6
2022-11-01,6224.42
2022-12-01,5010.65
2023-01-01,4282.93
2023-02-01,3795.62
2023-03-01,3290.66
2023-04-01,2972.45
2023-05-01,2678.93
2023-06-01,3452.89
2023-07-01,3240.24
2023-08-01,3468.45
2023-09-01,3540.1
2023-10-01,3476.13
2023-11-01,3888.88
2023-12-01,3235.53
2024-01-01,2892.59
2024-02-01,2701.16
2024-03-01,2780.43
2024-04-01,2915.45
2024-05-01,3510.74
2024-06-01,3644.41
2024-07-01,4046.53
2024-08-01,4179.92
2024-09-01,4309.79
2024-10-01,4230.98
2024-11-01,3845.66
2024-12-01,3348.08
2025-01-01,3318.11
2025-02-01,3304.73
2025-03-01,3210.9
2025-04-01,3409.49
2025-05-01,3949.06
2025-06-01,4731.06
2025-07-01,5000.39
2025-08-01,5486.17
2025-09-01,5497.97
