Tarih,TP_KM_K58
2022-05-01,29317.0
2022-06-01,32610.0
2022-07-01,38692.0
2022-08-01,38693.0
2022-09-01,181193.0
2022-10-01,167451.0
2022-11-01,203076.0
2022-12-01,25434.0
2023-01-01,25434.0
2023-02-01,25434.0
2023-03-01,25434.0
2023-04-01,25434.0
2023-05-01,25434.0
2023-06-01,29289.0
2023-07-01,29303.0
2023-08-01,29303.0
2023-09-01,29289.0
2023-10-01,29288.0
2023-11-01,29288.0
2023-12-01,29289.0
2024-01-01,29289.0
2024-02-01,29289.0
2024-03-01,29289.0
2024-04-01,29287.0
2024-05-01,29288.0
2024-06-01,38519.0
2024-07-01,55805.0
2024-08-01,33608.0
2024-09-01,33608.0
2024-10-01,33608.0
2024-11-01,33608.0
2024-12-01,33608.0
2025-01-01,30414.0
2025-02-01,33619.0
2025-03-01,33619.0
2025-04-01,33619.0
2025-05-01,33619.0
2025-06-01,6945.0
2025-07-01,6945.0
2025-08-01,6946.0
