Tarih,TP_KM_K48
2000-01-01,142121.0
2000-02-01,162423.0
2000-03-01,145965.0
2000-04-01,147213.0
2000-05-01,158245.0
2000-06-01,143606.0
2000-07-01,137051.0
2000-08-01,145536.0
2000-09-01,146129.0
2000-10-01,152786.0
2000-11-01,78339.0
2000-12-01,70647.0
2001-01-01,69012.0
2001-02-01,63580.0
2001-03-01,64452.0
2001-04-01,57548.0
2001-05-01,61569.0
2001-06-01,70796.0
2001-07-01,53114.0
2001-08-01,54377.0
2001-09-01,49347.0
2001-10-01,59069.0
2001-11-01,63612.0
2001-12-01,73150.0
2002-01-01,78546.0
2002-02-01,93234.0
2002-03-01,94452.0
2002-04-01,99352.0
2002-05-01,88237.0
2002-06-01,86900.0
2002-07-01,100805.0
2002-08-01,107595.0
2002-09-01,100607.0
2002-10-01,124232.0
2002-11-01,167423.0
2002-12-01,75433.0
2003-01-01,67960.0
2003-02-01,101005.0
2003-03-01,113775.0
2003-04-01,90519.0
2003-05-01,75925.0
2003-06-01,76781.0
2003-07-01,57432.0
2003-08-01,46314.0
2003-09-01,68600.0
2003-10-01,75101.0
2003-11-01,113836.0
2003-12-01,97201.0
2004-01-01,100845.0
2004-02-01,102785.0
2004-03-01,102997.0
2004-04-01,84165.0
2004-05-01,86643.0
2004-06-01,124454.0
2004-07-01,91070.0
2004-08-01,107042.0
2004-09-01,107542.0
2004-10-01,123234.0
2004-11-01,102073.0
2004-12-01,157810.0
2005-01-01,163664.0
2005-02-01,167573.0
2005-03-01,152066.0
2005-04-01,119033.0
2005-05-01,95682.0
2005-06-01,104212.0
2005-07-01,76259.0
2005-08-01,122654.0
2005-09-01,144488.0
2005-10-01,215934.0
2005-11-01,136832.0
2005-12-01,102471.0
2006-01-01,70174.0
2006-02-01,81191.0
2006-03-01,76126.0
2006-04-01,60926.0
2006-05-01,78062.0
2006-06-01,98667.0
2006-07-01,128204.0
2006-08-01,86968.0
2006-09-01,94512.0
2006-10-01,93440.0
2006-11-01,126469.0
2006-12-01,121023.0
2007-01-01,122316.0
2007-02-01,131585.0
2007-03-01,134764.0
2007-04-01,140810.0
2007-05-01,104016.0
2007-06-01,112455.0
2007-07-01,163081.0
2007-08-01,179684.0
2007-09-01,182382.0
2007-10-01,223039.0
2007-11-01,232916.0
2007-12-01,303084.0
2008-01-01,289658.0
2008-02-01,298732.0
2008-03-01,364431.0
2008-04-01,344212.0
2008-05-01,330696.0
2008-06-01,358971.0
2008-07-01,343863.0
2008-08-01,308566.0
2008-09-01,471955.0
2008-10-01,475706.0
2008-11-01,497587.0
2008-12-01,477406.0
2009-01-01,442754.0
2009-02-01,428805.0
2009-03-01,432569.0
2009-04-01,473643.0
2009-05-01,375648.0
2009-06-01,291833.0
2009-07-01,283760.0
2009-08-01,296268.0
2009-09-01,361833.0
2009-10-01,365530.0
2009-11-01,391956.0
2009-12-01,355228.0
2010-01-01,403872.0
2010-02-01,432167.0
2010-03-01,436521.0
2010-04-01,434475.0
2010-05-01,508037.0
2010-06-01,506726.0
2010-07-01,534395.0
2010-08-01,608738.0
2010-09-01,460908.0
2010-10-01,474758.0
2010-11-01,433486.0
2010-12-01,417209.0
2011-01-01,549157.0
2011-02-01,482062.0
2011-03-01,447764.0
2011-04-01,455471.0
2011-05-01,482980.0
2011-06-01,510681.0
2011-07-01,478677.0
2011-08-01,487169.0
2011-09-01,450553.0
2011-10-01,500148.0
2011-11-01,474310.0
2011-12-01,522996.0
2012-01-01,506473.0
2012-02-01,520617.0
2012-03-01,539182.0
2012-04-01,575059.0
2012-05-01,525089.0
2012-06-01,576478.0
2012-07-01,595931.0
2012-08-01,586048.0
2012-09-01,614440.0
2012-10-01,585878.0
2012-11-01,720729.0
2012-12-01,552561.0
2013-01-01,579743.0
2013-02-01,598178.0
2013-03-01,606289.0
2013-04-01,429906.0
2013-05-01,457081.0
2013-06-01,541166.0
2013-07-01,570338.0
2013-08-01,595662.0
2013-09-01,749622.0
2013-10-01,586758.0
2013-11-01,548322.0
2013-12-01,512255.0
2014-01-01,562080.0
2014-02-01,565375.0
2014-03-01,682399.0
2014-04-01,559699.0
2014-05-01,522077.0
2014-06-01,579915.0
2014-07-01,559108.0
2014-08-01,534981.0
2014-09-01,516190.0
2014-10-01,377598.0
2014-11-01,411082.0
2014-12-01,452084.0
2015-01-01,569352.0
2015-02-01,502434.0
2015-03-01,512653.0
2015-04-01,331809.0
2015-05-01,288018.0
