Tarih,TP_KM_K21
2000-01-01,453919.0
2000-02-01,457567.0
2000-03-01,511754.0
2000-04-01,478488.0
2000-05-01,472727.0
2000-06-01,433434.0
2000-07-01,357852.0
2000-08-01,327490.0
2000-09-01,272962.0
2000-10-01,299150.0
2000-11-01,301508.0
2000-12-01,271914.0
2001-01-01,227007.0
2001-02-01,352095.0
2001-03-01,252366.0
2001-04-01,256036.0
2001-05-01,283958.0
2001-06-01,308098.0
2001-07-01,271520.0
2001-08-01,273904.0
2001-09-01,269923.0
2001-10-01,267346.0
2001-11-01,278086.0
2001-12-01,318321.0
2002-01-01,353422.0
2002-02-01,329383.0
2002-03-01,308915.0
2002-04-01,346149.0
2002-05-01,343767.0
2002-06-01,344413.0
2002-07-01,181084.0
2002-08-01,57844.0
2002-09-01,136792.0
2002-10-01,55084.0
2002-11-01,57202.0
2002-12-01,41299.0
2003-01-01,25969.0
2003-02-01,13813.0
2003-03-01,15613.0
2003-04-01,15160.0
2003-05-01,16538.0
2003-06-01,3877.0
2003-07-01,3006.0
2003-08-01,5233.0
2003-09-01,4624.0
2003-10-01,5721.0
2003-11-01,5592.0
2003-12-01,6340.0
2004-01-01,6443.0
2004-02-01,6261.0
2004-03-01,6355.0
2004-04-01,5736.0
2004-05-01,4743.0
2004-06-01,4731.0
2004-07-01,5564.0
2004-08-01,6011.0
2004-09-01,7834.0
2004-10-01,7778.0
2004-11-01,9339.0
2004-12-01,10350.0
2005-01-01,684.0
2005-02-01,2606.0
2005-03-01,1688.0
2005-04-01,1959.0
2005-05-01,1953.0
2005-06-01,1493.0
2005-07-01,2287.0
2005-08-01,1753.0
2005-09-01,1306.0
2005-10-01,1283.0
2005-11-01,354.0
2005-12-01,168712.0
2006-01-01,190609.0
2006-02-01,195081.0
2006-03-01,115941.0
2006-04-01,125135.0
2006-05-01,103990.0
2006-06-01,83608.0
2006-07-01,90770.0
2006-08-01,101737.0
2006-09-01,104860.0
2006-10-01,113063.0
2006-11-01,105596.0
2006-12-01,97718.0
2007-01-01,109040.0
2007-02-01,106846.0
2007-03-01,102680.0
2007-04-01,102769.0
2007-05-01,104577.0
2007-06-01,103647.0
2007-07-01,105292.0
2007-08-01,96280.0
2007-09-01,103151.0
2007-10-01,97533.0
2007-11-01,98824.0
2007-12-01,97838.0
2008-01-01,78980.0
2008-02-01,78175.0
2008-03-01,70746.0
2008-04-01,80398.0
2008-05-01,74432.0
2008-06-01,30658.0
2008-07-01,30659.0
2008-08-01,30658.0
2008-09-01,30768.0
2008-10-01,33438.0
2008-11-01,30766.0
2008-12-01,30621.0
2009-01-01,30621.0
2009-02-01,34064.0
2009-03-01,70946.0
2009-04-01,30531.0
2009-05-01,30526.0
2009-06-01,30802.0
2009-07-01,30602.0
2009-08-01,30843.0
2009-09-01,21715.0
2009-10-01,29137.0
2009-11-01,23717.0
2009-12-01,40723.0
2010-01-01,23879.0
2010-02-01,23879.0
2010-03-01,23861.0
2010-04-01,23861.0
2010-05-01,26847.0
2010-06-01,28256.0
2010-07-01,27416.0
2010-08-01,29012.0
2010-09-01,26952.0
2010-10-01,27144.0
2010-11-01,26867.0
2010-12-01,26782.0
2011-01-01,26782.0
2011-02-01,26782.0
2011-03-01,26761.0
2011-04-01,27658.0
2011-05-01,26761.0
2011-06-01,26720.0
2011-07-01,30110.0
2011-08-01,30024.0
2011-09-01,30025.0
2011-10-01,29977.0
2011-11-01,30179.0
2011-12-01,27724.0
2012-01-01,28986.0
2012-02-01,27680.0
2012-03-01,25860.0
2012-04-01,25656.0
2012-05-01,25428.0
2012-06-01,28511.0
2012-07-01,29567.0
2012-08-01,29629.0
2012-09-01,30506.0
2012-10-01,33609.0
2012-11-01,41573.0
2012-12-01,29674.0
2013-01-01,27807.0
2013-02-01,28683.0
2013-03-01,29762.0
2013-04-01,52831.0
2013-05-01,121591.0
2013-06-01,106435.0
2013-07-01,86644.0
2013-08-01,89591.0
2013-09-01,73376.0
2013-10-01,65425.0
2013-11-01,69653.0
2013-12-01,91206.0
2014-01-01,66960.0
