Tarih,TP_KM_K43
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,516.0
2003-01-01,60102.0
2003-02-01,587.0
2003-03-01,504.0
2003-04-01,585.0
2003-05-01,575.0
2003-06-01,504.0
2003-07-01,489.0
2003-08-01,512.0
2003-09-01,570.0
2003-10-01,1193.0
2003-11-01,1214.0
2003-12-01,1420.0
2004-01-01,590.0
2004-02-01,601.0
2004-03-01,861.0
2004-04-01,820.0
2004-05-01,814.0
2004-06-01,864.0
2004-07-01,1015.0
2004-08-01,867.0
2004-09-01,819.0
2004-10-01,791.0
2004-11-01,804.0
2004-12-01,777.0
2005-01-01,977.0
2005-02-01,1128.0
2005-03-01,1084.0
2005-04-01,1094.0
2005-05-01,1084.0
2005-06-01,1067.0
2005-07-01,1461.0
2005-08-01,1687.0
2005-09-01,1150.0
2005-10-01,1152.0
2005-11-01,1153.0
2005-12-01,1153.0
2006-01-01,1153.0
2006-02-01,1154.0
2006-03-01,1154.0
2006-04-01,1154.0
2006-05-01,1152.0
2006-06-01,1153.0
2006-07-01,1440.0
2006-08-01,5674.0
2006-09-01,6156.0
2006-10-01,6122.0
2006-11-01,6144.0
2006-12-01,6233.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,32726.0
2010-02-01,32726.0
2010-03-01,32726.0
2010-04-01,32726.0
2010-05-01,32726.0
2010-06-01,32726.0
2010-07-01,32726.0
2010-08-01,32726.0
2010-09-01,32726.0
2010-10-01,32726.0
2010-11-01,32726.0
2010-12-01,32726.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,98.0
2013-07-01,98.0
2013-08-01,98.0
2013-09-01,98.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,184.0
2014-01-01,4075.0
2014-02-01,4244.0
2014-03-01,4247.0
2014-04-01,5149.0
2014-05-01,6096.0
2014-06-01,299.0
2014-07-01,300.0
2014-08-01,297.0
2014-09-01,310.0
2014-10-01,1314.0
2014-11-01,2254.0
2014-12-01,4752.0
2015-01-01,3164.0
2015-02-01,3164.0
2015-03-01,2946.0
2015-04-01,2856.0
2015-05-01,3077.0
2015-06-01,8846.0
2015-07-01,5772.0
2015-08-01,13740.0
2015-09-01,14246.0
2015-10-01,13758.0
2015-11-01,11434.0
2015-12-01,11754.0
2016-01-01,7228.0
2016-02-01,5859.0
2016-03-01,119.0
2016-04-01,12550.0
2016-05-01,22064.0
2016-06-01,12550.0
2016-07-01,12550.0
2016-08-01,12550.0
2016-09-01,12550.0
2016-10-01,12550.0
2016-11-01,12550.0
2016-12-01,12550.0
2017-01-01,15509.0
2017-02-01,13955.0
2017-03-01,2497.0
2017-04-01,1515.0
2017-05-01,1488.0
2017-06-01,1070.0
2017-07-01,73.0
2017-08-01,73.0
2017-09-01,4736.0
2017-10-01,4736.0
2017-11-01,4736.0
2017-12-01,14853.0
2018-01-01,14853.0
2018-02-01,15277.0
2018-03-01,14494.0
2018-04-01,11419.0
2018-05-01,31308.0
2018-06-01,2925.0
2018-07-01,2433.0
2018-08-01,8675.0
2018-09-01,22393.0
2018-10-01,7786.0
2018-11-01,14648.0
