Tarih,TP_DF_TE_HACM
2000-01-03,2000000.0
2000-01-04,22901898.46
2000-01-05,12429252.84
2000-01-06,13553312.12
2000-01-07,1779895.96
2000-01-10,
2000-01-11,27025729.74
2000-01-12,1784495.88
2000-01-13,526371.2
2000-01-14,19938339.36
2000-01-17,55376303.08
2000-01-18,48029470.64
2000-01-19,19001108.52
2000-01-20,7944365.2
2000-01-21,7881556.72
2000-01-24,14015403.66
2000-01-25,16749470.18
2000-01-26,14449420.68
2000-01-27,6497335.1
2000-01-28,6082942.18
2000-01-31,2414098.68
2000-02-01,20973865.5
2000-02-02,33158146.48
2000-02-03,44336142.3
2000-02-04,60127680.78
2000-02-07,92204288.92
2000-02-08,67386100.14
2000-02-09,71795951.4
2000-02-10,27969455.72
2000-02-11,18740159.54
2000-02-14,23311251.68
2000-02-15,16865822.64
2000-02-16,13408502.52
2000-02-17,20805325.7
2000-02-18,10024701.34
2000-02-21,2308800.32
2000-02-22,16610531.62
2000-02-23,13800000.0
2000-02-24,2262908.86
2000-02-25,2533441.42
2000-02-28,16416118.82
2000-02-29,12062925.1
2000-03-01,9171208.72
2000-03-02,10850140.66
2000-03-03,17493467.98
2000-03-06,13785033.34
2000-03-07,9440817.92
2000-03-08,12540507.18
2000-03-09,11558757.14
2000-03-10,14691859.72
2000-03-13,81956413.14
2000-03-14,20642895.44
2000-03-15,5791045.64
2000-03-16,
2000-03-17,
2000-03-20,13695522.82
2000-03-21,23042131.9
2000-03-22,13213694.28
2000-03-23,8185430.26
2000-03-24,8400000.0
2000-03-27,2789509.2
2000-03-28,1093928.68
2000-03-29,1091699.6
2000-03-30,1187170.32
2000-03-31,2092354.9
2000-04-03,5493126.18
2000-04-04,3378808.78
2000-04-05,13472752.08
2000-04-06,5695687.5
2000-04-07,7491207.38
2000-04-10,7622025.68
2000-04-11,4353149.7
2000-04-12,6017753.8
2000-04-13,7511662.42
2000-04-14,10157984.16
2000-04-17,16034043.38
2000-04-18,15024921.62
2000-04-19,20823042.54
2000-04-20,14845185.64
2000-04-21,10616395.32
2000-04-24,7972765.62
2000-04-25,8416883.74
2000-04-26,7812556.26
2000-04-27,2944289.48
2000-04-28,8322256.74
2000-05-01,6700652.36
2000-05-02,19822010.68
2000-05-03,2000000.0
2000-05-04,42903298.5
2000-05-05,34064046.12
2000-05-08,66686075.48
2000-05-09,42705648.62
2000-05-10,29846386.92
2000-05-11,40969128.94
2000-05-12,20106785.64
2000-05-15,23047159.42
2000-05-16,42450318.22
2000-05-17,12119622.62
2000-05-18,2000000.0
2000-05-19,
2000-05-22,18616177.68
2000-05-23,26252673.22
2000-05-24,16717890.9
2000-05-25,3278862.24
2000-05-26,12244763.16
2000-05-29,15128538.02
2000-05-30,10911700.1
2000-05-31,1164306.86
2000-06-01,2000000.0
2000-06-02,8744874.3
2000-06-05,12646899.28
2000-06-06,12524940.92
2000-06-07,10560062.4
2000-06-08,4273642.08
2000-06-09,6840223.24
2000-06-12,10208334.14
2000-06-13,5200000.0
2000-06-14,2784766.82
2000-06-15,13646481.58
2000-06-16,778399.42
2000-06-19,9565481.14
2000-06-20,3070631.08
2000-06-21,6457941.26
2000-06-22,2999516.2
2000-06-23,5105973.02
2000-06-26,12154096.46
2000-06-27,5154121.86
2000-06-28,2200000.0
2000-06-29,4768947.92
2000-06-30,12014467.32
2000-07-03,4800000.0
2000-07-04,400000.0
2000-07-05,6539676.06
2000-07-06,5750648.58
2000-07-07,3644668.9
2000-07-10,13763237.64
2000-07-11,1092056.06
2000-07-12,2580031.2
2000-07-13,8270393.54
2000-07-14,5386750.26
2000-07-17,4437246.38
2000-07-18,956525.9
2000-07-19,6444582.62
2000-07-20,5187700.42
2000-07-21,6344643.86
2000-07-24,4432938.46
2000-07-25,6372437.14
2000-07-26,7050420.8
2000-07-27,6331040.44
2000-07-28,3055105.26
2000-07-31,15470427.86
2000-08-01,5839255.5
2000-08-02,17303077.72
2000-08-03,1000000.0
2000-08-04,15159815.24
2000-08-07,5875829.12
2000-08-08,11563923.6
2000-08-09,922381.6
2000-08-10,12977600.22
2000-08-11,1849454.4
2000-08-14,11755548.3
2000-08-15,12292586.08
2000-08-16,13366620.08
2000-08-17,17700631.72
2000-08-18,25247085.8
2000-08-21,15892479.1
2000-08-22,13542004.88
2000-08-23,16413804.78
2000-08-24,20480614.48
2000-08-25,18539143.26
2000-08-28,18677042.36
2000-08-29,16427248.02
2000-08-30,
2000-08-31,12957563.8
2000-09-01,8353368.86
2000-09-04,29243685.5
2000-09-05,17973062.56
2000-09-06,15596733.2
2000-09-07,800000.0
2000-09-08,13899456.36
2000-09-11,15005480.9
2000-09-12,24191605.42
2000-09-13,17705996.54
2000-09-14,24585417.86
2000-09-15,14876220.82
2000-09-18,23606724.6
2000-09-19,19520307.24
2000-09-20,17412109.0
2000-09-21,1000000.0
2000-09-22,20995125.76
2000-09-25,13068690.52
2000-09-26,15352359.64
2000-09-27,12098351.52
2000-09-28,2542372.88
2000-09-29,24860759.48
2000-10-02,25715377.36
2000-10-03,13189201.34
2000-10-04,11400000.0
2000-10-05,1294254.4
2000-10-06,10572188.68
2000-10-09,7691546.52
2000-10-10,6977821.22
2000-10-11,16029029.38
2000-10-12,7565511.38
2000-10-13,3698748.94
2000-10-16,8957615.88
2000-10-17,20682164.6
2000-10-18,2000000.0
2000-10-19,10054466.22
2000-10-20,8386737.8
2000-10-23,10462876.82
2000-10-24,8914168.16
2000-10-25,3286602.34
2000-10-26,3048536.26
2000-10-27,6778235.7
2000-10-30,127006105.4
2000-10-31,55936174.26
2000-11-01,15224227.08
2000-11-02,23236065.56
2000-11-03,26464375.4
2000-11-06,31922623.22
2000-11-07,21986604.62
2000-11-08,2000000.0
2000-11-09,11664193.36
2000-11-10,9053746.88
2000-11-13,19504755.02
2000-11-14,1000000.0
2000-11-15,8801508.24
2000-11-16,7879309.4
2000-11-17,1975656.74
2000-11-20,9917792.04
2000-11-21,8376570.82
2000-11-22,11700454.76
2000-11-23,17809661.82
2000-11-24,20956380.72
2000-11-27,20785761.06
2000-11-28,6255336.78
2000-11-29,21401680.66
2000-11-30,19395528.98
2000-12-01,18610392.32
2000-12-04,75297785.8
2000-12-05,46101400.66
2000-12-06,50793044.4
2000-12-07,33520788.72
2000-12-08,20202683.02
2000-12-11,10533891.88
2000-12-12,9908457.04
2000-12-13,5300269.24
2000-12-14,2564248.6
2000-12-15,11472057.82
2000-12-18,12706250.0
2000-12-19,5007648.96
2000-12-20,11048814.34
2000-12-21,16030255.82
2000-12-22,11287752.22
2000-12-25,37447777.4
2000-12-26,20507876.26
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,9718883.28
2001-01-03,27734438.22
2001-01-04,21210962.24
2001-01-05,17290873.96
2001-01-08,16011341.56
2001-01-09,15056127.14
2001-01-10,6213453.94
2001-01-11,5331685.02
2001-01-12,5475955.02
2001-01-15,6026372.98
2001-01-16,8302482.52
2001-01-17,12758167.28
2001-01-18,8891258.4
2001-01-19,6368623.66
2001-01-22,10092970.72
2001-01-23,11046840.0
2001-01-24,8189064.52
2001-01-25,15163856.56
2001-01-26,36319011.04
2001-01-29,4566304.86
2001-01-30,9691422.12
2001-01-31,3576028.2
2001-02-01,14459700.78
2001-02-02,1000000.0
2001-02-05,15800000.0
2001-02-06,11388095.8
2001-02-07,17881135.22
2001-02-08,15028965.3
2001-02-09,14049974.1
2001-02-12,13883179.14
2001-02-13,22079893.6
2001-02-14,11980624.34
2001-02-15,9170548.44
2001-02-16,26533023.68
2001-02-19,64749125.5
2001-02-20,36127742.96
2001-02-21,29044881.7
2001-02-22,400000.0
2001-02-23,6970301.8
