Tarih,TP_DF_PT_HACM
2000-01-03,2122051124.0
2000-01-04,805913737.82
2000-01-05,1340141252.84
2000-01-06,870860101.26
2000-01-07,258339895.96
2000-01-10,
2000-01-11,589941515.24
2000-01-12,299926074.94
2000-01-13,828707846.12
2000-01-14,1276150339.36
2000-01-17,393702763.06
2000-01-18,5040502670.64
2000-01-19,937357268.54
2000-01-20,1244707565.2
2000-01-21,626216819.1
2000-01-24,666284203.66
2000-01-25,1233886985.62
2000-01-26,322481820.68
2000-01-27,765682741.76
2000-01-28,1009926942.18
2000-01-31,573033522.26
2000-02-01,1986271865.5
2000-02-02,2274936194.3
2000-02-03,1048162542.3
2000-02-04,1371501475.76
2000-02-07,1308053088.92
2000-02-08,735410714.86
2000-02-09,1325633551.4
2000-02-10,739465688.66
2000-02-11,814440159.54
2000-02-14,1586384982.4
2000-02-15,516865822.64
2000-02-16,1016101572.7
2000-02-17,1445272525.7
2000-02-18,1806042764.22
2000-02-21,1359848638.72
2000-02-22,1014667004.12
2000-02-23,313970000.0
2000-02-24,1267991425.46
2000-02-25,498137441.42
2000-02-28,545067297.7
2000-02-29,943495725.1
2000-03-01,1932218827.88
2000-03-02,673050940.66
2000-03-03,705630706.44
2000-03-06,980767433.34
2000-03-07,550028673.28
2000-03-08,730080507.18
2000-03-09,711798883.1
2000-03-10,870539859.72
2000-03-13,724110057.18
2000-03-14,580814895.44
2000-03-15,1065231045.64
2000-03-16,
2000-03-17,
2000-03-20,1200080722.82
2000-03-21,709031779.2
2000-03-22,420729294.28
2000-03-23,1353249821.3
2000-03-24,624400000.0
2000-03-27,347741780.28
2000-03-28,36983928.68
2000-03-29,776589822.48
2000-03-30,344327170.32
2000-03-31,914363665.22
2000-04-03,180781126.18
2000-04-04,407782699.9
2000-04-05,221472752.08
2000-04-06,1158928627.04
2000-04-07,782705207.38
2000-04-10,761782469.92
2000-04-11,309207149.7
2000-04-12,290263587.82
2000-04-13,731511662.42
2000-04-14,1287430189.06
2000-04-17,1152102843.38
2000-04-18,910069508.62
2000-04-19,278823042.54
2000-04-20,534516960.62
2000-04-21,214616395.32
2000-04-24,992899320.9
2000-04-25,392574883.74
2000-04-26,1051175646.12
2000-04-27,214944289.48
2000-04-28,1087053055.66
2000-05-01,506700652.36
2000-05-02,1442907536.36
2000-05-03,1420876076.3
2000-05-04,429751392.82
2000-05-05,487984046.12
2000-05-08,838766268.8
2000-05-09,355586048.62
2000-05-10,763426838.62
2000-05-11,518277128.94
2000-05-12,1717459282.44
2000-05-15,399922759.42
2000-05-16,380822082.98
2000-05-17,974547622.62
2000-05-18,1944492849.48
2000-05-19,
2000-05-22,1054969777.68
2000-05-23,768947316.08
2000-05-24,415021890.9
2000-05-25,1197607908.56
2000-05-26,736324763.16
2000-05-29,266873286.18
2000-05-30,748436500.1
2000-05-31,1001670877.98
2000-06-01,2243875036.9
2000-06-02,583550586.2
2000-06-05,1206851699.28
2000-06-06,681186285.28
2000-06-07,467956062.4
2000-06-08,670090199.98
2000-06-09,309752223.24
2000-06-12,712003450.14
2000-06-13,422573600.0
2000-06-14,699515629.98
2000-06-15,203354481.58
2000-06-16,942918748.16
2000-06-19,614800681.14
2000-06-20,801623025.64
2000-06-21,367515941.26
2000-06-22,736215166.3
2000-06-23,466789973.02
2000-06-26,1495620925.16
2000-06-27,334967321.86
2000-06-28,977889575.2
2000-06-29,365733347.92
2000-06-30,2343810091.04
2000-07-03,485889600.0
2000-07-04,386345865.6
2000-07-05,1122902876.06
2000-07-06,487584638.4
2000-07-07,613820668.9
2000-07-10,388617635.7
2000-07-11,79748056.06
2000-07-12,935181920.48
2000-07-13,1171108393.54
2000-07-14,553143414.02
2000-07-17,847829246.38
2000-07-18,444754671.32
2000-07-19,186580582.62
2000-07-20,1595732805.28
2000-07-21,533772643.86
2000-07-24,744444967.04
2000-07-25,212496437.14
2000-07-26,3257633625.34
2000-07-27,2899911040.44
2000-07-28,685027884.98
2000-07-31,688578827.86
2000-08-01,153369036.34
2000-08-02,188113077.72
2000-08-03,361295850.78
2000-08-04,170000615.24
2000-08-07,375518134.86
2000-08-08,63551123.6
2000-08-09,648116608.48
2000-08-10,217309200.22
2000-08-11,1208242718.58
2000-08-14,321737548.3
2000-08-15,852451836.04
2000-08-16,624747420.08
2000-08-17,1217618323.66
2000-08-18,415507885.8
2000-08-21,422990596.72
2000-08-22,772596004.88
2000-08-23,1536980797.68
2000-08-24,394979014.48
2000-08-25,1440247838.04
2000-08-28,726092242.36
2000-08-29,1778425137.18
2000-08-30,
2000-08-31,967979963.8
2000-09-01,2829389789.08
2000-09-04,320123685.5
2000-09-05,1136059408.76
2000-09-06,721741533.2
2000-09-07,710286762.68
2000-09-08,417629456.36
2000-09-11,661187877.52
2000-09-12,915175605.42
2000-09-13,1145762218.92
2000-09-14,742403817.86
2000-09-15,1273149388.28
2000-09-18,498946724.6
2000-09-19,571935211.28
2000-09-20,866944909.0
2000-09-21,1250139296.9
2000-09-22,498638325.76
2000-09-25,428897645.0
2000-09-26,770823159.64
2000-09-27,1427992021.8
2000-09-28,1589726372.88
2000-09-29,1204640470.12
2000-10-02,1258613377.36
2000-10-03,963971441.12
2000-10-04,90448000.0
2000-10-05,611965661.46
2000-10-06,1115368188.68
2000-10-09,149696743.44
2000-10-10,733360621.22
2000-10-11,839091383.06
2000-10-12,1024264711.38
2000-10-13,584213210.38
2000-10-16,674583615.88
2000-10-17,598678789.92
2000-10-18,1116351455.88
2000-10-19,505006542.0
2000-10-20,116585137.8
2000-10-23,1234471908.08
2000-10-24,688383768.16
2000-10-25,630949637.9
2000-10-26,777774136.26
2000-10-27,1723229160.8
2000-10-30,745001705.4
2000-10-31,1892646943.18
2000-11-01,844684627.08
2000-11-02,2108466755.96
2000-11-03,223147575.4
2000-11-06,769831421.2
2000-11-07,1001974604.62
2000-11-08,1055261032.84
2000-11-09,413382593.36
2000-11-10,1365136652.18
2000-11-13,735229555.02
2000-11-14,1003105947.5
2000-11-15,1123171508.24
2000-11-16,1734186847.78
2000-11-17,589487656.74
2000-11-20,1395801042.18
2000-11-21,959667370.82
2000-11-22,6937825435.42
2000-11-23,1643303789.82
2000-11-24,2073663823.18
2000-11-27,3523250961.06
2000-11-28,5279536338.8
2000-11-29,4343065680.66
2000-11-30,4654140580.14
2000-12-01,4821766392.32
2000-12-04,4797493228.18
2000-12-05,2321031800.66
2000-12-06,3478592030.42
2000-12-07,4483036788.72
2000-12-08,2846538668.18
2000-12-11,1154657091.88
2000-12-12,1448269488.12
2000-12-13,1688351069.24
2000-12-14,1587350797.72
2000-12-15,1068953657.82
2000-12-18,1410979434.92
2000-12-19,476254848.96
2000-12-20,2286685190.4
2000-12-21,3214972255.82
2000-12-22,3724011234.64
2000-12-25,1237447777.4
2000-12-26,1212253529.26
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,4054474083.28
2001-01-03,4233326186.44
2001-01-04,2569240562.24
2001-01-05,1711794531.68
2001-01-08,1023461341.56
2001-01-09,2152425718.64
2001-01-10,879370653.94
2001-01-11,2029112373.36
2001-01-12,1054969555.02
2001-01-15,155373187.38
2001-01-16,546243282.52
2001-01-17,1053378393.94
2001-01-18,383194458.4
2001-01-19,1159532028.84
2001-01-22,467680970.72
2001-01-23,936392860.42
2001-01-24,991123864.52
2001-01-25,588916612.3
2001-01-26,884152611.04
2001-01-29,684130795.66
2001-01-30,1378162622.12
2001-01-31,2811027177.42
2001-02-01,2206451300.78
2001-02-02,1337159883.66
2001-02-05,995092000.0
2001-02-06,1156029967.2
2001-02-07,1459439535.22
2001-02-08,582440383.62
2001-02-09,883512374.1
2001-02-12,2226295831.5
2001-02-13,1877227893.6
2001-02-14,1025092049.24
2001-02-15,300517748.44
2001-02-16,926991751.1
2001-02-19,23944009925.5
2001-02-20,18876043039.22
2001-02-21,16329760881.7
2001-02-22,853148163.84
2001-02-23,86970301.78
2001-02-26,2499224540.72
2001-02-27,342774530.58
2001-02-28,2227723344.22
2001-03-01,196557728.48
2001-03-02,2773239592.66
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,87863520.16
2001-03-12,2853840217.96
2001-03-13,486496094.04
2001-03-14,2318080536.26
2001-03-15,1169761353.66
2001-03-16,1950343030.02
2001-03-19,429574828.36
2001-03-20,1429756994.96
2001-03-21,452973210.16
2001-03-22,1412411757.7
2001-03-23,420001273.12
2001-03-26,1794123951.78
2001-03-27,1029454949.26
2001-03-28,2114497256.34
2001-03-29,848758876.54
2001-03-30,1980907385.0
2001-04-02,810344018.04
2001-04-03,1392328933.56
2001-04-04,287822040.1
2001-04-05,950852937.82
2001-04-06,757868262.14
2001-04-09,1418907761.12
2001-04-10,1702020996.78
2001-04-11,1621465887.06
2001-04-12,1768550661.56
2001-04-13,543157124.74
2001-04-16,1453498965.9
2001-04-17,1486352575.92
2001-04-18,1158403902.24
2001-04-19,1006341924.28
2001-04-20,2439416179.52
2001-04-23,
2001-04-24,1290854977.1
2001-04-25,1900417140.86
2001-04-26,1095692616.32
2001-04-27,884412640.8
2001-04-30,1066025911.68
2001-05-01,1443288951.5
2001-05-02,1507593588.56
2001-05-03,1385074911.18
2001-05-04,904232403.92
2001-05-07,1322566333.5
2001-05-08,1218724876.98
2001-05-09,1632125431.2
2001-05-10,1144175773.64
2001-05-11,1045559078.16
2001-05-14,781640311.98
2001-05-15,922884557.28
2001-05-16,1349289074.4
2001-05-17,890270525.52
2001-05-18,927387508.4
2001-05-21,823566747.36
2001-05-22,667294848.34
2001-05-23,883104157.72
2001-05-24,813545215.76
2001-05-25,752320130.24
2001-05-28,121466254.58
2001-05-29,642801690.9
2001-05-30,1162761144.48
2001-05-31,949889038.26
2001-06-01,530884410.84
2001-06-04,464197304.66
2001-06-05,521166393.78
2001-06-06,911299128.18
2001-06-07,725773832.76
2001-06-08,469793944.74
2001-06-11,842632553.88
2001-06-12,508537456.84
2001-06-13,491035595.4
2001-06-14,1006075965.46
2001-06-15,521060487.06
2001-06-18,646526946.82
2001-06-19,1197388404.78
2001-06-20,1218177805.12
2001-06-21,1105866290.66
2001-06-22,709335246.08
2001-06-25,660743497.86
2001-06-26,1079477665.4
2001-06-27,1011727167.26
2001-06-28,828170375.2
2001-06-29,597572539.8
2001-07-02,796684529.62
2001-07-03,1363368273.16
2001-07-04,106574879.5
2001-07-05,967897333.38
2001-07-06,770387013.98
2001-07-09,551005422.46
2001-07-10,354907842.12
2001-07-11,1686177442.54
2001-07-12,1029394278.86
2001-07-13,844145143.04
2001-07-16,538594638.54
2001-07-17,451660103.4
2001-07-18,1497977845.08
2001-07-19,905993626.62
2001-07-20,931899887.28
2001-07-23,909764552.88
2001-07-24,577176461.42
2001-07-25,1516837423.12
2001-07-26,1248977349.0
2001-07-27,1263152854.72
2001-07-30,770742973.1
2001-07-31,811928874.2
2001-08-01,1119095351.02
2001-08-02,1185275090.54
2001-08-03,738200285.7
2001-08-06,765832422.52
2001-08-07,773654205.36
2001-08-08,1013371294.36
2001-08-09,1237198934.66
2001-08-10,1098282750.66
2001-08-13,833508967.36
2001-08-14,429912130.72
2001-08-15,1293695311.44
2001-08-16,1000611238.88
2001-08-17,491969168.88
2001-08-20,565620321.98
2001-08-21,394540977.3
2001-08-22,807370371.32
2001-08-23,1485211183.56
2001-08-24,628738361.74
2001-08-27,935281328.76
2001-08-28,752023387.36
2001-08-29,1383338608.84
2001-08-30,
2001-08-31,780634318.64
2001-09-03,32749583.9
2001-09-04,702768639.66
2001-09-05,451140656.8
2001-09-06,1361356335.46
2001-09-07,659354043.5
2001-09-10,891955888.98
2001-09-11,505441688.18
2001-09-12,329946186.94
2001-09-13,1131073158.86
2001-09-14,322342488.1
2001-09-17,557540970.6
2001-09-18,580916171.58
2001-09-19,743587220.3
2001-09-20,1092164591.74
2001-09-21,524105330.18
2001-09-24,891578459.68
2001-09-25,788263528.34
2001-09-26,360106577.44
2001-09-27,1025158191.86
2001-09-28,431018127.9
2001-10-01,754988491.54
2001-10-02,624712615.82
2001-10-03,592213142.18
2001-10-04,744622333.5
2001-10-05,827693580.18
2001-10-08,196386291.84
2001-10-09,737851106.12
2001-10-10,490667807.34
2001-10-11,907494178.56
2001-10-12,390577610.84
2001-10-15,595298226.48
2001-10-16,709856663.82
2001-10-17,438736568.0
2001-10-18,747155260.74
2001-10-19,275747320.3
2001-10-22,924196648.2
2001-10-23,649028631.42
2001-10-24,450343790.92
2001-10-25,879324592.98
2001-10-26,783827705.3
2001-10-29,
2001-10-30,606428004.06
2001-10-31,543908662.9
2001-11-01,720383900.86
2001-11-02,365199587.54
2001-11-05,722487298.58
2001-11-06,258798587.32
2001-11-07,512669744.28
2001-11-08,708166398.32
2001-11-09,677851435.52
2001-11-12,69656567.04
2001-11-13,675502334.64
2001-11-14,451375630.72
2001-11-15,610573601.64
2001-11-16,342241023.0
2001-11-19,423210076.22
2001-11-20,292346556.78
2001-11-21,766926225.08
2001-11-22,92721516.6
2001-11-23,536740407.58
2001-11-26,499993496.54
2001-11-27,381074804.4
2001-11-28,412039433.56
2001-11-29,462111036.96
2001-11-30,492298025.78
2001-12-03,324526753.06
2001-12-04,393425052.7
2001-12-05,490140828.02
2001-12-06,624819461.32
2001-12-07,411187385.24
2001-12-10,355378819.56
2001-12-11,323396177.68
2001-12-12,314070325.92
2001-12-13,849884723.48
2001-12-14,892581278.42
2001-12-17,
2001-12-18,
2001-12-19,465971119.28
2001-12-20,480909621.34
2001-12-21,400038493.34
2001-12-24,1082311361.62
2001-12-25,63820395.28
2001-12-26,661293369.46
2001-12-27,740675059.42
2001-12-28,795038068.98
2001-12-31,1029380529.92
2002-01-01,
2002-01-02,310983503.0
2002-01-03,468628867.58
2002-01-04,345544176.68
2002-01-07,199961471.7
2002-01-08,598800709.74
2002-01-09,432386409.56
2002-01-10,230940330.38
2002-01-11,388498639.12
2002-01-14,139203791.68
2002-01-15,323754881.7
2002-01-16,159691468.46
2002-01-17,710773229.98
2002-01-18,432516913.54
2002-01-21,23238719.36
2002-01-22,544236258.2
2002-01-23,204795195.82
2002-01-24,412236689.52
2002-01-25,615688424.92
2002-01-28,208103666.54
2002-01-29,84675591.96
2002-01-30,173232013.56
2002-01-31,307468906.74
2002-02-01,296546449.6
2002-02-04,279640831.6
2002-02-05,280694915.5
2002-02-06,453443475.46
2002-02-07,363306970.08
2002-02-08,512484892.04
2002-02-11,240859961.4
2002-02-12,350562765.58
