Tarih,TP_DF_DE_HACM
2000-01-03,48295777.48
2000-01-04,114819433.72
2000-01-05,36782312.18
2000-01-06,41005967.14
2000-01-07,2547500.24
2000-01-10,
2000-01-11,43005944.1
2000-01-12,32894261.22
2000-01-13,14293733.06
2000-01-14,21113349.14
2000-01-17,3366339.12
2000-01-18,8511020.5
2000-01-19,15844960.02
2000-01-20,19716483.8
2000-01-21,11926140.2
2000-01-24,18618895.34
2000-01-25,11087115.44
2000-01-26,8132184.98
2000-01-27,5144006.66
2000-01-28,22784143.04
2000-01-31,11136223.58
2000-02-01,15719934.0
2000-02-02,9512047.82
2000-02-03,12832368.1
2000-02-04,22156129.14
2000-02-07,27544476.94
2000-02-08,39763614.72
2000-02-09,14003076.94
2000-02-10,12028232.94
2000-02-11,19231942.04
2000-02-14,6045730.72
2000-02-15,8557862.4
2000-02-16,6760070.18
2000-02-17,7686509.24
2000-02-18,23150896.88
2000-02-21,2265846.4
2000-02-22,13937526.5
2000-02-23,16536766.54
2000-02-24,24091316.6
2000-02-25,10794397.48
2000-02-28,2726973.24
2000-02-29,8437072.46
2000-03-01,11333219.16
2000-03-02,9045360.6
2000-03-03,13722106.46
2000-03-06,15766421.32
2000-03-07,9605855.36
2000-03-08,6586938.22
2000-03-09,8363659.96
2000-03-10,14370147.08
2000-03-13,10332842.04
2000-03-14,8700172.58
2000-03-15,2120000.0
2000-03-16,
2000-03-17,
2000-03-20,6246421.24
2000-03-21,12745859.3
2000-03-22,11918926.16
2000-03-23,6986655.04
2000-03-24,6405735.18
2000-03-27,10657471.08
2000-03-28,7280456.4
2000-03-29,6735182.58
2000-03-30,8650040.62
2000-03-31,10277310.32
2000-04-03,4537685.26
2000-04-04,7516691.12
2000-04-05,2615524.34
2000-04-06,4173939.54
2000-04-07,10646950.58
2000-04-10,3662044.24
2000-04-11,8292245.82
2000-04-12,8775434.02
2000-04-13,4432807.2
2000-04-14,6843978.9
2000-04-17,3308791.28
2000-04-18,6573291.54
2000-04-19,3077734.6
2000-04-20,3523774.98
2000-04-21,11032053.82
2000-04-24,5014069.28
2000-04-25,11258059.32
2000-04-26,3368689.86
2000-04-27,6590056.54
2000-04-28,7572772.92
2000-05-01,5996710.12
2000-05-02,4999925.68
2000-05-03,3564621.26
2000-05-04,9432894.32
2000-05-05,8002871.04
2000-05-08,12681793.32
2000-05-09,14054677.3
2000-05-10,16120373.7
2000-05-11,10854808.32
2000-05-12,7129540.8
2000-05-15,9074769.34
2000-05-16,9808846.9
2000-05-17,9027778.28
2000-05-18,6526067.58
2000-05-19,
2000-05-22,11974842.04
2000-05-23,15601486.86
2000-05-24,5128883.06
2000-05-25,14503346.32
2000-05-26,14961915.82
2000-05-29,8758430.16
2000-05-30,6643676.8
2000-05-31,15224073.8
2000-06-01,7998661.5
2000-06-02,8256387.9
2000-06-05,9317489.5
2000-06-06,5203178.26
2000-06-07,7446529.98
2000-06-08,11324927.9
2000-06-09,4370484.54
2000-06-12,6292916.0
2000-06-13,7488924.96
2000-06-14,3593863.16
2000-06-15,3418919.32
2000-06-16,3042550.66
2000-06-19,3416280.02
2000-06-20,5202939.86
2000-06-21,5248812.16
2000-06-22,9933360.22
2000-06-23,7234489.24
2000-06-26,2070878.96
2000-06-27,3811185.64
2000-06-28,11216375.2
2000-06-29,10858615.82
2000-06-30,17344823.72
2000-07-03,8431244.1
2000-07-04,4393465.6
2000-07-05,10706888.5
2000-07-06,5951616.28
2000-07-07,5505924.66
2000-07-10,2784378.18
2000-07-11,6908225.06
2000-07-12,6320889.28
2000-07-13,2968866.8
2000-07-14,3798263.76
2000-07-17,8837789.58
2000-07-18,7593566.56
2000-07-19,12727002.62
2000-07-20,6373904.86
2000-07-21,3277366.26
2000-07-24,3358828.58
2000-07-25,12298224.26
2000-07-26,10087204.54
2000-07-27,7684795.88
2000-07-28,6443316.96
2000-07-31,11610574.58
2000-08-01,12267982.84
2000-08-02,10789180.86
2000-08-03,7208058.26
2000-08-04,9052087.52
2000-08-07,19354287.74
2000-08-08,9972482.64
2000-08-09,10485268.92
2000-08-10,16914680.3
2000-08-11,15195590.26
2000-08-14,7727720.9
2000-08-15,10439913.16
2000-08-16,28780960.96
2000-08-17,13652045.94
2000-08-18,25425990.02
2000-08-21,8590117.62
2000-08-22,10088399.06
2000-08-23,10741722.9
2000-08-24,28383554.58
2000-08-25,26557146.78
2000-08-28,10004278.02
2000-08-29,11533961.16
2000-08-30,
2000-08-31,13266169.74
2000-09-01,17058036.66
2000-09-04,1182018.26
2000-09-05,33757207.12
2000-09-06,42446613.18
2000-09-07,23080434.88
2000-09-08,7667271.3
2000-09-11,7089754.42
2000-09-12,15193441.42
2000-09-13,10336024.38
2000-09-14,7668027.72
2000-09-15,21798367.46
2000-09-18,13014759.24
2000-09-19,9873890.04
2000-09-20,10330078.2
2000-09-21,12457216.08
2000-09-22,11234176.32
2000-09-25,14380599.64
2000-09-26,10637573.28
2000-09-27,8416246.28
2000-09-28,11746405.9
2000-09-29,15364959.92
2000-10-02,6064574.18
2000-10-03,10981751.78
2000-10-04,14848468.76
2000-10-05,13682323.06
2000-10-06,10398982.72
2000-10-09,3503416.92
2000-10-10,9813511.74
2000-10-11,10904867.68
2000-10-12,5976104.86
2000-10-13,10034861.44
2000-10-16,4061103.8
2000-10-17,8941737.32
2000-10-18,7258800.54
2000-10-19,10442875.78
2000-10-20,15721062.72
2000-10-23,8981731.26
2000-10-24,18591337.96
2000-10-25,14910736.52
2000-10-26,12254823.94
2000-10-27,9683235.1
2000-10-30,22223529.8
2000-10-31,31115972.92
2000-11-01,36020213.08
2000-11-02,20592404.4
2000-11-03,34658199.66
2000-11-06,14478006.12
2000-11-07,30765066.0
2000-11-08,22603177.54
2000-11-09,14884265.28
2000-11-10,18427801.3
2000-11-13,11405524.94
2000-11-14,18178491.54
2000-11-15,18894073.96
2000-11-16,7168338.38
2000-11-17,30230096.5
2000-11-20,12252850.14
2000-11-21,16465820.2
2000-11-22,5449128.66
2000-11-23,5540483.62
2000-11-24,28983442.46
2000-11-27,18177027.1
2000-11-28,26331468.02
2000-11-29,5571015.4
2000-11-30,9549473.16
2000-12-01,11844419.04
2000-12-04,40647448.38
2000-12-05,32456920.92
2000-12-06,16281575.32
2000-12-07,39330803.42
2000-12-08,14543985.16
2000-12-11,12222747.08
2000-12-12,12445587.08
2000-12-13,8944146.46
2000-12-14,11339025.78
2000-12-15,7637587.48
2000-12-18,8821984.92
2000-12-19,6878765.78
2000-12-20,6133576.06
2000-12-21,11063327.96
2000-12-22,81287722.42
2000-12-25,45604673.36
2000-12-26,43745653.0
2000-12-27,
2000-12-28,
2000-12-29,
2001-01-01,
2001-01-02,8421220.26
2001-01-03,10299470.22
2001-01-04,10165237.52
2001-01-05,8510057.72
2001-01-08,8337308.12
2001-01-09,9972327.36
2001-01-10,15450784.3
2001-01-11,6465454.34
2001-01-12,18882484.32
2001-01-15,2929476.64
2001-01-16,10778561.12
2001-01-17,13080755.6
2001-01-18,4522026.92
2001-01-19,19111905.66
2001-01-22,5328711.86
2001-01-23,7054862.42
2001-01-24,9741720.5
2001-01-25,8537093.94
2001-01-26,14148777.42
2001-01-29,12298626.72
2001-01-30,10301813.36
2001-01-31,15402585.22
2001-02-01,17502447.82
2001-02-02,9768255.32
2001-02-05,5253298.06
2001-02-06,6611471.4
2001-02-07,10666778.2
2001-02-08,5439431.5
2001-02-09,9839430.86
2001-02-12,12255852.36
2001-02-13,36085619.9
2001-02-14,33130224.9
2001-02-15,27588743.28
2001-02-16,20059181.42
2001-02-19,9240461.0
2001-02-20,27863042.5
2001-02-21,39590225.32
2001-02-22,188614423.84
2001-02-23,300842594.92
2001-02-26,297830168.72
2001-02-27,147116167.1
2001-02-28,124379881.94
2001-03-01,97230195.28
2001-03-02,92930856.88
2001-03-05,
2001-03-06,
2001-03-07,
2001-03-08,
2001-03-09,62416903.08
2001-03-12,91389722.56
2001-03-13,166060241.52
2001-03-14,114224669.46
2001-03-15,119179373.1
2001-03-16,124110291.36
2001-03-19,110827454.14
2001-03-20,91191402.84
2001-03-21,115451501.04
2001-03-22,103176546.38
2001-03-23,94473909.38
2001-03-26,70060698.18
2001-03-27,65100819.4
2001-03-28,34664693.94
2001-03-29,76403935.52
