Tarih,TP_FG_J083
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,95.14
2003-02-01,95.14
2003-03-01,97.61
2003-04-01,97.61
2003-05-01,97.61
2003-06-01,101.24
2003-07-01,101.24
2003-08-01,102.15
2003-09-01,103.06
2003-10-01,103.06
2003-11-01,103.06
2003-12-01,103.06
2004-01-01,103.91
2004-02-01,104.2
2004-03-01,104.17
2004-04-01,104.17
2004-05-01,104.79
2004-06-01,105.42
2004-07-01,105.49
2004-08-01,105.56
2004-09-01,104.95
2004-10-01,104.95
2004-11-01,105.31
2004-12-01,105.59
2005-01-01,105.59
2005-02-01,105.59
2005-03-01,105.59
2005-04-01,105.6
2005-05-01,106.2
2005-06-01,106.25
2005-07-01,106.26
2005-08-01,106.4
2005-09-01,106.48
2005-10-01,107.8
2005-11-01,107.71
2005-12-01,107.64
2006-01-01,110.05
2006-02-01,110.15
2006-03-01,110.16
2006-04-01,110.17
2006-05-01,110.19
2006-06-01,110.19
2006-07-01,110.39
2006-08-01,110.39
2006-09-01,110.31
2006-10-01,110.39
2006-11-01,110.41
2006-12-01,110.42
2007-01-01,112.82
2007-02-01,113.62
2007-03-01,113.69
2007-04-01,113.56
2007-05-01,113.56
2007-06-01,115.9
2007-07-01,114.25
2007-08-01,110.77
2007-09-01,110.86
2007-10-01,111.74
2007-11-01,111.83
2007-12-01,113.7
2008-01-01,115.09
2008-02-01,115.45
2008-03-01,115.71
2008-04-01,115.84
2008-05-01,115.93
2008-06-01,117.04
2008-07-01,118.14
2008-08-01,119.01
2008-09-01,120.94
2008-10-01,120.94
2008-11-01,121.13
2008-12-01,121.94
2009-01-01,122.97
2009-02-01,121.44
2009-03-01,120.51
2009-04-01,120.77
2009-05-01,121.07
2009-06-01,122.56
2009-07-01,122.56
2009-08-01,122.56
2009-09-01,122.56
2009-10-01,124.25
2009-11-01,124.38
2009-12-01,125.69
2010-01-01,125.69
2010-02-01,125.69
2010-03-01,130.1
2010-04-01,123.12
2010-05-01,121.09
2010-06-01,122.14
2010-07-01,122.14
2010-08-01,120.78
2010-09-01,118.58
2010-10-01,118.0
2010-11-01,118.0
2010-12-01,121.23
2011-01-01,122.81
2011-02-01,123.38
2011-03-01,123.64
2011-04-01,121.19
2011-05-01,120.59
2011-06-01,121.49
2011-07-01,121.92
2011-08-01,121.92
2011-09-01,121.92
2011-10-01,121.92
2011-11-01,121.92
2011-12-01,122.45
2012-01-01,122.45
2012-02-01,122.45
2012-03-01,122.52
2012-04-01,122.58
2012-05-01,122.58
2012-06-01,125.07
2012-07-01,125.47
2012-08-01,125.57
2012-09-01,127.3
2012-10-01,129.29
2012-11-01,129.7
2012-12-01,131.13
2013-01-01,131.29
2013-02-01,131.6
2013-03-01,131.63
2013-04-01,132.03
2013-05-01,132.89
2013-06-01,133.32
2013-07-01,134.7
2013-08-01,134.7
2013-09-01,135.05
2013-10-01,135.18
2013-11-01,135.18
2013-12-01,135.18
2014-01-01,134.62
2014-02-01,134.77
2014-03-01,134.98
2014-04-01,135.01
2014-05-01,135.01
