Tarih,TP_FG_J022
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,89.7
2003-02-01,90.42
2003-03-01,90.42
2003-04-01,90.42
2003-05-01,90.42
2003-06-01,99.0
2003-07-01,103.93
2003-08-01,108.86
2003-09-01,108.86
2003-10-01,109.31
2003-11-01,109.31
2003-12-01,109.31
2004-01-01,109.31
2004-02-01,109.31
2004-03-01,119.63
2004-04-01,119.63
2004-05-01,119.63
2004-06-01,119.63
2004-07-01,119.63
2004-08-01,119.8
2004-09-01,120.5
2004-10-01,121.03
2004-11-01,121.03
2004-12-01,121.03
2005-01-01,121.03
2005-02-01,122.06
2005-03-01,122.06
2005-04-01,122.06
2005-05-01,122.06
2005-06-01,122.06
2005-07-01,124.67
2005-08-01,147.54
2005-09-01,147.54
2005-10-01,147.54
2005-11-01,147.54
2005-12-01,155.32
2006-01-01,163.05
2006-02-01,163.05
2006-03-01,163.05
2006-04-01,163.05
2006-05-01,163.05
2006-06-01,163.05
2006-07-01,163.05
2006-08-01,163.05
2006-09-01,163.05
2006-10-01,163.05
2006-11-01,163.05
2006-12-01,163.05
2007-01-01,163.05
2007-02-01,167.28
2007-03-01,179.96
2007-04-01,179.96
2007-05-01,179.96
2007-06-01,179.96
2007-07-01,179.96
2007-08-01,179.96
2007-09-01,179.96
2007-10-01,179.96
2007-11-01,192.16
2007-12-01,192.16
2008-01-01,192.16
2008-02-01,192.16
2008-03-01,192.16
2008-04-01,192.16
2008-05-01,192.16
2008-06-01,192.16
2008-07-01,192.16
2008-08-01,192.16
2008-09-01,192.16
2008-10-01,192.16
2008-11-01,192.16
2008-12-01,192.16
2009-01-01,192.16
2009-02-01,192.16
2009-03-01,206.27
2009-04-01,206.27
2009-05-01,206.27
2009-06-01,206.27
2009-07-01,230.14
2009-08-01,234.35
2009-09-01,234.35
2009-10-01,234.35
2009-11-01,234.35
2009-12-01,234.35
2010-01-01,287.24
2010-02-01,298.32
2010-03-01,298.32
2010-04-01,298.32
2010-05-01,298.32
2010-06-01,298.32
2010-07-01,298.32
2010-08-01,298.32
2010-09-01,294.92
2010-10-01,291.52
2010-11-01,291.52
2010-12-01,291.52
2011-01-01,291.52
2011-02-01,291.52
2011-03-01,291.52
2011-04-01,291.52
2011-05-01,291.52
2011-06-01,291.52
2011-07-01,291.52
2011-08-01,291.52
2011-09-01,291.52
2011-10-01,333.58
2011-11-01,345.76
2011-12-01,345.76
2012-01-01,345.76
2012-02-01,345.76
2012-03-01,345.76
2012-04-01,345.76
2012-05-01,345.76
2012-06-01,345.76
2012-07-01,345.76
2012-08-01,345.76
2012-09-01,345.76
2012-10-01,345.76
2012-11-01,345.76
2012-12-01,345.76
2013-01-01,398.1
2013-02-01,401.55
2013-03-01,401.55
2013-04-01,401.55
2013-05-01,401.55
2013-06-01,401.55
2013-07-01,400.82
2013-08-01,400.82
2013-09-01,400.82
2013-10-01,397.4
2013-11-01,394.68
2013-12-01,383.48
2014-01-01,411.95
2014-02-01,411.95
2014-03-01,411.95
2014-04-01,411.95
2014-05-01,411.39
