Tarih,TP_FG_J08
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,96.09
2003-02-01,96.09
2003-03-01,98.38
2003-04-01,98.38
2003-05-01,98.15
2003-06-01,101.21
2003-07-01,100.95
2003-08-01,101.53
2003-09-01,102.22
2003-10-01,102.28
2003-11-01,102.35
2003-12-01,102.36
2004-01-01,103.16
2004-02-01,103.28
2004-03-01,102.9
2004-04-01,102.82
2004-05-01,103.07
2004-06-01,102.93
2004-07-01,102.95
2004-08-01,102.71
2004-09-01,102.7
2004-10-01,103.55
2004-11-01,103.84
2004-12-01,104.1
2005-01-01,103.99
2005-02-01,104.17
2005-03-01,104.43
2005-04-01,104.19
2005-05-01,105.05
2005-06-01,104.44
2005-07-01,104.27
2005-08-01,104.57
2005-09-01,105.13
2005-10-01,106.36
2005-11-01,106.14
2005-12-01,105.88
2006-01-01,107.99
2006-02-01,107.64
2006-03-01,106.82
2006-04-01,106.68
2006-05-01,107.31
2006-06-01,108.33
2006-07-01,108.53
2006-08-01,107.91
2006-09-01,107.8
2006-10-01,107.61
2006-11-01,107.45
2006-12-01,107.3
2007-01-01,109.14
2007-02-01,109.04
2007-03-01,108.5
2007-04-01,107.89
2007-05-01,107.63
2007-06-01,109.15
2007-07-01,107.61
2007-08-01,104.47
2007-09-01,103.95
2007-10-01,103.93
2007-11-01,103.87
2007-12-01,105.39
2008-01-01,106.46
2008-02-01,106.59
2008-03-01,107.05
2008-04-01,107.09
2008-05-01,107.05
2008-06-01,107.76
2008-07-01,108.74
2008-08-01,109.23
2008-09-01,110.73
2008-10-01,110.69
2008-11-01,110.88
2008-12-01,111.44
2009-01-01,112.33
2009-02-01,111.0
2009-03-01,110.38
2009-04-01,110.69
2009-05-01,110.88
2009-06-01,112.18
2009-07-01,112.37
2009-08-01,112.59
2009-09-01,112.72
2009-10-01,114.08
2009-11-01,114.11
2009-12-01,115.17
2010-01-01,114.89
2010-02-01,115.02
2010-03-01,118.63
2010-04-01,112.9
2010-05-01,111.39
2010-06-01,112.17
2010-07-01,112.05
2010-08-01,110.97
2010-09-01,108.92
2010-10-01,108.23
2010-11-01,108.58
2010-12-01,111.46
2011-01-01,112.81
2011-02-01,113.3
2011-03-01,113.68
2011-04-01,111.59
2011-05-01,111.07
2011-06-01,111.86
2011-07-01,112.07
2011-08-01,111.97
2011-09-01,112.17
2011-10-01,112.81
2011-11-01,113.82
2011-12-01,114.22
2012-01-01,114.21
2012-02-01,113.99
2012-03-01,113.62
2012-04-01,113.58
2012-05-01,113.35
2012-06-01,115.53
2012-07-01,116.21
2012-08-01,116.05
2012-09-01,117.84
2012-10-01,119.37
2012-11-01,119.49
2012-12-01,120.96
2013-01-01,120.93
2013-02-01,121.15
2013-03-01,121.17
2013-04-01,121.36
2013-05-01,121.84
2013-06-01,121.92
2013-07-01,123.07
2013-08-01,122.98
2013-09-01,123.08
2013-10-01,123.08
2013-11-01,122.57
2013-12-01,122.41
2014-01-01,121.68
2014-02-01,121.91
2014-03-01,122.24
2014-04-01,122.4
2014-05-01,122.26
