Tarih,TP_FG_J126
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,100.0
2003-02-01,100.0
2003-03-01,100.0
2003-04-01,100.0
2003-05-01,100.0
2003-06-01,100.0
2003-07-01,100.0
2003-08-01,100.0
2003-09-01,100.0
2003-10-01,100.0
2003-11-01,100.0
2003-12-01,100.0
2004-01-01,111.38
2004-02-01,111.38
2004-03-01,113.2
2004-04-01,113.2
2004-05-01,113.2
2004-06-01,113.2
2004-07-01,113.2
2004-08-01,113.2
2004-09-01,113.2
2004-10-01,113.2
2004-11-01,119.98
2004-12-01,119.98
2005-01-01,124.54
2005-02-01,126.59
2005-03-01,126.59
2005-04-01,128.68
2005-05-01,128.66
2005-06-01,128.66
2005-07-01,128.66
2005-08-01,128.66
2005-09-01,128.66
2005-10-01,128.66
2005-11-01,135.43
2005-12-01,142.2
2006-01-01,142.2
2006-02-01,143.59
2006-03-01,143.59
2006-04-01,143.59
2006-05-01,143.59
2006-06-01,147.06
2006-07-01,148.93
2006-08-01,155.72
2006-09-01,155.72
2006-10-01,155.72
2006-11-01,155.72
2006-12-01,155.72
2007-01-01,158.72
2007-02-01,154.46
2007-03-01,154.46
2007-04-01,154.46
2007-05-01,154.46
2007-06-01,154.46
2007-07-01,154.46
2007-08-01,155.98
2007-09-01,155.98
2007-10-01,158.72
2007-11-01,158.72
2007-12-01,158.72
2008-01-01,158.72
2008-02-01,158.72
2008-03-01,158.72
2008-04-01,158.72
2008-05-01,158.72
2008-06-01,158.72
2008-07-01,161.4
2008-08-01,164.08
2008-09-01,164.08
2008-10-01,164.08
2008-11-01,166.99
2008-12-01,170.17
2009-01-01,179.76
2009-02-01,183.03
2009-03-01,196.56
2009-04-01,196.56
2009-05-01,196.56
2009-06-01,208.21
2009-07-01,208.21
2009-08-01,208.21
2009-09-01,208.21
2009-10-01,208.2
2009-11-01,208.2
2009-12-01,208.2
2010-01-01,217.7
2010-02-01,217.7
2010-03-01,217.7
2010-04-01,217.7
2010-05-01,217.7
2010-06-01,217.7
2010-07-01,217.7
2010-08-01,230.6
2010-09-01,230.6
2010-10-01,230.6
2010-11-01,224.89
2010-12-01,231.56
2011-01-01,238.22
2011-02-01,238.22
2011-03-01,258.34
2011-04-01,258.34
2011-05-01,258.34
2011-06-01,273.64
2011-07-01,273.64
2011-08-01,273.64
2011-09-01,273.64
2011-10-01,281.75
2011-11-01,307.01
2011-12-01,307.01
2012-01-01,307.01
2012-02-01,307.01
2012-03-01,307.01
2012-04-01,307.01
2012-05-01,307.01
2012-06-01,307.01
2012-07-01,332.94
2012-08-01,332.94
2012-09-01,332.94
2012-10-01,332.94
2012-11-01,332.94
2012-12-01,332.94
2013-01-01,332.94
2013-02-01,332.94
2013-03-01,332.94
2013-04-01,332.94
2013-05-01,332.94
2013-06-01,332.94
2013-07-01,332.94
2013-08-01,332.94
2013-09-01,332.94
2013-10-01,332.94
2013-11-01,332.94
2013-12-01,332.94
2014-01-01,332.94
2014-02-01,332.94
2014-03-01,332.94
2014-04-01,332.94
2014-05-01,332.94
