Tarih,TP_FG_J02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,89.83
2003-02-01,90.53
2003-03-01,90.55
2003-04-01,90.58
2003-05-01,90.61
2003-06-01,98.96
2003-07-01,103.79
2003-08-01,108.62
2003-09-01,108.67
2003-10-01,109.18
2003-11-01,109.31
2003-12-01,109.37
2004-01-01,109.43
2004-02-01,109.46
2004-03-01,120.35
2004-04-01,120.44
2004-05-01,120.47
2004-06-01,120.51
2004-07-01,120.53
2004-08-01,120.75
2004-09-01,121.44
2004-10-01,121.94
2004-11-01,121.95
2004-12-01,121.94
2005-01-01,121.95
2005-02-01,124.33
2005-03-01,124.53
2005-04-01,124.6
2005-05-01,124.6
2005-06-01,124.69
2005-07-01,127.15
2005-08-01,148.6
2005-09-01,148.6
2005-10-01,148.61
2005-11-01,148.62
2005-12-01,155.93
2006-01-01,163.19
2006-02-01,163.2
2006-03-01,163.44
2006-04-01,163.48
2006-05-01,163.48
2006-06-01,163.48
2006-07-01,163.5
2006-08-01,163.49
2006-09-01,163.77
2006-10-01,163.78
2006-11-01,163.8
2006-12-01,163.82
2007-01-01,163.83
2007-02-01,167.94
2007-03-01,180.06
2007-04-01,180.11
2007-05-01,180.13
2007-06-01,180.16
2007-07-01,180.22
2007-08-01,180.22
2007-09-01,180.26
2007-10-01,180.26
2007-11-01,191.99
2007-12-01,192.0
2008-01-01,191.98
2008-02-01,192.02
2008-03-01,192.42
2008-04-01,192.47
2008-05-01,192.48
2008-06-01,192.49
2008-07-01,192.6
2008-08-01,192.62
2008-09-01,192.64
2008-10-01,192.66
2008-11-01,192.61
2008-12-01,192.61
2009-01-01,192.63
2009-02-01,192.82
2009-03-01,206.12
2009-04-01,206.16
2009-05-01,206.24
2009-06-01,206.27
2009-07-01,228.73
2009-08-01,232.69
2009-09-01,232.7
2009-10-01,233.02
2009-11-01,232.99
2009-12-01,232.88
2010-01-01,284.2
2010-02-01,294.78
2010-03-01,294.82
2010-04-01,294.87
2010-05-01,294.84
2010-06-01,294.82
2010-07-01,294.85
2010-08-01,294.86
2010-09-01,291.62
2010-10-01,288.4
2010-11-01,290.17
2010-12-01,290.3
2011-01-01,290.3
2011-02-01,290.33
2011-03-01,290.43
2011-04-01,290.42
2011-05-01,290.39
2011-06-01,290.4
2011-07-01,290.42
2011-08-01,290.45
2011-09-01,290.77
2011-10-01,331.8
2011-11-01,344.03
2011-12-01,344.0
2012-01-01,344.08
2012-02-01,344.08
2012-03-01,344.07
2012-04-01,344.23
2012-05-01,344.7
2012-06-01,344.69
2012-07-01,344.69
2012-08-01,344.68
2012-09-01,345.67
2012-10-01,347.32
2012-11-01,347.36
2012-12-01,347.38
2013-01-01,396.91
2013-02-01,400.2
2013-03-01,400.18
2013-04-01,400.16
2013-05-01,400.17
2013-06-01,400.14
2013-07-01,399.8
2013-08-01,399.86
2013-09-01,399.92
2013-10-01,396.99
2013-11-01,394.43
2013-12-01,383.94
2014-01-01,412.55
2014-02-01,412.65
2014-03-01,412.57
2014-04-01,412.67
2014-05-01,412.05
