Tarih,TP_FG_J127
2024-09-01,3406.28
2024-10-01,3613.57
2024-11-01,3618.48
2024-12-01,3626.9
2025-01-01,4732.65
2025-02-01,4743.58
2025-03-01,4747.73
2025-04-01,4755.3
2025-05-01,4758.6
2025-06-01,4762.11
2025-07-01,4766.98
2025-08-01,4773.33
2025-09-01,4777.39
