Tarih,TP_FG_J104
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,93.61
2003-02-01,93.61
2003-03-01,93.61
2003-04-01,93.61
2003-05-01,93.61
2003-06-01,93.61
2003-07-01,93.61
2003-08-01,93.61
2003-09-01,112.79
2003-10-01,112.79
2003-11-01,112.79
2003-12-01,112.79
2004-01-01,112.79
2004-02-01,112.79
2004-03-01,112.79
2004-04-01,112.79
2004-05-01,112.79
2004-06-01,112.79
2004-07-01,112.79
2004-08-01,112.79
2004-09-01,129.67
2004-10-01,129.67
2004-11-01,129.67
2004-12-01,129.67
2005-01-01,129.67
2005-02-01,129.67
2005-03-01,129.67
2005-04-01,129.67
2005-05-01,129.67
2005-06-01,129.67
2005-07-01,129.67
2005-08-01,129.67
2005-09-01,137.8
2005-10-01,137.8
2005-11-01,137.8
2005-12-01,137.8
2006-01-01,137.8
2006-02-01,137.8
2006-03-01,137.8
2006-04-01,137.8
2006-05-01,137.8
2006-06-01,137.8
2006-07-01,139.76
2006-08-01,141.01
2006-09-01,154.94
2006-10-01,155.64
2006-11-01,155.72
2006-12-01,155.74
2007-01-01,155.74
2007-02-01,155.74
2007-03-01,155.74
2007-04-01,155.74
2007-05-01,155.74
2007-06-01,155.74
2007-07-01,156.01
2007-08-01,156.29
2007-09-01,165.79
2007-10-01,166.09
2007-11-01,166.09
2007-12-01,166.09
2008-01-01,166.09
2008-02-01,166.09
2008-03-01,166.09
2008-04-01,166.09
2008-05-01,166.09
2008-06-01,166.09
2008-07-01,167.05
2008-08-01,168.41
2008-09-01,175.53
2008-10-01,178.91
2008-11-01,178.91
2008-12-01,178.91
2009-01-01,178.91
2009-02-01,178.91
2009-03-01,178.91
2009-04-01,179.23
2009-05-01,179.23
2009-06-01,179.23
2009-07-01,179.23
2009-08-01,179.23
2009-09-01,190.83
2009-10-01,190.83
2009-11-01,190.83
2009-12-01,190.83
2010-01-01,190.83
2010-02-01,190.83
2010-03-01,190.83
2010-04-01,190.83
2010-05-01,190.83
2010-06-01,190.83
2010-07-01,190.83
2010-08-01,190.83
2010-09-01,198.75
2010-10-01,198.75
2010-11-01,198.75
2010-12-01,198.75
2011-01-01,198.75
2011-02-01,198.75
2011-03-01,198.75
2011-04-01,198.75
2011-05-01,198.75
2011-06-01,198.75
2011-07-01,198.75
2011-08-01,198.75
2011-09-01,210.01
2011-10-01,210.01
2011-11-01,210.01
2011-12-01,210.01
2012-01-01,210.11
2012-02-01,210.11
2012-03-01,210.11
2012-04-01,210.11
2012-05-01,210.11
2012-06-01,210.11
2012-07-01,210.11
2012-08-01,210.11
2012-09-01,186.8
2012-10-01,186.94
2012-11-01,186.94
2012-12-01,186.94
2013-01-01,186.94
2013-02-01,186.94
2013-03-01,186.94
2013-04-01,186.94
2013-05-01,186.94
2013-06-01,186.94
2013-07-01,186.94
2013-08-01,186.94
2013-09-01,199.18
2013-10-01,199.18
2013-11-01,199.18
2013-12-01,199.18
2014-01-01,199.18
2014-02-01,199.18
2014-03-01,199.18
2014-04-01,199.18
2014-05-01,199.18
