Tarih,TP_FG_J103
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,92.24
2003-02-01,92.24
2003-03-01,92.24
2003-04-01,92.24
2003-05-01,92.24
2003-06-01,92.24
2003-07-01,92.39
2003-08-01,110.77
2003-09-01,110.83
2003-10-01,110.87
2003-11-01,110.87
2003-12-01,110.87
2004-01-01,110.88
2004-02-01,110.88
2004-03-01,110.91
2004-04-01,110.91
2004-05-01,110.93
2004-06-01,110.97
2004-07-01,111.07
2004-08-01,131.67
2004-09-01,131.72
2004-10-01,131.74
2004-11-01,132.15
2004-12-01,132.25
2005-01-01,130.83
2005-02-01,129.47
2005-03-01,129.22
2005-04-01,129.13
2005-05-01,130.56
2005-06-01,134.89
2005-07-01,136.2
2005-08-01,137.65
2005-09-01,140.17
2005-10-01,139.65
2005-11-01,139.66
2005-12-01,139.66
2006-01-01,139.74
2006-02-01,139.64
2006-03-01,140.11
2006-04-01,140.49
2006-05-01,140.78
2006-06-01,142.58
2006-07-01,143.93
2006-08-01,144.01
2006-09-01,144.68
2006-10-01,143.21
2006-11-01,142.34
2006-12-01,142.39
2007-01-01,142.27
2007-02-01,142.29
2007-03-01,142.1
2007-04-01,142.92
2007-05-01,142.87
2007-06-01,147.3
2007-07-01,148.38
2007-08-01,148.67
2007-09-01,149.06
2007-10-01,149.27
2007-11-01,148.93
2007-12-01,148.74
2008-01-01,148.69
2008-02-01,148.69
2008-03-01,149.22
2008-04-01,148.73
2008-05-01,150.19
2008-06-01,154.25
2008-07-01,156.11
2008-08-01,156.54
2008-09-01,156.16
2008-10-01,153.35
2008-11-01,154.17
2008-12-01,153.79
2009-01-01,153.78
2009-02-01,152.76
2009-03-01,153.2
2009-04-01,153.63
2009-05-01,155.1
2009-06-01,156.42
2009-07-01,158.13
2009-08-01,158.98
2009-09-01,160.97
2009-10-01,161.23
2009-11-01,161.32
2009-12-01,161.31
2010-01-01,161.53
2010-02-01,161.12
2010-03-01,162.17
2010-04-01,161.54
2010-05-01,162.38
2010-06-01,163.97
2010-07-01,166.31
2010-08-01,166.57
2010-09-01,166.59
2010-10-01,166.88
2010-11-01,166.93
2010-12-01,167.09
2011-01-01,167.18
2011-02-01,167.82
2011-03-01,168.94
2011-04-01,169.41
2011-05-01,171.15
2011-06-01,174.14
2011-07-01,175.38
2011-08-01,176.92
2011-09-01,178.9
2011-10-01,179.84
2011-11-01,179.87
2011-12-01,179.55
2012-01-01,179.95
2012-02-01,179.95
2012-03-01,180.62
2012-04-01,181.36
2012-05-01,182.93
2012-06-01,187.76
2012-07-01,189.32
2012-08-01,191.94
2012-09-01,193.91
2012-10-01,194.01
2012-11-01,194.16
2012-12-01,194.18
2013-01-01,194.83
2013-02-01,196.32
2013-03-01,197.61
2013-04-01,199.74
2013-05-01,203.47
2013-06-01,208.03
2013-07-01,208.84
2013-08-01,212.1
2013-09-01,213.81
2013-10-01,213.9
2013-11-01,213.52
2013-12-01,213.66
2014-01-01,214.04
2014-02-01,215.58
2014-03-01,217.35
2014-04-01,218.38
2014-05-01,220.53
2014-06-01,225.23
2014-07-01,227.13
2014-08-01,228.99
2014-09-01,230.53
2014-10-01,231.1
2014-11-01,232.07
2014-12-01,232.17
2015-01-01,232.19
2015-02-01,231.68
2015-03-01,231.75
2015-04-01,231.82
2015-05-01,231.82
2015-06-01,231.82
2015-07-01,231.82
2015-08-01,231.82
2015-09-01,231.83
2015-10-01,234.21
2015-11-01,234.84
2015-12-01,234.84
