Tarih,TP_OSUVBG04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,3470622725.0
2002-02-01,3676498296.0
2002-03-01,3762291280.0
2002-04-01,3760243010.0
2002-05-01,3781269564.0
2002-06-01,3968981849.0
2002-07-01,3298286205.0
2002-08-01,3142587585.0
2002-09-01,3032757406.0
2002-10-01,2852222131.0
2002-11-01,2879220067.0
2002-12-01,3093432316.0
2003-01-01,3097954288.0
2003-02-01,3101799559.0
2003-03-01,3022256827.0
2003-04-01,3061559442.0
2003-05-01,3105916098.0
2003-06-01,2950557417.0
2003-07-01,3000578367.0
2003-08-01,2743103426.0
2003-09-01,2915126937.0
2003-10-01,3005332549.0
2003-11-01,3194018145.0
2003-12-01,3289986527.0
2004-01-01,3288436699.0
2004-02-01,3517368240.0
2004-03-01,3408448250.0
2004-04-01,3433846187.0
2004-05-01,3519134749.0
2004-06-01,4064802567.0
2004-07-01,4112501661.0
2004-08-01,4202116391.0
2004-09-01,4421789477.0
2004-10-01,4732571151.0
2004-11-01,5824671719.0
2004-12-01,6013505258.0
2005-01-01,6018096239.0
2005-02-01,5954866275.0
2005-03-01,5999992190.0
2005-04-01,6282956427.0
2005-05-01,7327141016.0
2005-06-01,10093003514.0
2005-07-01,10353721033.0
2005-08-01,10408657607.0
2005-09-01,11183136568.0
2005-10-01,10861456539.0
2005-11-01,11606906147.0
2005-12-01,12647555367.0
2006-01-01,12786678537.0
2006-02-01,12963792682.0
2006-03-01,13987212420.0
2006-04-01,14962292654.0
2006-05-01,15662531516.0
2006-06-01,16784272196.0
2006-07-01,17182063194.0
2006-08-01,17460033622.0
2006-09-01,17534011875.0
2006-10-01,18092651908.0
2006-11-01,17922111316.0
2006-12-01,22290312530.0
2007-01-01,22644096024.0
2007-02-01,23724453797.0
2007-03-01,24586870314.0
2007-04-01,25429992560.0
2007-05-01,26364594032.0
2007-06-01,27420720325.0
2007-07-01,27838855051.0
2007-08-01,28595408270.0
2007-09-01,29942746176.0
2007-10-01,30325194113.0
2007-11-01,31033522339.0
2007-12-01,31211893993.0
2008-01-01,31797782527.0
2008-02-01,33099743466.0
2008-03-01,33253502269.0
2008-04-01,33681670318.0
2008-05-01,34143774004.0
2008-06-01,34218787037.0
2008-07-01,34333698320.0
2008-08-01,35357257341.0
2008-09-01,34472173236.0
2008-10-01,32595639210.0
2008-11-01,30960974782.0
2008-12-01,30338059158.0
2009-01-01,29897797229.0
2009-02-01,28957937194.0
2009-03-01,28550781808.0
2009-04-01,27618082064.0
2009-05-01,27767092338.0
2009-06-01,28037455329.0
2009-07-01,28010375491.0
2009-08-01,27889147708.0
2009-09-01,28077582350.0
2009-10-01,28369934097.0
2009-11-01,28404245652.0
2009-12-01,28240787506.0
2010-01-01,27997740247.0
2010-02-01,27225839956.0
2010-03-01,27126439375.0
2010-04-01,27456113632.0
2010-05-01,26925246780.0
2010-06-01,26802456574.0
2010-07-01,27434145867.0
2010-08-01,27619182999.0
2010-09-01,27365740138.0
2010-10-01,28399761743.0
2010-11-01,28199930632.0
2010-12-01,27805534741.0
2011-01-01,28664509044.0
2011-02-01,28628851656.0
2011-03-01,29264997026.0
2011-04-01,30239565316.0
2011-05-01,30158136606.0
2011-06-01,30012653063.0
