Tarih,TP_OSUVBG10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,16766058139.0
2002-02-01,17820405877.0
2002-03-01,18569587919.0
2002-04-01,19161694787.0
2002-05-01,19853822078.0
2002-06-01,20806058085.0
2002-07-01,21135113749.0
2002-08-01,21191961178.0
2002-09-01,21709546290.0
2002-10-01,21729610127.0
2002-11-01,22090038557.0
2002-12-01,22218385529.0
2003-01-01,22574446897.0
2003-02-01,22579517134.0
2003-03-01,21599331565.0
2003-04-01,21804035971.0
2003-05-01,22404411165.0
2003-06-01,22149819660.0
2003-07-01,22160309955.0
2003-08-01,21959843307.0
2003-09-01,22343384536.0
2003-10-01,22499827677.0
2003-11-01,22124146222.0
2003-12-01,22598127045.0
2004-01-01,22951108340.0
2004-02-01,23292633116.0
2004-03-01,23592591223.0
2004-04-01,23582908705.0
2004-05-01,23941683529.0
2004-06-01,23811071494.0
2004-07-01,24119612201.0
2004-08-01,24345988752.0
2004-09-01,24651595624.0
2004-10-01,25140733815.0
2004-11-01,25495114720.0
2004-12-01,26081093014.0
2005-01-01,25631448781.0
2005-02-01,26128202914.0
2005-03-01,26253441970.0
2005-04-01,26828048806.0
2005-05-01,26769158697.0
2005-06-01,27208453829.0
2005-07-01,27859897416.0
2005-08-01,28066259087.0
2005-09-01,28079011116.0
2005-10-01,27872021696.0
2005-11-01,28209535588.0
2005-12-01,29337518265.0
2006-01-01,32002752469.0
2006-02-01,34070541929.0
2006-03-01,35002258864.0
2006-04-01,35628403970.0
2006-05-01,37906999834.0
2006-06-01,38201017407.0
2006-07-01,39090206665.0
2006-08-01,40035194028.0
2006-09-01,40894754756.0
2006-10-01,41530241941.0
2006-11-01,42832346747.0
2006-12-01,44634079477.0
2007-01-01,44815500003.0
2007-02-01,45814959476.0
2007-03-01,51741825328.0
2007-04-01,53076941390.0
2007-05-01,55635756764.0
2007-06-01,56890096283.0
2007-07-01,58499938607.0
2007-08-01,60278631402.0
2007-09-01,62380123957.0
2007-10-01,65018344937.0
2007-11-01,67526643053.0
2007-12-01,69795562818.0
2008-01-01,71836347161.0
2008-02-01,73860474577.0
2008-03-01,77490487359.0
2008-04-01,79095704971.0
2008-05-01,82962362678.0
2008-06-01,86894964365.0
2008-07-01,88157815918.0
2008-08-01,88622430582.0
2008-09-01,89314430303.0
2008-10-01,86482585599.0
2008-11-01,85986915244.0
2008-12-01,88521994675.0
2009-01-01,85946587683.0
2009-02-01,84904899213.0
2009-03-01,85327781290.0
2009-04-01,85492154425.0
2009-05-01,86270881554.0
2009-06-01,86261937402.0
2009-07-01,86308343724.0
2009-08-01,85420981958.0
2009-09-01,84647023909.0
2009-10-01,84635528779.0
2009-11-01,84175244432.0
2009-12-01,82444590090.0
2010-01-01,81626925790.0
2010-02-01,79833374503.0
2010-03-01,79290331565.0
2010-04-01,78515568679.0
2010-05-01,76429320245.0
2010-06-01,74854749757.0
2010-07-01,76888160434.0
2010-08-01,75888930936.0
2010-09-01,77780433024.0
2010-10-01,78658712238.0
2010-11-01,77822595456.0
2010-12-01,77354630602.0
2011-01-01,78614432341.0
2011-02-01,78845343907.0
2011-03-01,81145688456.0
2011-04-01,82736981941.0
2011-05-01,81810265913.0
2011-06-01,82392567338.0
