Tarih,TP_OSUVBG13
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,174500464.0
2002-02-01,179650933.0
2002-03-01,184395628.0
2002-04-01,193668488.0
2002-05-01,216421786.0
2002-06-01,232251135.0
2002-07-01,204312842.0
2002-08-01,217027627.0
2002-09-01,207518381.0
2002-10-01,202737004.0
2002-11-01,205353095.0
2002-12-01,213046303.0
2003-01-01,216343527.0
2003-02-01,216360856.0
2003-03-01,210997216.0
2003-04-01,211592093.0
2003-05-01,221072956.0
2003-06-01,215025740.0
2003-07-01,211181944.0
2003-08-01,209210781.0
2003-09-01,228662558.0
2003-10-01,233358672.0
2003-11-01,235308609.0
2003-12-01,244835826.0
2004-01-01,243919994.0
2004-02-01,240874655.0
2004-03-01,241619432.0
2004-04-01,235375042.0
2004-05-01,251825250.0
2004-06-01,252321295.0
2004-07-01,253503506.0
2004-08-01,259990150.0
2004-09-01,272685863.0
2004-10-01,272718525.0
2004-11-01,285616259.0
2004-12-01,294252146.0
2005-01-01,279872646.0
2005-02-01,293706739.0
2005-03-01,291894899.0
2005-04-01,305091766.0
2005-05-01,299994966.0
2005-06-01,294145919.0
2005-07-01,297829364.0
2005-08-01,299255125.0
2005-09-01,315031889.0
2005-10-01,317906001.0
2005-11-01,308807706.0
2005-12-01,317748292.0
2006-01-01,333397006.0
2006-02-01,334366662.0
2006-03-01,348018985.0
2006-04-01,351560258.0
2006-05-01,350110640.0
2006-06-01,344646745.0
2006-07-01,349309881.0
2006-08-01,356354838.0
2006-09-01,346976016.0
2006-10-01,344534393.0
2006-11-01,346636488.0
2006-12-01,331391251.0
2007-01-01,343856904.0
2007-02-01,314307635.0
2007-03-01,295178311.0
2007-04-01,302048397.0
2007-05-01,301721843.0
2007-06-01,302668519.0
2007-07-01,343670272.0
2007-08-01,352008955.0
2007-09-01,366681998.0
2007-10-01,367067978.0
2007-11-01,368137518.0
2007-12-01,370689088.0
2008-01-01,366199023.0
2008-02-01,370913695.0
2008-03-01,373138937.0
2008-04-01,401665531.0
2008-05-01,405179582.0
2008-06-01,428474396.0
2008-07-01,497105311.0
2008-08-01,542288322.0
2008-09-01,542410107.0
2008-10-01,539363107.0
2008-11-01,534635934.0
2008-12-01,530321121.0
2009-01-01,495041341.0
2009-02-01,492605239.0
2009-03-01,496021739.0
2009-04-01,491217679.0
2009-05-01,471730476.0
2009-06-01,443601412.0
2009-07-01,435408370.0
2009-08-01,382570187.0
2009-09-01,382428322.0
2009-10-01,411472562.0
2009-11-01,431588956.0
2009-12-01,477963573.0
2010-01-01,462847377.0
2010-02-01,458002607.0
2010-03-01,463784066.0
2010-04-01,501758624.0
2010-05-01,458610529.0
2010-06-01,475677742.0
2010-07-01,506789887.0
2010-08-01,496976065.0
2010-09-01,504067182.0
2010-10-01,518591181.0
2010-11-01,555438637.0
2010-12-01,557204024.0
2011-01-01,563609244.0
2011-02-01,514964107.0
2011-03-01,482383658.0
2011-04-01,475795941.0
2011-05-01,471791957.0
2011-06-01,455874914.0
2011-07-01,236943838.0
2011-08-01,239109317.0
2011-09-01,236296945.0
2011-10-01,239707859.0
2011-11-01,236808501.0
2011-12-01,238411436.0
2012-01-01,250539748.0
2012-02-01,274599080.0
2012-03-01,304460135.0
