Tarih,TP_OSUVBG02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,6840488679.0
2002-02-01,7107186529.0
2002-03-01,7261612905.0
2002-04-01,7340207235.0
2002-05-01,7463378808.0
2002-06-01,7795631537.0
2002-07-01,7032491193.0
2002-08-01,6874210454.0
2002-09-01,6764118726.0
2002-10-01,6547983475.0
2002-11-01,6625135448.0
2002-12-01,6927145899.0
2003-01-01,7097559999.0
2003-02-01,7112121701.0
2003-03-01,6677230654.0
2003-04-01,6717751077.0
2003-05-01,6855937357.0
2003-06-01,6723399463.0
2003-07-01,6798981387.0
2003-08-01,6520739117.0
2003-09-01,6853337844.0
2003-10-01,7020873973.0
2003-11-01,7260768307.0
2003-12-01,7459278780.0
2004-01-01,7419828757.0
2004-02-01,7620318261.0
2004-03-01,7631336623.0
2004-04-01,7691141588.0
2004-05-01,7864281334.0
2004-06-01,8477277738.0
2004-07-01,8564216097.0
2004-08-01,8660385918.0
2004-09-01,8974819766.0
2004-10-01,9380648850.0
2004-11-01,10489949192.0
2004-12-01,10800695543.0
2005-01-01,10765637126.0
2005-02-01,10726185037.0
2005-03-01,10839538670.0
2005-04-01,11134754278.0
2005-05-01,12254227337.0
2005-06-01,15009568739.0
2005-07-01,15828312719.0
2005-08-01,15992284465.0
2005-09-01,16853312015.0
2005-10-01,16573697390.0
2005-11-01,19102191576.0
2005-12-01,21383902295.0
2006-01-01,24066266716.0
2006-02-01,25681404018.0
2006-03-01,26959635979.0
2006-04-01,28201090419.0
2006-05-01,29188303323.0
2006-06-01,30496834532.0
2006-07-01,31073489451.0
2006-08-01,31629804478.0
2006-09-01,32083313177.0
2006-10-01,32672291779.0
2006-11-01,32682064048.0
2006-12-01,37917136528.0
2007-01-01,37724326046.0
2007-02-01,39223467105.0
2007-03-01,40485371722.0
2007-04-01,41629408218.0
2007-05-01,42877228481.0
2007-06-01,44426373754.0
2007-07-01,44936234487.0
2007-08-01,46566383657.0
2007-09-01,49134498886.0
2007-10-01,49787946590.0
2007-11-01,51187126187.0
2007-12-01,52367929437.0
2008-01-01,53910734909.0
2008-02-01,55625472877.0
2008-03-01,55325302468.0
2008-04-01,55644317031.0
2008-05-01,56802285327.0
2008-06-01,57208552858.0
2008-07-01,57117470077.0
2008-08-01,57911757267.0
2008-09-01,57186809728.0
2008-10-01,54073845329.0
2008-11-01,52165593195.0
2008-12-01,52010118389.0
2009-01-01,50343702543.0
2009-02-01,48997741895.0
2009-03-01,48467152222.0
2009-04-01,47508925168.0
2009-05-01,47621364857.0
2009-06-01,47810035810.0
2009-07-01,47524322317.0
2009-08-01,46810047309.0
2009-09-01,46699949222.0
2009-10-01,46788665674.0
2009-11-01,46620998231.0
2009-12-01,45397784295.0
2010-01-01,44112849959.0
2010-02-01,43059794218.0
2010-03-01,42460412732.0
2010-04-01,42144483487.0
2010-05-01,41168233703.0
2010-06-01,40752517957.0
2010-07-01,42610941912.0
2010-08-01,42606219604.0
2010-09-01,42421771885.0
2010-10-01,43680708439.0
2010-11-01,43270216137.0
2010-12-01,41316813733.0
2011-01-01,41956082229.0
2011-02-01,42496200861.0
2011-03-01,43931995812.0
2011-04-01,46072692307.0
2011-05-01,46282798505.0
2011-06-01,46185579346.0
