Tarih,TP_OSUVBG07
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,3148545396.0
2002-02-01,3209756701.0
2002-03-01,3277192490.0
2002-04-01,3355756312.0
2002-05-01,3454202228.0
2002-06-01,3601677640.0
2002-07-01,3512416028.0
2002-08-01,3509530765.0
2002-09-01,3506346330.0
2002-10-01,3473086718.0
2002-11-01,3526971813.0
2002-12-01,3592148148.0
2003-01-01,3756795514.0
2003-02-01,3766966600.0
2003-03-01,3411400027.0
2003-04-01,3413987893.0
2003-05-01,3503391618.0
2003-06-01,3547314907.0
2003-07-01,3588581910.0
2003-08-01,3571003315.0
2003-09-01,3728492833.0
2003-10-01,3811651953.0
2003-11-01,3861880685.0
2003-12-01,3962523257.0
2004-01-01,3935486929.0
2004-02-01,3907280581.0
2004-03-01,4028479358.0
2004-04-01,4069114090.0
2004-05-01,4154816141.0
2004-06-01,4225320701.0
2004-07-01,4265161355.0
2004-08-01,4271418196.0
2004-09-01,4365093525.0
2004-10-01,4460881538.0
2004-11-01,4492030474.0
2004-12-01,4632881434.0
2005-01-01,4595908646.0
2005-02-01,4619006895.0
2005-03-01,4688286637.0
2005-04-01,4703684065.0
2005-05-01,4782347657.0
2005-06-01,4791433349.0
2005-07-01,5349389079.0
2005-08-01,5457363300.0
2005-09-01,5545034729.0
2005-10-01,5589634648.0
2005-11-01,7382040722.0
2005-12-01,8566272673.0
2006-01-01,11108509209.0
2006-02-01,12547495217.0
2006-03-01,12802559383.0
2006-04-01,13070362465.0
2006-05-01,13342845779.0
2006-06-01,13528475783.0
2006-07-01,13706616389.0
2006-08-01,13984320198.0
2006-09-01,14364345799.0
2006-10-01,14420053435.0
2006-11-01,14601922071.0
2006-12-01,15204304352.0
2007-01-01,14656876333.0
2007-02-01,15074840280.0
2007-03-01,15474115939.0
2007-04-01,15776168150.0
2007-05-01,16091235296.0
2007-06-01,16584181445.0
2007-07-01,16672696889.0
2007-08-01,17546923605.0
2007-09-01,18713161402.0
2007-10-01,18982305371.0
2007-11-01,19569198973.0
2007-12-01,20568884992.0
2008-01-01,21520230621.0
2008-02-01,21933049853.0
2008-03-01,21491052936.0
2008-04-01,21380855384.0
2008-05-01,22084968111.0
2008-06-01,22414431753.0
2008-07-01,22210951038.0
2008-08-01,21968415414.0
2008-09-01,22121315513.0
2008-10-01,20918507815.0
2008-11-01,20644968837.0
2008-12-01,20852435127.0
2009-01-01,19648869322.0
2009-02-01,19262224225.0
2009-03-01,19134282147.0
2009-04-01,19059980272.0
2009-05-01,19037588900.0
2009-06-01,18943518070.0
2009-07-01,18682129346.0
2009-08-01,18085165195.0
2009-09-01,17782618186.0
2009-10-01,17574130479.0
2009-11-01,17458787216.0
2009-12-01,16699095442.0
2010-01-01,15660110756.0
2010-02-01,15383634366.0
2010-03-01,14883853722.0
2010-04-01,14206676921.0
2010-05-01,13776489650.0
2010-06-01,13480597479.0
2010-07-01,13705217605.0
2010-08-01,13531949699.0
2010-09-01,13576767312.0
2010-10-01,13799783371.0
2010-11-01,13599026601.0
2010-12-01,12052527538.0
2011-01-01,11853400931.0
2011-02-01,11929603931.0
2011-03-01,12155290300.0
2011-04-01,12485653154.0
2011-05-01,12241186284.0
2011-06-01,12292544400.0
