Tarih,TP_FG_C08
2000-01-01,11725560.5
2000-02-01,11768080.0
2000-03-01,11807110.0
2000-04-01,12029584.1
2000-05-01,12271527.1
2000-06-01,12981790.9
2000-07-01,13496793.7
2000-08-01,13673938.1
2000-09-01,13673969.6
2000-10-01,14012176.9
2000-11-01,14698283.2
2000-12-01,14988860.3
2001-01-01,15354073.4
2001-02-01,15378912.0
2001-03-01,18574349.4
2001-04-01,20996824.2
2001-05-01,23720269.1
2001-06-01,24000020.4
2001-07-01,25757790.8
2001-08-01,27383099.9
2001-09-01,29051436.5
2001-10-01,30134681.9
2001-11-01,30674296.5
2001-12-01,30461242.3
2002-01-01,30461242.3
2002-02-01,30019787.3
2002-03-01,29602719.6
2002-04-01,29087447.4
2002-05-01,29087447.4
2002-06-01,29371262.3
2002-07-01,29579417.1
2002-08-01,30971312.6
2002-09-01,30971312.6
2002-10-01,31224149.0
2002-11-01,33874166.0
2002-12-01,34485030.2
2003-01-01,36280278.4
2003-02-01,37718256.6
2003-03-01,39895747.9
2003-04-01,40541387.8
2003-05-01,40541387.8
2003-06-01,40507795.7
2003-07-01,40208290.7
2003-08-01,39797850.0
2003-09-01,39797850.0
2003-10-01,42953208.6
2003-11-01,42325745.0
2003-12-01,42325745.0
2004-01-01,41004036.5
2004-02-01,39084504.6
2004-03-01,39448147.3
2004-04-01,39795742.4
2004-05-01,40779473.2
2004-06-01,41402695.0
2004-07-01,41246738.3
2004-08-01,42391873.6
2004-09-01,44933641.0
2004-10-01,45944191.3
2004-11-01,46500284.6
2004-12-01,46319686.5
2005-01-01,46562688.6
2005-02-01,46778296.9
2005-03-01,45490311.5
2005-04-01,46182298.3
2005-05-01,46276261.4
2005-06-01,44813145.8
2005-07-01,47090954.9
2005-08-01,47412438.4
2005-09-01,47723378.5
2005-10-01,47099864.4
2005-11-01,47099864.4
2005-12-01,47099864.4
2006-01-01,47099864.4
2006-02-01,46417190.7
2006-03-01,46417190.7
2006-04-01,46417190.7
2006-05-01,47190903.7
2006-06-01,49406592.0
2006-07-01,50840104.7
2006-08-01,50840104.7
2006-09-01,50266659.5
2006-10-01,50082991.7
2006-11-01,51243123.9
2006-12-01,52285113.7
2007-01-01,53184767.6
2007-02-01,53136745.2
2007-03-01,53184767.6
2007-04-01,52337164.7
2007-05-01,52942453.3
2007-06-01,50808425.2
2007-07-01,52733597.8
2007-08-01,54360604.5
2007-09-01,55286667.8
2007-10-01,55342037.7
2007-11-01,57263413.0
2007-12-01,56513093.2
2008-01-01,58538843.9
2008-02-01,57720995.2
2008-03-01,61266511.1
2008-04-01,63906592.7
2008-05-01,63149537.9
2008-06-01,62824836.5
2008-07-01,64825831.2
2008-08-01,66166788.4
2008-09-01,66758833.4
2008-10-01,77473934.9
2008-11-01,84022916.7
2008-12-01,84846505.9
2009-01-01,81172341.0
2009-02-01,79624172.2
2009-03-01,78823692.2
2009-04-01,78823692.2
2009-05-01,77688847.8
2009-06-01,79624172.2
2009-07-01,71348342.6
2009-08-01,68612774.8
2009-09-01,66301708.7
2009-10-01,65772424.4
2009-11-01,65772424.4
2009-12-01,65772424.4
2010-01-01,67761450.4
2010-02-01,70122610.5
2010-03-01,70189425.9
2010-04-01,71124261.6
2010-05-01,70776904.7
2010-06-01,70808836.5
2010-07-01,70808836.5
2010-08-01,70808836.5
2010-09-01,70844157.2
2010-10-01,70741828.6
2010-11-01,71630829.0
2010-12-01,72279226.0
2011-01-01,73742880.3
2011-02-01,73240563.3
2011-03-01,73269469.5
2011-04-01,71920505.9
2011-05-01,75404441.1
2011-06-01,74961275.3
2011-07-01,74961275.3
2011-08-01,76161545.3
2011-09-01,78511381.9
2011-10-01,82083893.0
2011-11-01,88303902.1
2011-12-01,93217151.6
2012-01-01,99460207.2
2012-02-01,100946958.6
2012-03-01,104319686.2
2012-04-01,104659030.1
2012-05-01,104340101.1
2012-06-01,104183288.6
2012-07-01,107389188.0
2012-08-01,111165110.1
2012-09-01,111869597.0
2012-10-01,102087776.8
2012-11-01,110571492.1
2012-12-01,108666320.6
2013-01-01,110075000.2
2013-02-01,109022487.8
2013-03-01,109691048.6
2013-04-01,109660040.6
2013-05-01,112392596.4
