Tarih,TP_FG_C04
2000-01-01,8327637.7
2000-02-01,8854617.8
2000-03-01,8886378.8
2000-04-01,9230108.8
2000-05-01,9682685.4
2000-06-01,10090572.8
2000-07-01,10252335.8
2000-08-01,10649588.3
2000-09-01,10864526.9
2000-10-01,11124047.1
2000-11-01,11246977.3
2000-12-01,11255604.4
2001-01-01,11336312.8
2001-02-01,11855034.5
2001-03-01,14731189.6
2001-04-01,16893040.4
2001-05-01,18926173.6
2001-06-01,19091577.7
2001-07-01,19258782.1
2001-08-01,20022201.2
2001-09-01,21287507.8
2001-10-01,22319775.4
2001-11-01,22476093.0
2001-12-01,22391481.1
2002-01-01,22315099.1
2002-02-01,22283521.3
2002-03-01,22322242.4
2002-04-01,22335404.4
2002-05-01,22400041.4
2002-06-01,22517015.2
2002-07-01,22718665.7
2002-08-01,22738971.7
2002-09-01,22753374.8
2002-10-01,23491612.1
2002-11-01,24022866.1
2002-12-01,24133528.3
2003-01-01,24874984.6
2003-02-01,25770676.6
2003-03-01,26268835.5
2003-04-01,26170970.1
2003-05-01,25291921.2
2003-06-01,25095844.8
2003-07-01,24774438.5
2003-08-01,24819259.5
2003-09-01,24818745.2
2003-10-01,24991471.1
2003-11-01,26066746.0
2003-12-01,26764110.9
2004-01-01,28216024.3
2004-02-01,29886621.3
2004-03-01,30469674.9
2004-04-01,31023787.7
2004-05-01,32230112.4
2004-06-01,32908176.7
2004-07-01,32627126.0
2004-08-01,33610565.6
2004-09-01,34910480.0
2004-10-01,35837757.0
2004-11-01,35778227.4
2004-12-01,34985478.7
2005-01-01,34658814.5
2005-02-01,34419174.2
2005-03-01,34762835.3
2005-04-01,35052471.5
2005-05-01,34719947.1
2005-06-01,34129884.9
2005-07-01,33693219.7
2005-08-01,34052020.0
2005-09-01,34300768.0
2005-10-01,34501465.0
2005-11-01,35056825.1
2005-12-01,34837103.8
2006-01-01,34662653.5
2006-02-01,34808274.9
2006-03-01,35561161.8
2006-04-01,37886945.2
2006-05-01,45862585.0
2006-06-01,50358368.1
2006-07-01,50262874.6
2006-08-01,48981320.4
2006-09-01,48474307.1
2006-10-01,48972404.3
2006-11-01,51311413.6
2006-12-01,51060351.0
2007-01-01,50222926.6
2007-02-01,49068359.4
2007-03-01,51203910.2
2007-04-01,51940081.8
2007-05-01,51666741.0
2007-06-01,52213701.4
2007-07-01,51887687.8
2007-08-01,52684069.1
2007-09-01,52783683.5
2007-10-01,52828840.6
2007-11-01,52639848.9
2007-12-01,51656253.4
2008-01-01,50687820.8
2008-02-01,51192946.0
2008-03-01,54239484.9
2008-04-01,60676063.1
2008-05-01,61406682.5
2008-06-01,59723702.8
2008-07-01,59492847.9
2008-08-01,56510269.1
2008-09-01,56709031.9
2008-10-01,57208319.6
2008-11-01,54928758.7
2008-12-01,48115128.0
2009-01-01,46854293.7
2009-02-01,46648473.0
2009-03-01,47195957.0
2009-04-01,48287497.4
2009-05-01,47564412.7
2009-06-01,46648473.0
2009-07-01,47899852.6
2009-08-01,48694919.4
2009-09-01,50834744.1
2009-10-01,52445883.0
2009-11-01,52957280.2
2009-12-01,53721531.3
2010-01-01,54756945.1
2010-02-01,55963788.8
2010-03-01,58081520.7
2010-04-01,59131856.6
2010-05-01,58624736.4
2010-06-01,58747801.4
2010-07-01,58561400.3
2010-08-01,61606529.5
2010-09-01,63544826.4
2010-10-01,64547644.5
2010-11-01,65930208.2
2010-12-01,70286937.2
2011-01-01,73272945.5
2011-02-01,76368416.9
2011-03-01,77146631.0
2011-04-01,76286021.3
2011-05-01,77001285.3
2011-06-01,76594229.8
2011-07-01,79862893.5
2011-08-01,81061331.6
2011-09-01,78830438.3
2011-10-01,81197945.7
2011-11-01,78474172.7
2011-12-01,81074691.5
2012-01-01,80222887.6
2012-02-01,80165338.2
2012-03-01,80919162.3
2012-04-01,82252364.6
2012-05-01,82996835.0
2012-06-01,81331303.2
2012-07-01,78229220.5
2012-08-01,78233368.8
2012-09-01,79003551.9
2012-10-01,78929986.5
2012-11-01,80607515.6
2012-12-01,82132249.7
2013-01-01,81479037.7
2013-02-01,82361859.9
2013-03-01,82465718.8
2013-04-01,81632179.0
2013-05-01,79782026.7
2013-06-01,80496490.1
2013-07-01,82151854.8
2013-08-01,85350855.2
2013-09-01,86850657.0
2013-10-01,86731426.0
2013-11-01,86801132.7
2013-12-01,87615161.2
2014-01-01,92557766.5
2014-02-01,92537345.0
2014-03-01,92097869.4
2014-04-01,91625349.5
2014-05-01,91168065.0
2014-06-01,92761834.5
2014-07-01,94556583.7
2014-08-01,97939779.7
2014-09-01,94245906.0
2014-10-01,94571371.0
2014-11-01,92418359.4
2014-12-01,87820927.9
2015-01-01,87782296.2
2015-02-01,84306681.3
2015-03-01,88027033.5
2015-04-01,91076973.6
2015-05-01,90757602.2
2015-06-01,85255231.1
2015-07-01,84032643.9
2015-08-01,83466354.8
2015-09-01,86213301.0
2015-10-01,86277642.5
2015-11-01,81615570.1
2015-12-01,80185495.8
2016-01-01,79396713.0
2016-02-01,81606259.9
2016-03-01,84003090.4
2016-04-01,90549231.8
2016-05-01,85058916.0
2016-06-01,87456499.5
2016-07-01,92157953.3
2016-08-01,101788593.9
2016-09-01,98859465.1
2016-10-01,103336937.1
2016-11-01,119372134.9
2016-12-01,117734933.0
2017-01-01,124137162.8
2017-02-01,124879294.7
2017-03-01,126153417.6
2017-04-01,122143542.1
2017-05-01,123953310.9
2017-06-01,122768927.9
2017-07-01,127405789.4
2017-08-01,131577020.2
2017-09-01,132741025.6
2017-10-01,136658416.1
2017-11-01,140746822.4
2017-12-01,139939335.0
2018-01-01,143388348.9
2018-02-01,144784919.7
2018-03-01,146148120.8
2018-04-01,146072696.9
2018-05-01,164118888.6
2018-06-01,165311037.9
2018-07-01,161340349.1
2018-08-01,202513588.3
2018-09-01,212154850.0
2018-10-01,199287723.2
2018-11-01,184159874.4
2018-12-01,180077697.3
2019-01-01,182495647.2
2019-02-01,188846848.6
2019-03-01,192967715.5
2019-04-01,206051189.3
2019-05-01,205955864.6
2019-06-01,201286406.4
2019-07-01,189418233.7
2019-08-01,183659108.1
2019-09-01,185665559.1
