Tarih,TP_FG_C02
2000-01-01,12469780.2
2000-02-01,12861860.7
2000-03-01,13285252.1
2000-04-01,13607075.7
2000-05-01,14056228.2
2000-06-01,14108563.6
2000-07-01,14407771.1
2000-08-01,14670090.7
2000-09-01,14875713.3
2000-10-01,15084704.3
2000-11-01,15491797.1
2000-12-01,15905077.9
2001-01-01,16222052.4
2001-02-01,16386522.6
2001-03-01,17178917.7
2001-04-01,19296378.1
2001-05-01,19553603.3
2001-06-01,20000129.1
2001-07-01,20668968.3
2001-08-01,21291281.4
2001-09-01,22312940.1
2001-10-01,24038081.3
2001-11-01,26222542.6
2001-12-01,27534728.6
2002-01-01,28604067.9
2002-02-01,30142189.8
2002-03-01,30891557.1
2002-04-01,31376232.9
2002-05-01,31645779.7
2002-06-01,31495521.2
2002-07-01,31587539.6
2002-08-01,31886716.9
2002-09-01,32397447.9
2002-10-01,32736692.6
2002-11-01,33847671.7
2002-12-01,35519823.6
2003-01-01,36845868.7
2003-02-01,37931219.0
2003-03-01,38919190.6
2003-04-01,39758940.3
2003-05-01,40441643.8
2003-06-01,41377552.7
2003-07-01,41392513.6
2003-08-01,41742052.5
2003-09-01,41635980.8
2003-10-01,41939456.7
2003-11-01,42824352.0
2003-12-01,43446000.2
2004-01-01,43089831.9
2004-02-01,43403205.0
2004-03-01,43996669.3
2004-04-01,44468737.5
2004-05-01,43748866.0
2004-06-01,43220998.9
2004-07-01,41131713.3
2004-08-01,41719759.9
2004-09-01,42010785.3
2004-10-01,42380668.2
2004-11-01,42081653.9
2004-12-01,42494801.0
2005-01-01,42972730.3
2005-02-01,43007036.7
2005-03-01,43207126.9
2005-04-01,43393971.1
2005-05-01,44256503.6
2005-06-01,44387233.0
2005-07-01,44316938.3
2005-08-01,43853370.0
2005-09-01,44758505.7
2005-10-01,44446654.2
2005-11-01,44931071.0
2005-12-01,45319323.9
2006-01-01,45311824.2
2006-02-01,45643099.8
2006-03-01,45532195.3
2006-04-01,45820471.4
