Tarih,TP_KVADEDOVKOMP_USDTOPLAM
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,37220.0
2005-04-01,40148.0
2005-07-01,43510.0
2005-10-01,43452.0
2006-01-01,45884.0
2006-04-01,49526.0
2006-07-01,48591.0
2006-10-01,49236.0
2007-01-01,42246.0
2007-04-01,46596.0
2007-07-01,46507.0
2007-10-01,51679.0
2008-01-01,53847.0
2008-04-01,61736.0
2008-07-01,65944.0
2008-10-01,56258.0
2009-01-01,50306.0
2009-04-01,52548.0
2009-07-01,53486.0
2009-10-01,56006.0
2010-01-01,60105.0
2010-04-01,70355.0
2010-07-01,78958.0
2010-10-01,92948.0
2011-01-01,90166.0
2011-04-01,101339.0
2011-07-01,101068.0
2011-10-01,96867.0
2012-01-01,101104.0
2012-04-01,109716.0
2012-07-01,110450.0
2012-10-01,114621.0
2013-01-01,124782.0
2013-04-01,135244.0
2013-07-01,138017.0
2013-10-01,141838.0
2014-01-01,135779.0
2014-04-01,142127.0
2014-07-01,142843.0
2014-10-01,142585.0
2015-01-01,136860.0
2015-04-01,133249.0
2015-07-01,121551.0
2015-10-01,104559.0
2016-01-01,106585.0
2016-04-01,107537.0
2016-07-01,101164.0
2016-10-01,90238.0
2017-01-01,96776.0
2017-04-01,102800.0
2017-07-01,105706.0
2017-10-01,109561.0
2018-01-01,108245.0
2018-04-01,106878.0
2018-07-01,99396.0
2018-10-01,92722.0
2019-01-01,93072.0
2019-04-01,95552.0
2019-07-01,93720.0
2019-10-01,95532.0
2020-01-01,92291.0
2020-04-01,98937.0
2020-07-01,105848.0
2020-10-01,111562.0
2021-01-01,112532.0
2021-04-01,119689.0
2021-07-01,121496.0
2021-10-01,118178.0
2022-01-01,128243.0
2022-04-01,133213.0
2022-07-01,137966.0
2022-10-01,148419.0
2023-01-01,160854.0
2023-04-01,165089.0
2023-07-01,168268.0
2023-10-01,174976.0
2024-01-01,170594.0
2024-04-01,175484.0
2024-07-01,172879.0
2024-10-01,173411.0
2025-01-01,168786.0
2025-04-01,169227.0
