Tarih,TP_KVADEDOVKOMP_USDCHF
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,232.0
2005-04-01,250.0
2005-07-01,271.0
2005-10-01,271.0
2006-01-01,236.0
2006-04-01,255.0
2006-07-01,250.0
2006-10-01,253.0
2007-01-01,215.0
2007-04-01,237.0
2007-07-01,236.0
2007-10-01,263.0
2008-01-01,198.0
2008-04-01,227.0
2008-07-01,242.0
2008-10-01,207.0
2009-01-01,230.0
2009-04-01,241.0
2009-07-01,245.0
2009-10-01,257.0
2010-01-01,253.0
2010-04-01,296.0
2010-07-01,333.0
2010-10-01,392.0
2011-01-01,385.0
2011-04-01,433.0
2011-07-01,432.0
2011-10-01,414.0
2012-01-01,298.0
2012-04-01,323.0
2012-07-01,326.0
2012-10-01,338.0
2013-01-01,886.0
2013-04-01,961.0
2013-07-01,980.0
2013-10-01,1007.0
2014-01-01,1416.0
2014-04-01,1482.0
2014-07-01,1490.0
2014-10-01,1487.0
2015-01-01,1017.0
2015-04-01,990.0
2015-07-01,903.0
2015-10-01,777.0
2016-01-01,794.0
2016-04-01,801.0
2016-07-01,754.0
2016-10-01,672.0
2017-01-01,712.0
2017-04-01,756.0
2017-07-01,777.0
2017-10-01,806.0
2018-01-01,759.0
2018-04-01,615.0
2018-07-01,543.0
2018-10-01,6.0
2019-01-01,363.0
2019-04-01,385.0
2019-07-01,447.0
2019-10-01,425.0
2020-01-01,427.0
2020-04-01,354.0
2020-07-01,429.0
2020-10-01,432.0
2021-01-01,396.0
2021-04-01,421.0
2021-07-01,440.0
2021-10-01,450.0
2022-01-01,427.0
2022-04-01,434.0
2022-07-01,439.0
2022-10-01,461.0
2023-01-01,478.0
2023-04-01,488.0
2023-07-01,482.0
2023-10-01,517.0
2024-01-01,435.0
2024-04-01,469.0
2024-07-01,481.0
2024-10-01,247.0
2025-01-01,260.0
2025-04-01,270.0
