Tarih,TP_KVADEDOVKOMP_USDEUR
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,11159.0
2005-04-01,12037.0
2005-07-01,13045.0
2005-10-01,13027.0
2006-01-01,11832.0
2006-04-01,12771.0
2006-07-01,12530.0
2006-10-01,12696.0
2007-01-01,13053.0
2007-04-01,14397.0
2007-07-01,14370.0
2007-10-01,15968.0
2008-01-01,15957.0
2008-04-01,18295.0
2008-07-01,19542.0
2008-10-01,16672.0
2009-01-01,15479.0
2009-04-01,16169.0
2009-07-01,16458.0
2009-10-01,17233.0
2010-01-01,16322.0
2010-04-01,19106.0
2010-07-01,21442.0
2010-10-01,25241.0
2011-01-01,28784.0
2011-04-01,32351.0
2011-07-01,32265.0
2011-10-01,30923.0
2012-01-01,34744.0
2012-04-01,37704.0
2012-07-01,37956.0
2012-10-01,39390.0
2013-01-01,42207.0
2013-04-01,45745.0
2013-07-01,46683.0
2013-10-01,47976.0
2014-01-01,46996.0
2014-04-01,49193.0
2014-07-01,49441.0
2014-10-01,49352.0
2015-01-01,43937.0
2015-04-01,42778.0
2015-07-01,39022.0
2015-10-01,33567.0
2016-01-01,34525.0
2016-04-01,34834.0
2016-07-01,32769.0
2016-10-01,29230.0
2017-01-01,31151.0
2017-04-01,33090.0
2017-07-01,34026.0
2017-10-01,35267.0
2018-01-01,31680.0
2018-04-01,31375.0
2018-07-01,29650.0
2018-10-01,26473.0
2019-01-01,26207.0
2019-04-01,27880.0
2019-07-01,27765.0
2019-10-01,29176.0
2020-01-01,27136.0
2020-04-01,25892.0
2020-07-01,28680.0
2020-10-01,30239.0
2021-01-01,29988.0
2021-04-01,31135.0
2021-07-01,30883.0
2021-10-01,30631.0
2022-01-01,33357.0
2022-04-01,33951.0
2022-07-01,34830.0
2022-10-01,38528.0
2023-01-01,40193.0
2023-04-01,40791.0
2023-07-01,38936.0
2023-10-01,40570.0
2024-01-01,37300.0
2024-04-01,37832.0
2024-07-01,38497.0
2024-10-01,42615.0
2025-01-01,42323.0
2025-04-01,45441.0
