Tarih,TP_KVADEDOVKOMP_USDDIGER
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,40.0
2005-04-01,43.0
2005-07-01,47.0
2005-10-01,46.0
2006-01-01,46.0
2006-04-01,49.0
2006-07-01,48.0
2006-10-01,49.0
2007-01-01,42.0
2007-04-01,46.0
2007-07-01,45.0
2007-10-01,50.0
2008-01-01,41.0
2008-04-01,46.0
2008-07-01,49.0
2008-10-01,42.0
2009-01-01,32.0
2009-04-01,32.0
2009-07-01,33.0
2009-10-01,35.0
2010-01-01,46.0
2010-04-01,50.0
2010-07-01,56.0
2010-10-01,67.0
2011-01-01,72.0
2011-04-01,81.0
2011-07-01,79.0
2011-10-01,78.0
2012-01-01,139.0
2012-04-01,153.0
2012-07-01,152.0
2012-10-01,158.0
2013-01-01,319.0
2013-04-01,347.0
2013-07-01,354.0
2013-10-01,364.0
2014-01-01,429.0
2014-04-01,449.0
2014-07-01,450.0
2014-10-01,447.0
2015-01-01,429.0
2015-04-01,418.0
2015-07-01,381.0
2015-10-01,326.0
2016-01-01,394.0
2016-04-01,395.0
2016-07-01,374.0
2016-10-01,334.0
2017-01-01,904.0
2017-04-01,961.0
2017-07-01,988.0
2017-10-01,1092.0
2018-01-01,1141.0
2018-04-01,1582.0
2018-07-01,4516.0
2018-10-01,4098.0
2019-01-01,3775.0
2019-04-01,4389.0
2019-07-01,4347.0
2019-10-01,6422.0
2020-01-01,6337.0
2020-04-01,17564.0
2020-07-01,17855.0
2020-10-01,18035.0
2021-01-01,17842.0
2021-04-01,21047.0
2021-07-01,21200.0
2021-10-01,21465.0
2022-01-01,24234.0
2022-04-01,23753.0
2022-07-01,24316.0
2022-10-01,24440.0
2023-01-01,24470.0
2023-04-01,24196.0
2023-07-01,24186.0
2023-10-01,24576.0
2024-01-01,25521.0
2024-04-01,24753.0
2024-07-01,24184.0
2024-10-01,25849.0
2025-01-01,22914.0
2025-04-01,23149.0
