Tarih,TP_KVADEDOVKOMP_USDJPY
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,173.0
2005-04-01,187.0
2005-07-01,202.0
2005-10-01,202.0
2006-01-01,230.0
2006-04-01,248.0
2006-07-01,244.0
2006-10-01,247.0
2007-01-01,203.0
2007-04-01,224.0
2007-07-01,224.0
2007-10-01,249.0
2008-01-01,302.0
2008-04-01,346.0
2008-07-01,370.0
2008-10-01,315.0
2009-01-01,229.0
2009-04-01,240.0
2009-07-01,244.0
2009-10-01,255.0
2010-01-01,217.0
2010-04-01,255.0
2010-07-01,286.0
2010-10-01,336.0
2011-01-01,287.0
2011-04-01,322.0
2011-07-01,321.0
2011-10-01,308.0
2012-01-01,390.0
2012-04-01,423.0
2012-07-01,426.0
2012-10-01,442.0
2013-01-01,268.0
2013-04-01,290.0
2013-07-01,296.0
2013-10-01,304.0
2014-01-01,251.0
2014-04-01,263.0
2014-07-01,265.0
2014-10-01,264.0
2015-01-01,212.0
2015-04-01,206.0
2015-07-01,188.0
2015-10-01,162.0
2016-01-01,204.0
2016-04-01,206.0
2016-07-01,194.0
2016-10-01,173.0
2017-01-01,189.0
2017-04-01,201.0
2017-07-01,207.0
2017-10-01,215.0
2018-01-01,229.0
2018-04-01,295.0
2018-07-01,207.0
2018-10-01,208.0
2019-01-01,197.0
2019-04-01,204.0
2019-07-01,210.0
2019-10-01,207.0
2020-01-01,205.0
2020-04-01,168.0
2020-07-01,206.0
2020-10-01,245.0
2021-01-01,235.0
2021-04-01,271.0
2021-07-01,287.0
2021-10-01,290.0
2022-01-01,275.0
2022-04-01,262.0
2022-07-01,297.0
2022-10-01,373.0
2023-01-01,399.0
2023-04-01,361.0
2023-07-01,378.0
2023-10-01,423.0
2024-01-01,396.0
2024-04-01,365.0
2024-07-01,412.0
2024-10-01,79.0
2025-01-01,79.0
2025-04-01,51.0
