Tarih,TP_KVADEDOVKOMP_USDTRY
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,2402.0
2005-04-01,2591.0
2005-07-01,2808.0
2005-10-01,2805.0
2006-01-01,6136.0
2006-04-01,6624.0
2006-07-01,6498.0
2006-10-01,6584.0
2007-01-01,4923.0
2007-04-01,5430.0
2007-07-01,5421.0
2007-10-01,6023.0
2008-01-01,7847.0
2008-04-01,8998.0
2008-07-01,9611.0
2008-10-01,8199.0
2009-01-01,9065.0
2009-04-01,9468.0
2009-07-01,9638.0
2009-10-01,10092.0
2010-01-01,15904.0
2010-04-01,18618.0
2010-07-01,20894.0
2010-10-01,24596.0
2011-01-01,15488.0
2011-04-01,17407.0
2011-07-01,17362.0
2011-10-01,16639.0
2012-01-01,15414.0
2012-04-01,16725.0
2012-07-01,16838.0
2012-10-01,17474.0
2013-01-01,16362.0
2013-04-01,17733.0
2013-07-01,18097.0
2013-10-01,18598.0
2014-01-01,16572.0
2014-04-01,17347.0
2014-07-01,17434.0
2014-10-01,17405.0
2015-01-01,17890.0
2015-04-01,17418.0
2015-07-01,15890.0
2015-10-01,13669.0
2016-01-01,17120.0
2016-04-01,17275.0
2016-07-01,16249.0
2016-10-01,14494.0
2017-01-01,14287.0
2017-04-01,15176.0
2017-07-01,15605.0
2017-10-01,16104.0
2018-01-01,18042.0
2018-04-01,17135.0
2018-07-01,13896.0
2018-10-01,16928.0
2019-01-01,16434.0
2019-04-01,14969.0
2019-07-01,14163.0
2019-10-01,14303.0
2020-01-01,15052.0
2020-04-01,16357.0
2020-07-01,15460.0
2020-10-01,17102.0
2021-01-01,16350.0
2021-04-01,15458.0
2021-07-01,15182.0
2021-10-01,10276.0
2022-01-01,12514.0
2022-04-01,12038.0
2022-07-01,12183.0
2022-10-01,14378.0
2023-01-01,18040.0
2023-04-01,14909.0
2023-07-01,15822.0
2023-10-01,17230.0
2024-01-01,18534.0
2024-04-01,24029.0
2024-07-01,25667.0
2024-10-01,36553.0
2025-01-01,39879.0
2025-04-01,34885.0
