Tarih,TP_KVADEDOVKOMP_ORJEUR
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,8614.0
2005-04-01,9987.0
2005-07-01,10825.0
2005-10-01,11001.0
2006-01-01,9801.0
2006-04-01,10186.0
2006-07-01,9854.0
2006-10-01,9652.0
2007-01-01,9786.0
2007-04-01,10697.0
2007-07-01,10150.0
2007-10-01,10876.0
2008-01-01,10106.0
2008-04-01,11619.0
2008-07-01,13387.0
2008-10-01,11777.0
2009-01-01,11737.0
2009-04-01,11523.0
2009-07-01,11356.0
2009-10-01,12012.0
2010-01-01,12100.0
2010-04-01,15655.0
2010-07-01,15753.0
2010-10-01,19044.0
2011-01-01,20429.0
2011-04-01,22451.0
2011-07-01,23669.0
2011-10-01,24228.0
2012-01-01,26135.0
2012-04-01,30296.0
2012-07-01,28959.0
2012-10-01,29857.0
2013-01-01,32993.0
2013-04-01,35118.0
2013-07-01,34553.0
2013-10-01,34869.0
2014-01-01,34221.0
2014-04-01,36121.0
2014-07-01,38966.0
2014-10-01,40572.0
2015-01-01,40421.0
2015-04-01,38400.0
2015-07-01,34618.0
2015-10-01,30622.0
2016-01-01,30421.0
2016-04-01,31405.0
2016-07-01,29258.0
2016-10-01,27982.0
2017-01-01,29024.0
2017-04-01,29039.0
2017-07-01,28972.0
2017-10-01,29605.0
2018-01-01,25779.0
2018-04-01,27101.0
2018-07-01,25302.0
2018-10-01,23079.0
2019-01-01,23311.0
2019-04-01,24507.0
2019-07-01,25429.0
2019-10-01,26076.0
2020-01-01,24510.0
2020-04-01,23002.0
2020-07-01,24564.0
2020-10-01,24658.0
2021-01-01,25563.0
2021-04-01,26166.0
2021-07-01,26479.0
2021-10-01,27051.0
2022-01-01,29873.0
2022-04-01,32169.0
2022-07-01,35680.0
2022-10-01,36124.0
2023-01-01,36916.0
2023-04-01,37336.0
2023-07-01,36868.0
2023-10-01,36428.0
2024-01-01,34466.0
2024-04-01,35274.0
2024-07-01,34468.0
2024-10-01,40854.0
2025-01-01,39267.0
2025-04-01,38792.0
