Tarih,TP_KVADEDOVKOMP_ORJUSD
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,22651.0
2005-04-01,24433.0
2005-07-01,26479.0
2005-10-01,26444.0
2006-01-01,26709.0
2006-04-01,28829.0
2006-07-01,28285.0
2006-10-01,28661.0
2007-01-01,23101.0
2007-04-01,25480.0
2007-07-01,25431.0
2007-10-01,28259.0
2008-01-01,28860.0
2008-04-01,33088.0
2008-07-01,35344.0
2008-10-01,30152.0
2009-01-01,24649.0
2009-04-01,25748.0
2009-07-01,26207.0
2009-10-01,27442.0
2010-01-01,26701.0
2010-04-01,31255.0
2010-07-01,35077.0
2010-10-01,41292.0
2011-01-01,44149.0
2011-04-01,49620.0
2011-07-01,49487.0
2011-10-01,47430.0
2012-01-01,49098.0
2012-04-01,53280.0
2012-07-01,53637.0
2012-10-01,55662.0
2013-01-01,63534.0
2013-04-01,68861.0
2013-07-01,70273.0
2013-10-01,72218.0
2014-01-01,68630.0
2014-04-01,71838.0
2014-07-01,72200.0
2014-10-01,72070.0
2015-01-01,71320.0
2015-04-01,69438.0
2015-07-01,63342.0
2015-10-01,54488.0
2016-01-01,51993.0
2016-04-01,52458.0
2016-07-01,49349.0
2016-10-01,44019.0
2017-01-01,48091.0
2017-04-01,51084.0
2017-07-01,52528.0
2017-10-01,54444.0
2018-01-01,54593.0
2018-04-01,54229.0
2018-07-01,49253.0
2018-10-01,43711.0
2019-01-01,44726.0
2019-04-01,46351.0
2019-07-01,45430.0
2019-10-01,43564.0
2020-01-01,41803.0
2020-04-01,37235.0
2020-07-01,41704.0
2020-10-01,43848.0
2021-01-01,46038.0
2021-04-01,49641.0
2021-07-01,51721.0
2021-10-01,53308.0
2022-01-01,55656.0
2022-04-01,61088.0
2022-07-01,63755.0
2022-10-01,67721.0
2023-01-01,74321.0
2023-04-01,81047.0
2023-07-01,85284.0
2023-10-01,88476.0
2024-01-01,85759.0
2024-04-01,85155.0
2024-07-01,80586.0
2024-10-01,65439.0
2025-01-01,60903.0
2025-04-01,62987.0
