Tarih,TP_KVADEDOVKOMP_ORJJPY
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,18683.0
2005-04-01,20701.0
2005-07-01,22781.0
2005-10-01,23844.0
2006-01-01,26949.0
2006-04-01,28818.0
2006-07-01,28697.0
2006-10-01,29415.0
2007-01-01,23868.0
2007-04-01,27558.0
2007-07-01,25974.0
2007-10-01,28160.0
2008-01-01,30334.0
2008-04-01,36787.0
2008-07-01,39044.0
2008-10-01,28507.0
2009-01-01,22097.0
2009-04-01,22873.0
2009-07-01,21920.0
2009-10-01,23478.0
2010-01-01,20072.0
2010-04-01,22618.0
2010-07-01,23866.0
2010-10-01,27286.0
2011-01-01,23870.0
2011-04-01,26004.0
2011-07-01,24625.0
2011-10-01,24002.0
2012-01-01,32130.0
2012-04-01,33446.0
2012-07-01,33118.0
2012-10-01,38059.0
2013-01-01,25278.0
2013-04-01,28385.0
2013-07-01,29150.0
2013-10-01,32010.0
2014-01-01,25662.0
2014-04-01,26626.0
2014-07-01,29000.0
2014-10-01,31597.0
2015-01-01,25441.0
2015-04-01,25304.0
2015-07-01,22520.0
2015-10-01,19482.0
2016-01-01,22856.0
2016-04-01,21102.0
2016-07-01,19706.0
2016-10-01,20143.0
2017-01-01,20991.0
2017-04-01,22603.0
2017-07-01,23273.0
2017-10-01,24302.0
2018-01-01,24394.0
2018-04-01,32569.0
2018-07-01,23391.0
2018-10-01,22978.0
2019-01-01,21660.0
2019-04-01,22014.0
2019-07-01,22621.0
2019-10-01,22553.0
2020-01-01,22031.0
2020-04-01,17968.0
2020-07-01,21789.0
2020-10-01,25280.0
2021-01-01,25946.0
2021-04-01,30017.0
2021-07-01,31959.0
2021-10-01,33409.0
2022-01-01,33420.0
2022-04-01,35682.0
2022-07-01,42922.0
2022-10-01,49876.0
2023-01-01,52922.0
2023-04-01,51795.0
2023-07-01,56472.0
2023-10-01,59579.0
2024-01-01,59874.0
2024-04-01,58598.0
2024-07-01,59047.0
2024-10-01,12468.0
2025-01-01,11898.0
2025-04-01,7366.0
