Tarih,TP_KVADEDOVKOMP_USDGBP
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,563.0
2005-04-01,607.0
2005-07-01,658.0
2005-10-01,657.0
2006-01-01,695.0
2006-04-01,750.0
2006-07-01,736.0
2006-10-01,746.0
2007-01-01,709.0
2007-04-01,782.0
2007-07-01,780.0
2007-10-01,867.0
2008-01-01,642.0
2008-04-01,736.0
2008-07-01,786.0
2008-10-01,671.0
2009-01-01,622.0
2009-04-01,650.0
2009-07-01,661.0
2009-10-01,692.0
2010-01-01,662.0
2010-04-01,775.0
2010-07-01,870.0
2010-10-01,1024.0
2011-01-01,1001.0
2011-04-01,1125.0
2011-07-01,1122.0
2011-10-01,1075.0
2012-01-01,1021.0
2012-04-01,1108.0
2012-07-01,1115.0
2012-10-01,1157.0
2013-01-01,1206.0
2013-04-01,1307.0
2013-07-01,1334.0
2013-10-01,1371.0
2014-01-01,1485.0
2014-04-01,1555.0
2014-07-01,1563.0
2014-10-01,1560.0
2015-01-01,2055.0
2015-04-01,2001.0
2015-07-01,1825.0
2015-10-01,1570.0
2016-01-01,1555.0
2016-04-01,1568.0
2016-07-01,1475.0
2016-10-01,1316.0
2017-01-01,1442.0
2017-04-01,1532.0
2017-07-01,1575.0
2017-10-01,1633.0
2018-01-01,1801.0
2018-04-01,1647.0
2018-07-01,1331.0
2018-10-01,1298.0
2019-01-01,1370.0
2019-04-01,1374.0
2019-07-01,1358.0
2019-10-01,1435.0
2020-01-01,1331.0
2020-04-01,1367.0
2020-07-01,1514.0
2020-10-01,1661.0
2021-01-01,1683.0
2021-04-01,1716.0
2021-07-01,1783.0
2021-10-01,1758.0
2022-01-01,1780.0
2022-04-01,1687.0
2022-07-01,2146.0
2022-10-01,2518.0
2023-01-01,2953.0
2023-04-01,3297.0
2023-07-01,3180.0
2023-10-01,3184.0
2024-01-01,2649.0
2024-04-01,2881.0
2024-07-01,3052.0
2024-10-01,2629.0
2025-01-01,2428.0
2025-04-01,2444.0
