Tarih,TP_KVADEDOVKOMP_ORJGBP
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,298.0
2005-04-01,334.0
2005-07-01,372.0
2005-10-01,384.0
2006-01-01,399.0
2006-04-01,414.0
2006-07-01,390.0
2006-10-01,379.0
2007-01-01,361.0
2007-04-01,390.0
2007-07-01,386.0
2007-10-01,434.0
2008-01-01,322.0
2008-04-01,370.0
2008-07-01,426.0
2008-10-01,463.0
2009-01-01,438.0
2009-04-01,395.0
2009-07-01,417.0
2009-10-01,437.0
2010-01-01,439.0
2010-04-01,515.0
2010-07-01,551.0
2010-10-01,660.0
2011-01-01,622.0
2011-04-01,702.0
2011-07-01,716.0
2011-10-01,698.0
2012-01-01,645.0
2012-04-01,712.0
2012-07-01,687.0
2012-10-01,718.0
2013-01-01,796.0
2013-04-01,855.0
2013-07-01,829.0
2013-10-01,832.0
2014-01-01,894.0
2014-04-01,913.0
2014-07-01,965.0
2014-10-01,1004.0
2015-01-01,1385.0
2015-04-01,1276.0
2015-07-01,1204.0
2015-10-01,1060.0
2016-01-01,1077.0
2016-04-01,1170.0
2016-07-01,1132.0
2016-10-01,1073.0
2017-01-01,1160.0
2017-04-01,1181.0
2017-07-01,1176.0
2017-10-01,1215.0
2018-01-01,1282.0
2018-04-01,1258.0
2018-07-01,1013.0
2018-10-01,1025.0
2019-01-01,1041.0
2019-04-01,1080.0
2019-07-01,1103.0
2019-10-01,1094.0
2020-01-01,1074.0
2020-04-01,1107.0
2020-07-01,1173.0
2020-10-01,1212.0
2021-01-01,1222.0
2021-04-01,1235.0
2021-07-01,1424.0
2021-10-01,1308.0
2022-01-01,1353.0
2022-04-01,1381.0
2022-07-01,1975.0
2022-10-01,2089.0
2023-01-01,2397.0
2023-04-01,2594.0
2023-07-01,2606.0
2023-10-01,2490.0
2024-01-01,2098.0
2024-04-01,2276.0
2024-07-01,2284.0
2024-10-01,2089.0
2025-01-01,1878.0
2025-04-01,1778.0
