Tarih,TP_SEKBILD02E_74
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,47.5
2010-01-01,39.5
2011-01-01,42.6
2012-01-01,40.3
2013-01-01,66.2
2014-01-01,51.5
2015-01-01,36.3
2016-01-01,84.3
2017-01-01,35.4
2018-01-01,33.5
2019-01-01,32.3
2020-01-01,34.2
2021-01-01,30.7
2022-01-01,30.4
2023-01-01,25.3
