Tarih,TP_UYPUCAY_K80
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,9064.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,6813.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,9416.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,12331.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,16674.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,19578.0
2006-01-01,18795.0
2006-04-01,22493.0
2006-07-01,22526.0
2006-10-01,22988.0
2007-01-01,22163.0
2007-04-01,25928.0
2007-07-01,27759.0
2007-10-01,30329.0
2008-01-01,31643.0
2008-04-01,35297.0
2008-07-01,35775.0
2008-10-01,26746.0
2009-01-01,25321.0
2009-04-01,27520.0
2009-07-01,27811.0
2009-10-01,28442.0
2010-01-01,26436.0
2010-04-01,28941.0
2010-07-01,31782.0
2010-10-01,37542.0
2011-01-01,34890.0
2011-04-01,39212.0
2011-07-01,38218.0
2011-10-01,37453.0
2012-01-01,34302.0
2012-04-01,36040.0
2012-07-01,34813.0
2012-10-01,36800.0
2013-01-01,34793.0
2013-04-01,37168.0
2013-07-01,37085.0
2013-10-01,36667.0
2014-01-01,34028.0
2014-04-01,35636.0
2014-07-01,35532.0
2014-10-01,34971.0
2015-01-01,30781.0
2015-04-01,31809.0
2015-07-01,29431.0
2015-10-01,30163.0
2016-01-01,28217.0
2016-04-01,31430.0
2016-07-01,27978.0
2016-10-01,29351.0
2017-01-01,28823.0
2017-04-01,31715.0
2017-07-01,34717.0
2017-10-01,37792.0
2018-01-01,34317.0
2018-04-01,35367.0
2018-07-01,31707.0
2018-10-01,30041.0
2019-01-01,30599.0
2019-04-01,32298.0
2019-07-01,31524.0
2019-10-01,33230.0
2020-01-01,31221.0
2020-04-01,25210.0
2020-07-01,30506.0
2020-10-01,32858.0
2021-01-01,32742.0
2021-04-01,36829.0
2021-07-01,39162.0
2021-10-01,42002.0
2022-01-01,44494.0
2022-04-01,48236.0
2022-07-01,49656.0
2022-10-01,51747.0
2023-01-01,53618.0
2023-04-01,52982.0
2023-07-01,56208.0
2023-10-01,58119.0
2024-01-01,53465.0
2024-04-01,55667.0
2024-07-01,57411.0
2024-10-01,60518.0
2025-01-01,57440.0
2025-04-01,62139.0
