Tarih,TP_UYPUCAY_K31
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,1184.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,1235.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,1257.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1272.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,1288.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,1326.0
2006-01-01,1340.0
2006-04-01,1355.0
2006-07-01,1373.0
2006-10-01,1395.0
2007-01-01,1407.0
2007-04-01,1425.0
2007-07-01,1443.0
2007-10-01,1468.0
2008-01-01,1477.0
2008-04-01,1487.0
2008-07-01,1496.0
2008-10-01,1510.0
2009-01-01,1511.0
2009-04-01,1513.0
2009-07-01,1514.0
2009-10-01,1515.0
2010-01-01,1516.0
2010-04-01,1517.0
2010-07-01,1518.0
2010-10-01,1519.0
2011-01-01,1520.0
2011-04-01,1521.0
2011-07-01,1522.0
2011-10-01,1523.0
2012-01-01,1523.0
2012-04-01,1524.0
2012-07-01,1525.0
2012-10-01,1526.0
2013-01-01,1527.0
2013-04-01,1528.0
2013-07-01,1528.0
2013-10-01,1529.0
2014-01-01,1529.0
2014-04-01,1530.0
2014-07-01,1530.0
2014-10-01,1531.0
2015-01-01,1531.0
2015-04-01,1532.0
2015-07-01,1533.0
2015-10-01,1534.0
2016-01-01,1535.0
2016-04-01,1537.0
2016-07-01,1539.0
2016-10-01,1541.0
2017-01-01,1543.0
2017-04-01,1545.0
2017-07-01,1547.0
2017-10-01,1549.0
2018-01-01,1551.0
2018-04-01,1552.0
2018-07-01,1555.0
2018-10-01,1557.0
2019-01-01,1558.0
2019-04-01,1561.0
2019-07-01,1563.0
2019-10-01,1565.0
2020-01-01,1567.0
2020-04-01,1568.0
2020-07-01,1571.0
2020-10-01,1573.0
2021-01-01,1575.0
2021-04-01,1577.0
2021-07-01,1579.0
2021-10-01,1581.0
2022-01-01,1583.0
2022-04-01,1585.0
2022-07-01,1587.0
2022-10-01,1589.0
2023-01-01,1591.0
2023-04-01,1593.0
2023-07-01,1595.0
2023-10-01,1567.0
2024-01-01,1599.0
2024-04-01,1601.0
2024-07-01,1603.0
2024-10-01,1604.0
2025-01-01,1615.0
2025-04-01,1610.0
