Tarih,TP_UYPUCAY_K24
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,1855.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,2766.62
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,2216.33
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,2696.64
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,2105.23
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,1314.0
2006-01-01,1479.0
2006-04-01,1571.0
2006-07-01,1522.0
2006-10-01,1915.0
2007-01-01,1919.0
2007-04-01,2059.0
2007-07-01,1852.0
2007-10-01,1826.0
2008-01-01,2589.0
2008-04-01,2531.0
2008-07-01,3492.0
2008-10-01,2325.0
2009-01-01,2307.0
2009-04-01,2415.0
2009-07-01,2501.0
2009-10-01,2576.0
2010-01-01,2231.0
2010-04-01,2396.0
2010-07-01,2693.0
2010-10-01,2538.0
2011-01-01,2847.0
2011-04-01,2750.0
2011-07-01,2737.0
2011-10-01,2570.0
2012-01-01,2629.0
2012-04-01,3139.0
2012-07-01,3202.0
2012-10-01,3072.0
2013-01-01,3142.0
2013-04-01,3064.0
2013-07-01,2930.0
2013-10-01,3032.0
2014-01-01,2946.0
2014-04-01,2923.0
2014-07-01,4617.0
2014-10-01,4357.0
2015-01-01,4310.0
2015-04-01,4908.0
2015-07-01,4613.0
2015-10-01,5570.0
2016-01-01,6480.0
2016-04-01,6447.0
2016-07-01,6541.0
2016-10-01,8176.0
2017-01-01,5640.0
2017-04-01,5815.0
2017-07-01,7023.0
2017-10-01,7310.0
2018-01-01,6686.0
2018-04-01,7405.0
2018-07-01,7376.0
2018-10-01,8256.0
2019-01-01,7967.0
2019-04-01,6759.0
2019-07-01,7143.0
2019-10-01,7972.0
2020-01-01,8688.0
2020-04-01,7435.0
2020-07-01,7642.0
2020-10-01,6209.0
2021-01-01,7195.0
2021-04-01,7857.0
2021-07-01,7954.0
2021-10-01,7761.0
2022-01-01,6998.0
2022-04-01,7912.0
2022-07-01,7865.0
2022-10-01,7246.0
2023-01-01,6949.0
2023-04-01,6809.0
2023-07-01,5587.0
2023-10-01,5277.0
2024-01-01,5305.0
2024-04-01,5415.0
2024-07-01,6788.0
2024-10-01,5581.0
2025-01-01,6228.0
2025-04-01,5955.0
