Tarih,TP_UYPUCAY_K1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,-96637.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,-82766.87
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,-83118.14
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,-102942.28
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,-123985.99
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,-169870.0
2006-01-01,-186424.0
2006-04-01,-158869.0
2006-07-01,-175762.0
2006-10-01,-203096.0
2007-01-01,-222528.0
2007-04-01,-248816.0
2007-07-01,-290693.0
2007-10-01,-309633.0
2008-01-01,-243291.0
2008-04-01,-252941.0
2008-07-01,-255184.0
2008-10-01,-191623.0
2009-01-01,-170378.0
2009-04-01,-225603.0
2009-07-01,-260567.0
2009-10-01,-269486.0
2010-01-01,-293845.0
2010-04-01,-288891.0
2010-07-01,-359441.0
2010-10-01,-362671.0
2011-01-01,-380080.0
2011-04-01,-378676.0
2011-07-01,-334194.0
2011-10-01,-318379.0
2012-01-01,-378541.0
2012-04-01,-373834.0
2012-07-01,-391018.0
2012-10-01,-434970.0
2013-01-01,-448947.0
2013-04-01,-424878.0
2013-07-01,-407193.0
2013-10-01,-392015.0
2014-01-01,-382534.0
2014-04-01,-430481.0
2014-07-01,-392896.0
2014-10-01,-441731.0
2015-01-01,-393939.0
2015-04-01,-402851.0
2015-07-01,-354637.0
2015-10-01,-371616.0
2016-01-01,-399069.0
2016-04-01,-386905.0
2016-07-01,-384393.0
2016-10-01,-338469.0
2017-01-01,-372383.0
2017-04-01,-414108.0
2017-07-01,-434709.0
2017-10-01,-444977.0
2018-01-01,-423952.0
2018-04-01,-371261.0
2018-07-01,-299350.0
2018-10-01,-325674.0
2019-01-01,-298810.0
2019-04-01,-297702.0
2019-07-01,-311069.0
2019-10-01,-309371.0
2020-01-01,-262472.0
2020-04-01,-310562.0
2020-07-01,-322870.0
2020-10-01,-384330.0
2021-01-01,-298349.0
2021-04-01,-267692.0
2021-07-01,-260006.0
2021-10-01,-237949.0
2022-01-01,-223896.0
2022-04-01,-198679.0
2022-07-01,-204512.0
2022-10-01,-358878.0
2023-01-01,-297457.0
2023-04-01,-268500.0
2023-07-01,-343161.0
2023-10-01,-331507.0
2024-01-01,-373968.0
2024-04-01,-381431.0
2024-07-01,-326387.0
2024-10-01,-345916.0
2025-01-01,-324389.0
2025-04-01,-334961.0
