Tarih,TP_TLDTHVADE_KB2,TP_TLDTHVADE_KB2
2007-03-09,2007-10,51392152.0
2007-03-16,2007-11,51687435.0
2007-03-23,2007-12,49820190.0
2007-03-30,2007-13,51174052.0
2007-04-06,2007-14,51890819.0
2007-04-13,2007-15,52978322.0
2007-04-20,2007-16,52297330.0
2007-04-27,2007-17,52370911.0
2007-05-04,2007-18,52880530.0
2007-05-11,2007-19,56381166.0
2007-05-18,2007-20,55177411.0
2007-05-25,2007-21,55429308.0
2007-06-01,2007-22,51863049.0
2007-06-08,2007-23,50174867.0
2007-06-15,2007-24,48614792.0
2007-06-22,2007-25,49512064.0
2007-06-29,2007-26,49321573.0
2007-07-06,2007-27,50572869.0
2007-07-13,2007-28,50461236.0
2007-07-20,2007-29,50686709.0
2007-07-27,2007-30,50099091.0
2007-08-03,2007-31,50052862.0
2007-08-10,2007-32,50050730.0
2007-08-17,2007-33,52422869.0
2007-08-24,2007-34,53074397.0
2007-08-31,2007-35,52535599.0
2007-09-07,2007-36,52817939.0
2007-09-14,2007-37,53329218.0
2007-09-21,2007-38,51319736.0
2007-09-28,2007-39,50311673.0
2007-10-05,2007-40,50005579.0
2007-10-12,2007-41,51551424.0
2007-10-19,2007-42,51131113.0
2007-10-26,2007-43,51072781.0
2007-11-02,2007-44,51769832.0
2007-11-09,2007-45,53351919.0
2007-11-16,2007-46,53347918.0
2007-11-23,2007-47,51615562.0
2007-11-30,2007-48,49861415.0
2007-12-07,2007-49,53334797.0
2007-12-14,2007-50,53619345.0
2007-12-21,2007-51,55510543.0
2007-12-28,2007-52,56776899.0
2008-01-04,2008-1,57710458.0
2008-01-11,2008-2,58392913.0
2008-01-18,2008-3,58151803.0
2008-01-25,2008-4,59327885.0
2008-02-01,2008-5,60000050.0
2008-02-08,2008-6,59716381.0
2008-02-15,2008-7,60559683.0
2008-02-22,2008-8,61213891.0
2008-02-29,2008-9,59866238.0
2008-03-07,2008-10,62275710.0
2008-03-14,2008-11,63991038.0
2008-03-21,2008-12,64592253.0
