Tarih,TP_IYA_CONS2_S25_X
2015-06-01,684.0
2015-07-01,678.0
2015-08-01,676.0
2015-09-01,690.0
2015-10-01,664.0
2015-11-01,677.0
2015-12-01,670.0
2016-01-01,639.0
2016-02-01,651.0
2016-03-01,662.0
2016-04-01,660.0
2016-05-01,655.0
2016-06-01,655.0
2016-07-01,633.0
2016-08-01,645.0
2016-09-01,643.0
2016-10-01,631.0
2016-11-01,649.0
2016-12-01,651.0
2017-01-01,650.0
2017-02-01,647.0
2017-03-01,652.0
2017-04-01,620.0
2017-05-01,637.0
2017-06-01,639.0
2017-07-01,621.0
2017-08-01,616.0
2017-09-01,628.0
2017-10-01,621.0
2017-11-01,641.0
2017-12-01,628.0
2018-01-01,628.0
2018-02-01,623.0
2018-03-01,632.0
2018-04-01,626.0
2018-05-01,637.0
2018-06-01,607.0
2018-07-01,617.0
2018-08-01,617.0
2018-09-01,621.0
2018-10-01,615.0
2018-11-01,613.0
2018-12-01,611.0
2019-01-01,516.0
2019-02-01,505.0
2019-03-01,506.0
2019-04-01,493.0
2019-05-01,489.0
2019-06-01,492.0
2019-07-01,494.0
2019-08-01,510.0
2019-09-01,505.0
2019-10-01,509.0
2019-11-01,500.0
2019-12-01,512.0
2020-01-01,502.0
2020-02-01,503.0
2020-03-01,505.0
2020-04-01,463.0
2020-05-01,473.0
2020-06-01,472.0
2020-07-01,483.0
2020-08-01,484.0
2020-09-01,479.0
2020-10-01,478.0
2020-11-01,478.0
2020-12-01,469.0
2021-01-01,480.0
2021-02-01,496.0
2021-03-01,501.0
2021-04-01,496.0
2021-05-01,492.0
2021-06-01,493.0
2021-07-01,481.0
2021-08-01,501.0
2021-09-01,505.0
2021-10-01,508.0
2021-11-01,489.0
2021-12-01,505.0
2022-01-01,499.0
2022-02-01,483.0
2022-03-01,497.0
2022-04-01,498.0
2022-05-01,507.0
2022-06-01,506.0
2022-07-01,494.0
2022-08-01,502.0
2022-09-01,513.0
2022-10-01,492.0
2022-11-01,503.0
2022-12-01,505.0
2023-01-01,508.0
2023-02-01,488.0
2023-03-01,496.0
2023-04-01,498.0
2023-05-01,514.0
2023-06-01,518.0
2023-07-01,516.0
2023-08-01,511.0
2023-09-01,527.0
2023-10-01,510.0
2023-11-01,520.0
2023-12-01,515.0
2024-01-01,516.0
2024-02-01,502.0
2024-03-01,507.0
2024-04-01,504.0
2024-05-01,526.0
2024-06-01,519.0
2024-07-01,528.0
2024-08-01,525.0
2024-09-01,527.0
2024-10-01,539.0
2024-11-01,517.0
2024-12-01,529.0
2025-01-01,512.0
2025-02-01,517.0
2025-03-01,505.0
2025-04-01,504.0
2025-05-01,521.0
2025-06-01,529.0
2025-07-01,513.0
2025-08-01,515.0
2025-09-01,519.0
