Tarih,TP_KB_A03
2000-01-01,2635262.0
2000-02-01,3103334.0
2000-03-01,3117896.0
2000-04-01,3137514.0
2000-05-01,3144263.0
2000-06-01,3175963.0
2000-07-01,3113682.0
2000-08-01,3092131.0
2000-09-01,3041682.0
2000-10-01,3041682.0
2000-11-01,3041682.0
2000-12-01,6989713.0
2001-01-01,14222245.0
2001-02-01,15469345.0
2001-03-01,19993749.0
2001-04-01,27017266.0
2001-05-01,52735698.0
2001-06-01,52634733.0
2001-07-01,55018500.0
2001-08-01,56495437.0
2001-09-01,57321402.0
2001-10-01,60435907.0
2001-11-01,62046327.0
2001-12-01,61424163.0
2002-01-01,65481003.0
2002-02-01,60912729.0
2002-03-01,60563105.0
2002-04-01,59225721.0
2002-05-01,57050447.0
2002-06-01,57379055.0
2002-07-01,57323623.0
2002-08-01,60006880.0
2002-09-01,60439438.0
2002-10-01,60568255.0
2002-11-01,60318435.0
2002-12-01,60598720.0
2003-01-01,59944668.0
2003-02-01,60252695.0
2003-03-01,61107438.0
2003-04-01,58591254.0
2003-05-01,58772612.0
2003-06-01,58606108.0
2003-07-01,58689572.0
2003-08-01,58484362.0
2003-09-01,58334826.0
2003-10-01,58289618.0
2003-11-01,57627107.0
2003-12-01,63131726.0
2004-01-01,62450866.0
2004-02-01,62432580.0
2004-03-01,62191985.0
2004-04-01,62267691.0
2004-05-01,62524146.0
2004-06-01,61750848.0
2004-07-01,61721392.0
2004-08-01,61196614.0
2004-09-01,61256350.0
2004-10-01,62985335.0
2004-11-01,62311496.0
2004-12-01,58903754.0
2005-01-01,57745000.0
2005-02-01,57440000.0
2005-03-01,57579000.0
2005-04-01,57031000.0
2005-05-01,56338000.0
2005-06-01,55704000.0
2005-07-01,54750000.0
2005-08-01,54893000.0
2005-09-01,54564000.0
2005-10-01,54018000.0
2005-11-01,53975000.0
2005-12-01,50629000.0
2006-01-01,49093000.0
2006-02-01,49040000.0
2006-03-01,49130000.0
2006-04-01,49148000.0
2006-05-01,49422000.0
2006-06-01,49495000.0
2006-07-01,47847000.0
2006-08-01,47162000.0
2006-09-01,47030000.0
2006-10-01,46527000.0
2006-11-01,43310000.0
2006-12-01,43094000.0
2007-01-01,42237000.0
2007-02-01,42227000.0
2007-03-01,42222000.0
2007-04-01,42187000.0
2007-05-01,41015000.0
2007-06-01,40993000.0
2007-07-01,39443000.0
2007-08-01,39115000.0
2007-09-01,39836000.0
2007-10-01,37841000.0
2007-11-01,37693000.0
2007-12-01,34728000.0
2008-01-01,34682769.0
2008-02-01,34677680.0
2008-03-01,34824114.0
2008-04-01,34797904.0
2008-05-01,33209063.0
2008-06-01,33240159.0
2008-07-01,33656181.0
2008-08-01,33136390.0
2008-09-01,32010165.0
2008-10-01,30176179.0
2008-11-01,28690985.0
2008-12-01,26135908.0
2009-01-01,25988312.0
2009-02-01,26003586.0
2009-03-01,26025570.0
2009-04-01,25981544.0
2009-05-01,23384224.0
2009-06-01,22997559.0
2009-07-01,24503673.0
2009-08-01,23322713.0
2009-09-01,21973667.0
2009-10-01,20545758.0
2009-11-01,17572430.0
2009-12-01,16772430.0
2010-01-01,16771330.0
2010-02-01,16769130.0
2010-03-01,16548685.0
2010-04-01,16926402.0
2010-05-01,11897128.0
2010-06-01,11896928.0
2010-07-01,10896278.0
2010-08-01,10635778.0
2010-09-01,5790778.0
2010-10-01,3983905.0
2010-11-01,3462505.0
2010-12-01,2463000.0
2011-01-01,2461805.0
2011-02-01,2460705.0
2011-03-01,2460705.0
2011-04-01,2460005.0
2011-05-01,2460005.0
2011-06-01,2459405.0
2011-07-01,2456405.0
2011-08-01,2456255.0
2011-09-01,2456255.0
2011-10-01,2455955.0
2011-11-01,2455955.0
2011-12-01,2423655.0
2012-01-01,2423700.0
2012-02-01,2423305.0
2012-03-01,2423100.0
2012-04-01,2423105.0
2012-05-01,2422605.0
2012-06-01,2421855.0
2012-07-01,2411855.0
2012-08-01,2411355.0
2012-09-01,2411055.0
2012-10-01,1870117.0
2012-11-01,1870117.0
2012-12-01,1869600.0
2013-01-01,1857967.0
2013-02-01,1857967.0
2013-03-01,1857967.0
2013-04-01,1857967.0
2013-05-01,1857967.0
2013-06-01,1857967.0
2013-07-01,1852917.0
2013-08-01,1852917.0
2013-09-01,1852917.0
2013-10-01,1252900.0
2013-11-01,1252917.0
2013-12-01,1252917.0
2014-01-01,1252917.0
2014-02-01,1251417.0
2014-03-01,1251417.0
2014-04-01,1250917.0
2014-05-01,1250917.0
2014-06-01,1250917.0
2014-07-01,1250417.0
2014-08-01,1250417.0
2014-09-01,1248917.0
2014-10-01,648767.0
2014-11-01,648267.0
2014-12-01,648267.0
2015-01-01,648267.0
2015-02-01,647767.0
2015-03-01,647767.0
2015-04-01,647800.0
2015-05-01,647667.0
2015-06-01,647667.0
2015-07-01,647667.0
2015-08-01,647667.0
2015-09-01,647667.0
2015-10-01,47667.0
2015-11-01,47667.0
2015-12-01,47667.0
2016-01-01,47417.0
2016-02-01,47417.0
2016-03-01,47417.0
2016-04-01,47317.0
2016-05-01,47317.0
2016-06-01,47067.0
2016-07-01,47067.0
2016-08-01,47067.0
2016-09-01,47067.0
2016-10-01,47067.0
2016-11-01,46117.0
2016-12-01,46117.0
2017-01-01,46117.0
2017-02-01,45917.0
2017-03-01,45667.0
2017-04-01,45667.0
2017-05-01,45667.0
2017-06-01,45667.0
2017-07-01,45667.0
2017-08-01,45667.0
2017-09-01,45667.0
2017-10-01,45667.0
2017-11-01,45667.0
2017-12-01,45667.0
2018-01-01,45417.0
2018-02-01,45417.0
2018-03-01,45417.0
2018-04-01,45417.0
2018-05-01,45417.0
2018-06-01,45417.0
2018-07-01,45417.0
2018-08-01,45317.0
2018-09-01,45317.0
2018-10-01,45317.0
2018-11-01,45317.0
2018-12-01,45317.0
