Tarih,TP_KB_A02
2000-01-01,19507235.0
2000-02-01,20506877.0
2000-03-01,21763250.0
2000-04-01,23478256.0
2000-05-01,25156923.0
2000-06-01,25676565.0
2000-07-01,26681018.0
2000-08-01,26042442.0
2000-09-01,26116699.0
2000-10-01,27015914.0
2000-11-01,27721434.0
2000-12-01,27373224.0
2001-01-01,26770996.0
2001-02-01,23911998.0
2001-03-01,23403539.0
2001-04-01,22025314.0
2001-05-01,18420191.0
2001-06-01,25400416.0
2001-07-01,28915548.0
2001-08-01,30008436.0
2001-09-01,34372447.0
2001-10-01,34837246.0
2001-11-01,40826758.0
2001-12-01,40703763.0
2002-01-01,42384319.0
2002-02-01,37122745.0
2002-03-01,38316785.0
2002-04-01,41269017.0
2002-05-01,41123955.0
2002-06-01,41440272.0
2002-07-01,40080305.0
2002-08-01,42304082.0
2002-09-01,44961993.0
2002-10-01,47680162.0
2002-11-01,49759228.0
2002-12-01,52251115.0
2003-01-01,59964342.0
2003-02-01,61082499.0
2003-03-01,63844003.0
2003-04-01,70635860.0
2003-05-01,75914961.0
2003-06-01,77266286.0
2003-07-01,83894482.0
2003-08-01,87022499.0
2003-09-01,87403842.0
2003-10-01,91044336.0
2003-11-01,98215413.0
2003-12-01,105841900.0
2004-01-01,111598147.0
2004-02-01,115781436.0
2004-03-01,119292729.0
2004-04-01,123018114.0
2004-05-01,124467472.0
2004-06-01,123439142.0
2004-07-01,124174360.0
2004-08-01,122765500.0
2004-09-01,125407685.0
2004-10-01,129376805.0
2004-11-01,134675099.0
2004-12-01,135306946.0
2005-01-01,137254000.0
2005-02-01,144924000.0
2005-03-01,145318000.0
2005-04-01,146865000.0
2005-05-01,147468000.0
2005-06-01,148983000.0
2005-07-01,154026000.0
2005-08-01,160595000.0
2005-09-01,166655000.0
2005-10-01,167223000.0
2005-11-01,171910000.0
2005-12-01,176335000.0
2006-01-01,178432000.0
2006-02-01,181108000.0
2006-03-01,181407000.0
2006-04-01,184882000.0
2006-05-01,190490000.0
2006-06-01,188730000.0
2006-07-01,189545000.0
2006-08-01,190542000.0
2006-09-01,188073000.0
2006-10-01,193184000.0
2006-11-01,198399000.0
2006-12-01,198783000.0
2007-01-01,204379000.0
2007-02-01,211236000.0
2007-03-01,212049000.0
2007-04-01,211226000.0
2007-05-01,209030000.0
2007-06-01,203802000.0
2007-07-01,209901000.0
2007-08-01,212318000.0
2007-09-01,211752000.0
2007-10-01,213513000.0
2007-11-01,213088000.0
2007-12-01,214448000.0
2008-01-01,219121828.0
2008-02-01,222554049.0
2008-03-01,228306261.0
2008-04-01,230010514.0
2008-05-01,224122240.0
2008-06-01,223774436.0
2008-07-01,222230459.0
2008-08-01,221787955.0
2008-09-01,225280740.0
2008-10-01,232083955.0
2008-11-01,232786481.0
2008-12-01,234713087.0
2009-01-01,241796045.0
2009-02-01,250762210.0
2009-03-01,250895334.0
2009-04-01,256400949.0
2009-05-01,263101907.0
2009-06-01,266558441.0
2009-07-01,272813550.0
2009-08-01,276334149.0
2009-09-01,282734728.0
2009-10-01,290721522.0
2009-11-01,297582501.0
2009-12-01,299196339.0
2010-01-01,303580040.0
2010-02-01,307588438.0
2010-03-01,310796133.0
2010-04-01,312902860.0
2010-05-01,315289869.0
2010-06-01,316728818.0
2010-07-01,324877400.0
2010-08-01,327739202.0
2010-09-01,333112759.0
2010-10-01,334982038.0
2010-11-01,337828486.0
2010-12-01,340854000.0
2011-01-01,343034240.0
2011-02-01,347202482.0
