Tarih,TP_KB_A01
2000-01-01,22142497.0
2000-02-01,23610211.0
2000-03-01,24881146.0
2000-04-01,26615770.0
2000-05-01,28301186.0
2000-06-01,28852528.0
2000-07-01,29794700.0
2000-08-01,29134573.0
2000-09-01,29158381.0
2000-10-01,30057596.0
2000-11-01,30763116.0
2000-12-01,34362937.0
2001-01-01,40993241.0
2001-02-01,39381343.0
2001-03-01,43397288.0
2001-04-01,49042579.0
2001-05-01,71155889.0
2001-06-01,78035149.0
2001-07-01,83934048.0
2001-08-01,86503872.0
2001-09-01,91693849.0
2001-10-01,95273153.0
2001-11-01,102873085.0
2001-12-01,102127926.0
2002-01-01,107865322.0
2002-02-01,98035474.0
2002-03-01,98879890.0
2002-04-01,100494738.0
2002-05-01,98174402.0
2002-06-01,98819328.0
2002-07-01,97403928.0
2002-08-01,102310962.0
2002-09-01,105401430.0
2002-10-01,108248417.0
2002-11-01,110077663.0
2002-12-01,112849835.0
2003-01-01,119909010.0
2003-02-01,121335194.0
2003-03-01,124951441.0
2003-04-01,129227114.0
2003-05-01,134687572.0
2003-06-01,135872394.0
2003-07-01,142584054.0
2003-08-01,145506860.0
2003-09-01,145738668.0
2003-10-01,149333954.0
2003-11-01,155842520.0
2003-12-01,168973626.0
2004-01-01,174049013.0
2004-02-01,178214016.0
2004-03-01,181484715.0
2004-04-01,185285804.0
2004-05-01,186991618.0
2004-06-01,185189991.0
2004-07-01,185895752.0
2004-08-01,183962113.0
2004-09-01,186664035.0
2004-10-01,192362140.0
2004-11-01,196986595.0
2004-12-01,194210700.0
2005-01-01,194999000.0
2005-02-01,202365000.0
2005-03-01,202897000.0
2005-04-01,203896000.0
2005-05-01,203807000.0
2005-06-01,204687000.0
2005-07-01,208776000.0
2005-08-01,215489000.0
2005-09-01,221219000.0
2005-10-01,221242000.0
2005-11-01,225885000.0
2005-12-01,226964000.0
2006-01-01,227525000.0
2006-02-01,230148000.0
2006-03-01,230537000.0
2006-04-01,234030000.0
2006-05-01,239912000.0
2006-06-01,238226000.0
2006-07-01,237392000.0
2006-08-01,237704000.0
2006-09-01,235103000.0
2006-10-01,239711000.0
2006-11-01,241708000.0
2006-12-01,241876000.0
2007-01-01,246616000.0
2007-02-01,253463000.0
2007-03-01,254271000.0
