Tarih,TP_PBD_S16
2019-09-01,36584.0
2019-10-01,31777.0
2019-11-01,31985.0
2019-12-01,32189.0
2020-01-01,32474.0
2020-02-01,30000.0
2020-03-01,30238.0
2020-04-01,30355.0
2020-05-01,30000.0
2020-06-01,30125.0
2020-07-01,30180.0
2020-08-01,30200.0
2020-09-01,30230.0
2020-10-01,30000.0
2020-11-01,500.0
2020-12-01,0.0
2021-01-01,510.0
2021-02-01,330.0
2021-03-01,20306.0
2021-04-01,220.0
2021-05-01,260.0
2021-06-01,290.0
2021-07-01,100.0
2021-08-01,170.0
2021-09-01,330.0
2021-10-01,340.0
2021-11-01,120.0
2021-12-01,0.0
2022-01-01,80.0
2022-02-01,130.0
2022-03-01,200.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,1552.0
2022-08-01,46.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,13740622.0
2023-03-01,7050538.0
2023-04-01,2163207.0
2023-05-01,0.0
2023-06-01,13500000.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,230.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,3198337.0
2024-11-01,3941253.0
2024-12-01,1867192.0
2025-01-01,4598073.0
2025-02-01,7080836.0
2025-03-01,10474141.0
2025-04-01,6464916.0
2025-05-01,6558054.0
2025-06-01,6885203.0
2025-07-01,8246389.0
2025-08-01,3606375.0
