Tarih,TP_PBD_S371
2021-06-01,4550462.0
2021-07-01,4773303.0
2021-08-01,5041714.0
2021-09-01,5225319.0
2021-10-01,6408788.0
2021-11-01,30116153.0
2021-12-01,25056573.0
2022-01-01,18873918.0
2022-02-01,19058890.0
2022-03-01,19817199.0
2022-04-01,17998397.0
2022-05-01,23220844.0
2022-06-01,20932795.0
2022-07-01,21676219.0
2022-08-01,19597289.0
2022-09-01,20662529.0
2022-10-01,16760345.0
2022-11-01,16425631.0
2022-12-01,16964272.0
2023-01-01,14352095.0
2023-02-01,13292020.0
2023-03-01,14400020.0
2023-04-01,17712819.0
2023-05-01,21917245.0
2023-06-01,65082747.0
2023-07-01,50954171.0
2023-08-01,34653020.0
2023-09-01,33023317.0
2023-10-01,26606852.0
2023-11-01,24114577.0
2023-12-01,20013191.0
2024-01-01,19284892.0
2024-02-01,21490585.0
2024-03-01,23672783.0
2024-04-01,24539923.0
2024-05-01,19677751.0
2024-06-01,21558131.0
2024-07-01,19101690.0
2024-08-01,18416203.0
2024-09-01,18060869.0
2024-10-01,25183241.0
2024-11-01,27715854.0
2024-12-01,30600623.0
2025-01-01,31834765.0
2025-02-01,26098740.0
2025-03-01,20968353.0
2025-04-01,18633029.0
2025-05-01,16877302.0
2025-06-01,17745142.0
2025-07-01,21703105.0
2025-08-01,21536714.0
