Tarih,TP_PBD_S17
2021-09-01,480203.0
2021-10-01,549324.0
2021-11-01,1040195.0
2021-12-01,646487.0
2022-01-01,426677.0
2022-02-01,425184.0
2022-03-01,509377.0
2022-04-01,519014.0
2022-05-01,612577.0
2022-06-01,449031.0
2022-07-01,516858.0
2022-08-01,630775.0
2022-09-01,611607.0
2022-10-01,1596324.0
2022-11-01,41453786.0
2022-12-01,89595654.0
2023-01-01,63214667.0
2023-02-01,19575771.0
2023-03-01,5151963.0
2023-04-01,5146778.0
2023-05-01,5870737.0
2023-06-01,6737059.0
2023-07-01,7073264.0
2023-08-01,6838343.0
2023-09-01,7733936.0
2023-10-01,8601843.0
2023-11-01,8843968.0
2023-12-01,10577584.0
2024-01-01,11388167.0
2024-02-01,11860049.0
2024-03-01,13428590.0
2024-04-01,12401494.0
2024-05-01,18032520.0
2024-06-01,17111252.0
2024-07-01,18305658.0
2024-08-01,18509350.0
2024-09-01,67057997.0
2024-10-01,88465134.0
2024-11-01,120940241.0
2024-12-01,145926689.0
2025-01-01,185163390.0
2025-02-01,194594288.0
2025-03-01,223692303.0
2025-04-01,233120080.0
2025-05-01,215677061.0
2025-06-01,211646908.0
2025-07-01,203470508.0
2025-08-01,217732502.0
