Tarih,TP_PBD_K03
2000-01-01,3896153.0
2000-02-01,4162749.0
2000-03-01,4345472.0
2000-04-01,4311040.0
2000-05-01,4402468.0
2000-06-01,4836387.0
2000-07-01,4872226.0
2000-08-01,4816460.0
2000-09-01,4942485.0
2000-10-01,5156157.0
2000-11-01,4834682.0
2000-12-01,5152634.0
2001-01-01,4673037.0
2001-02-01,5282360.0
2001-03-01,6456237.0
2001-04-01,6861323.0
2001-05-01,6576172.0
2001-06-01,7364832.0
2001-07-01,7436229.0
2001-08-01,7968309.0
2001-09-01,8863285.0
2001-10-01,9905927.0
2001-11-01,9559558.0
2001-12-01,9845537.0
2002-01-01,9576278.0
2002-02-01,9813990.0
2002-03-01,9614450.0
2002-04-01,9940312.0
2002-05-01,10200810.0
2002-06-01,9969931.0
2002-07-01,10465269.0
2002-08-01,10340199.0
2002-09-01,11620435.0
2002-10-01,11307340.0
2002-11-01,11210175.0
2002-12-01,11869557.0
2003-01-01,12002631.0
2003-02-01,11641789.0
2003-03-01,12506789.0
2003-04-01,11453611.0
2003-05-01,11192288.0
2003-06-01,11281889.0
2003-07-01,10633953.0
2003-08-01,11310374.0
2003-09-01,11868803.0
2003-10-01,12343038.0
2003-11-01,12866583.0
2003-12-01,12961215.0
2004-01-01,12982526.0
2004-02-01,13186735.0
2004-03-01,13255426.0
2004-04-01,13054586.0
2004-05-01,14588384.0
2004-06-01,15420394.0
2004-07-01,14726633.0
2004-08-01,15231053.0
2004-09-01,17315730.0
2004-10-01,16331813.0
2004-11-01,16635205.0
2004-12-01,18475560.0
2005-01-01,16509284.0
2005-02-01,18038075.0
2005-03-01,18813536.0
2005-04-01,17795229.0
2005-05-01,17024814.0
2005-06-01,19118059.0
2005-07-01,19393064.0
2005-08-01,18815612.0
2005-09-01,21541847.0
2005-10-01,20284475.0
2005-11-01,19135257.0
2005-12-01,26509557.0
2006-01-01,21289839.0
2006-02-01,22318684.0
2006-03-01,25815403.0
2006-04-01,28002212.0
2006-05-01,24248417.0
2006-06-01,29951329.0
2006-07-01,26166377.0
2006-08-01,26056215.0
2006-09-01,29016744.0
2006-10-01,25793943.0
2006-11-01,26472438.0
2006-12-01,32775487.0
2007-01-01,29824884.0
2007-02-01,33010348.0
2007-03-01,30907978.0
2007-04-01,32038317.0
2007-05-01,27265226.0
2007-06-01,32292001.0
2007-07-01,32101718.0
2007-08-01,31442291.0
2007-09-01,30570994.0
2007-10-01,27959523.0
2007-11-01,30036010.0
2007-12-01,36046418.0
2008-01-01,31734051.0
2008-02-01,33134771.0
2008-03-01,35615185.0
2008-04-01,31763390.0
2008-05-01,35445443.0
2008-06-01,41701448.0
2008-07-01,38077467.0
2008-08-01,31748149.0
2008-09-01,35329501.0
2008-10-01,43808434.0
2008-11-01,45589349.0
2008-12-01,49493811.0
2009-01-01,36259978.0
2009-02-01,37636649.0
2009-03-01,46706448.0
2009-04-01,36279233.0
2009-05-01,42147275.0
2009-06-01,44122474.0
2009-07-01,37518121.0
2009-08-01,34312898.0
2009-09-01,48241582.0
2009-10-01,39148364.0
2009-11-01,28310959.0
2009-12-01,42366504.0
2010-01-01,33939426.0
2010-02-01,33945932.0
2010-03-01,35586635.0
2010-04-01,38397850.0
2010-05-01,38981660.0
2010-06-01,45375502.0
2010-07-01,37592372.0
2010-08-01,39779945.0
2010-09-01,41487358.0
2010-10-01,43945151.0
2010-11-01,50062388.0
2010-12-01,51136720.0
2011-01-01,63987885.0
2011-02-01,72631056.0
2011-03-01,68687578.0
2011-04-01,87789793.0
2011-05-01,99432855.0
2011-06-01,105743124.0
2011-07-01,104622065.0
2011-08-01,107393038.0
2011-09-01,106475463.0
2011-10-01,104916012.0
2011-11-01,91730424.0
2011-12-01,83879464.0
2012-01-01,78997304.0
2012-02-01,88294988.0
2012-03-01,91879318.0
2012-04-01,92938418.0
2012-05-01,91980803.0
2012-06-01,88138411.0
2012-07-01,93944267.0
2012-08-01,104483917.0
2012-09-01,105902251.0
2012-10-01,114012107.0
2012-11-01,112877959.0
2012-12-01,117766964.0
2013-01-01,120976677.0
2013-02-01,126181491.0
2013-03-01,136907179.0
2013-04-01,138592755.0
2013-05-01,140629430.0
2013-06-01,139166163.0
2013-07-01,138614608.0
2013-08-01,160990876.0
2013-09-01,161278605.0
2013-10-01,162769680.0
2013-11-01,163096313.0
2013-12-01,172466412.0
2014-01-01,178592884.0
2014-02-01,182535310.0
2014-03-01,179837633.0
2014-04-01,181477877.0
2014-05-01,177967619.0
2014-06-01,183033741.0
2014-07-01,182585079.0
2014-08-01,187866456.0
2014-09-01,193610707.0
2014-10-01,187228230.0
2014-11-01,188105272.0
2014-12-01,194363329.0
2015-01-01,201618268.0
2015-02-01,206115683.0
2015-03-01,208448255.0
2015-04-01,219382225.0
2015-05-01,212969062.0
2015-06-01,218248413.0
2015-07-01,229123517.0
2015-08-01,243170976.0
2015-09-01,257762880.0
2015-10-01,237803976.0
2015-11-01,238579992.0
2015-12-01,229239771.0
2016-01-01,233914979.0
2016-02-01,243554918.0
2016-03-01,243953621.0
2016-04-01,236920793.0
2016-05-01,245963936.0
2016-06-01,253640227.0
2016-07-01,254813035.0
2016-08-01,261830341.0
2016-09-01,259262874.0
2016-10-01,269529502.0
2016-11-01,270003766.0
2016-12-01,261934998.0
2017-01-01,270021155.0
2017-02-01,266826262.0
2017-03-01,272269135.0
2017-04-01,268911074.0
2017-05-01,278448715.0
2017-06-01,292528544.0
2017-07-01,288395466.0
2017-08-01,279400545.0
2017-09-01,285880789.0
2017-10-01,305613646.0
2017-11-01,317057542.0
2017-12-01,308190072.0
2018-01-01,317876546.0
2018-02-01,323087960.0
2018-03-01,329454883.0
2018-04-01,327822538.0
2018-05-01,356297139.0
2018-06-01,348923134.0
2018-07-01,368092918.0
2018-08-01,390997530.0
2018-09-01,338665582.0
2018-10-01,318468255.0
2018-11-01,309158137.0
2018-12-01,326986933.0
2019-01-01,309856140.0
2019-02-01,311326388.0
2019-03-01,336875069.0
2019-04-01,356847145.0
2019-05-01,369282998.0
2019-06-01,364561146.0
2019-07-01,339835611.0
2019-08-01,344429686.0
2019-09-01,331710171.0
2019-10-01,356549228.0
2019-11-01,334460560.0
2019-12-01,334823036.0
2020-01-01,343352323.0
2020-02-01,384646805.0
2020-03-01,357378484.0
2020-04-01,372826304.0
2020-05-01,367459909.0
2020-06-01,357934301.0
2020-07-01,405385105.0
2020-08-01,391651471.0
2020-09-01,428515530.0
2020-10-01,485672898.0
2020-11-01,457005611.0
2020-12-01,542750687.0
2021-01-01,516602791.0
2021-02-01,513888202.0
2021-03-01,560271810.0
2021-04-01,574046913.0
2021-05-01,606743351.0
2021-06-01,597749999.0
2021-07-01,613872681.0
2021-08-01,640657032.0
2021-09-01,684263916.0
2021-10-01,744974048.0
2021-11-01,1094930661.0
2021-12-01,1144623433.0
2022-01-01,1088302900.0
2022-02-01,1048476283.0
2022-03-01,1078485473.0
2022-04-01,1115176267.0
2022-05-01,1230507102.0
2022-06-01,1303432363.0
2022-07-01,1408817894.0
2022-08-01,1475422719.0
2022-09-01,1532618700.0
2022-10-01,1560539803.0
2022-11-01,1572260340.0
2022-12-01,1630305763.0
2023-01-01,1593060473.0
2023-02-01,1553725979.0
2023-03-01,1638610779.0
2023-04-01,1690757684.0
2023-05-01,1546442251.0
2023-06-01,1765327823.0
2023-07-01,2026173551.0
2023-08-01,2311234530.0
2023-09-01,2780893227.0
2023-10-01,2726019665.0
2023-11-01,2952859376.0
2023-12-01,3080979420.0
2024-01-01,2888701566.0
2024-02-01,3038555965.0
2024-03-01,3350240561.0
2024-04-01,3305203383.0
2024-05-01,3603122348.0
2024-06-01,3846724109.0
2024-07-01,3932020430.0
2024-08-01,4200049880.0
2024-09-01,4237005820.0
2024-10-01,4343722337.0
2024-11-01,4224180009.0
2024-12-01,4480336244.0
2025-01-01,4771073561.0
2025-02-01,4864027155.0
2025-03-01,5169333225.0
2025-04-01,5180792708.0
2025-05-01,5342477850.0
2025-06-01,5400180985.0
2025-07-01,5876837526.0
2025-08-01,5919350024.0
