Tarih,TP_PBD_S02
2018-07-01,3017857.0
2018-08-01,2593629.0
2018-09-01,2896171.0
2018-10-01,2463257.0
2018-11-01,2992213.0
2018-12-01,2510710.0
2019-01-01,2291195.0
2019-02-01,2282015.0
2019-03-01,1965287.0
2019-04-01,2027467.0
2019-05-01,2235679.0
2019-06-01,2250174.0
2019-07-01,2356441.0
2019-08-01,2293261.0
2019-09-01,2274694.0
2019-10-01,2122015.0
2019-11-01,2678038.0
2019-12-01,3035142.0
2020-01-01,2583644.0
2020-02-01,2550936.0
2020-03-01,2504687.0
2020-04-01,2618067.0
2020-05-01,2830197.0
2020-06-01,3346833.0
2020-07-01,2786482.0
2020-08-01,2900718.0
2020-09-01,3071996.0
2020-10-01,2879821.0
2020-11-01,3644109.0
2020-12-01,3885426.0
2021-01-01,3395219.0
2021-02-01,3301783.0
2021-03-01,3502898.0
2021-04-01,3086382.0
2021-05-01,4068313.0
2021-06-01,4080971.0
2021-07-01,3667877.0
2021-08-01,3423102.0
2021-09-01,3762692.0
2021-10-01,3703511.0
2021-11-01,4269424.0
2021-12-01,4591002.0
2022-01-01,4182181.0
2022-02-01,3772832.0
2022-03-01,4337301.0
2022-04-01,3746160.0
2022-05-01,5463571.0
2022-06-01,5494160.0
2022-07-01,6003758.0
2022-08-01,5494969.0
2022-09-01,5504570.0
2022-10-01,5720273.0
2022-11-01,6785673.0
2022-12-01,9365890.0
2023-01-01,7727140.0
2023-02-01,8011964.0
2023-03-01,7797177.0
2023-04-01,7701035.0
2023-05-01,11714212.0
2023-06-01,12060001.0
2023-07-01,10082860.0
2023-08-01,11984227.0
2023-09-01,10810429.0
2023-10-01,10504135.0
2023-11-01,11373439.0
2023-12-01,13032576.0
2024-01-01,11528807.0
2024-02-01,9585010.0
2024-03-01,9099491.0
2024-04-01,7873706.0
2024-05-01,10049014.0
2024-06-01,9440055.0
2024-07-01,11308172.0
2024-08-01,9452725.0
2024-09-01,10210209.0
2024-10-01,8853255.0
2024-11-01,9914786.0
2024-12-01,12248585.0
2025-01-01,9446424.0
2025-02-01,8301104.0
2025-03-01,8633179.0
2025-04-01,9306763.0
2025-05-01,11487265.0
2025-06-01,12809778.0
2025-07-01,14349270.0
2025-08-01,12565958.0
