Tarih,TP_PBD_K05
2017-11-01,73246416.0
2017-12-01,89993151.0
2018-01-01,87277426.0
2018-02-01,90341056.0
2018-03-01,84765247.0
2018-04-01,82895185.0
2018-05-01,93206683.0
2018-06-01,105718413.0
2018-07-01,108465595.0
2018-08-01,159118255.0
2018-09-01,165757146.0
2018-10-01,166481764.0
2018-11-01,154715407.0
2018-12-01,166180128.0
2019-01-01,138564228.0
2019-02-01,138800790.0
2019-03-01,159948594.0
2019-04-01,165757686.0
2019-05-01,164838608.0
2019-06-01,164373191.0
2019-07-01,153165206.0
2019-08-01,149189735.0
2019-09-01,155188808.0
2019-10-01,169028258.0
2019-11-01,158732582.0
2019-12-01,164760878.0
2020-01-01,163593492.0
2020-02-01,183305664.0
2020-03-01,177102274.0
2020-04-01,192146837.0
2020-05-01,185272974.0
2020-06-01,170597185.0
2020-07-01,186104987.0
2020-08-01,201141746.0
2020-09-01,186304875.0
2020-10-01,232399765.0
2020-11-01,213771541.0
2020-12-01,248545697.0
2021-01-01,224336663.0
2021-02-01,210030328.0
2021-03-01,249833636.0
2021-04-01,266217346.0
2021-05-01,286315924.0
2021-06-01,277535733.0
2021-07-01,294826171.0
2021-08-01,301333108.0
2021-09-01,321844165.0
2021-10-01,325433761.0
2021-11-01,478101534.0
2021-12-01,525043728.0
2022-01-01,470711382.0
2022-02-01,437301730.0
2022-03-01,454983995.0
2022-04-01,484560740.0
2022-05-01,492363573.0
2022-06-01,511254055.0
2022-07-01,568369560.0
2022-08-01,623871102.0
2022-09-01,640058995.0
2022-10-01,676169443.0
2022-11-01,657168543.0
2022-12-01,720602951.0
2023-01-01,769116146.0
2023-02-01,739073884.0
2023-03-01,808270243.0
2023-04-01,799395418.0
2023-05-01,690973518.0
2023-06-01,732957464.0
2023-07-01,1048448402.0
2023-08-01,1350033325.0
2023-09-01,1713957643.0
2023-10-01,1627024487.0
2023-11-01,1611131835.0
2023-12-01,1722999440.0
2024-01-01,1497394451.0
2024-02-01,1425724718.0
