Tarih,TP_PBD_K37
2000-01-01,49703.0
2000-02-01,28010.0
2000-03-01,35151.0
2000-04-01,28252.0
2000-05-01,17058.0
2000-06-01,23853.0
2000-07-01,20194.0
2000-08-01,23440.0
2000-09-01,29359.0
2000-10-01,20643.0
2000-11-01,31253.0
2000-12-01,25525.0
2001-01-01,23675.0
2001-02-01,29966.0
2001-03-01,38468.0
2001-04-01,39413.0
2001-05-01,40535.0
2001-06-01,47054.0
2001-07-01,47563.0
2001-08-01,52523.0
2001-09-01,53866.0
2001-10-01,50430.0
2001-11-01,57663.0
2001-12-01,57262.0
2002-01-01,45572.0
2002-02-01,43981.0
2002-03-01,52554.0
2002-04-01,46339.0
2002-05-01,64635.0
2002-06-01,75799.0
2002-07-01,101230.0
2002-08-01,108305.0
2002-09-01,80550.0
2002-10-01,74650.0
2002-11-01,83999.0
2002-12-01,119933.0
2003-01-01,117717.0
2003-02-01,114377.0
2003-03-01,129055.0
2003-04-01,61132.0
2003-05-01,92432.0
2003-06-01,102058.0
2003-07-01,110414.0
2003-08-01,104975.0
2003-09-01,128065.0
2003-10-01,140309.0
2003-11-01,141347.0
2003-12-01,210874.0
2004-01-01,198971.0
2004-02-01,207439.0
2004-03-01,203301.0
2004-04-01,401483.0
2004-05-01,278526.0
2004-06-01,267037.0
2004-07-01,273194.0
2004-08-01,258182.0
2004-09-01,226459.0
2004-10-01,194511.0
2004-11-01,223328.0
2004-12-01,262427.0
2005-01-01,169260.0
2005-02-01,170027.0
2005-03-01,202341.0
2005-04-01,250579.0
2005-05-01,237265.0
2005-06-01,436246.0
2005-07-01,328189.0
2005-08-01,332851.0
2005-09-01,329511.0
2005-10-01,283390.0
2005-11-01,296221.0
2005-12-01,426497.0
2006-01-01,378821.0
2006-02-01,318107.0
2006-03-01,377311.0
2006-04-01,571683.0
2006-05-01,734346.0
2006-06-01,722364.0
2006-07-01,683219.0
2006-08-01,589085.0
2006-09-01,658598.0
2006-10-01,559692.0
2006-11-01,651720.0
2006-12-01,600602.0
2007-01-01,1175700.0
2007-02-01,1130946.0
2007-03-01,1432053.0
2007-04-01,1208120.0
2007-05-01,1086290.0
2007-06-01,1739090.0
2007-07-01,1475857.0
2007-08-01,1351721.0
2007-09-01,1815035.0
2007-10-01,1484393.0
2007-11-01,1644387.0
2007-12-01,2318222.0
2008-01-01,1737391.0
2008-02-01,1780861.0
2008-03-01,2461345.0
2008-04-01,2044252.0
2008-05-01,2042889.0
2008-06-01,2953826.0
2008-07-01,2438221.0
2008-08-01,2569027.0
2008-09-01,3005447.0
2008-10-01,2314719.0
2008-11-01,2027261.0
2008-12-01,1988212.0
2009-01-01,1415726.0
2009-02-01,1106898.0
2009-03-01,2191286.0
2009-04-01,2469443.0
2009-05-01,2493123.0
2009-06-01,3865116.0
2009-07-01,3704881.0
2009-08-01,4430893.0
2009-09-01,5446115.0
2009-10-01,4844850.0
2009-11-01,5267685.0
2009-12-01,7035220.0
2010-01-01,6731114.0
2010-02-01,7109521.0
2010-03-01,8403745.0
2010-04-01,8355939.0
2010-05-01,8796440.0
2010-06-01,9960459.0
2010-07-01,9979014.0
2010-08-01,9777858.0
2010-09-01,11169287.0
2010-10-01,10566951.0
2010-11-01,10935065.0
2010-12-01,12532982.0
2011-01-01,10039424.0
2011-02-01,9867991.0
2011-03-01,10109164.0
2011-04-01,9455713.0
2011-05-01,9496371.0
2011-06-01,10377223.0
2011-07-01,9504874.0
2011-08-01,9060411.0
2011-09-01,9315837.0
2011-10-01,8990129.0
2011-11-01,8770668.0
2011-12-01,9732422.0
2012-01-01,8219206.0
2012-02-01,8029721.0
2012-03-01,9059591.0
2012-04-01,8098910.0
2012-05-01,8394764.0
