Tarih,TP_UREN_S35_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,65.26
2009-04-01,83.71
2009-07-01,85.23
2009-10-01,71.93
2010-01-01,63.43
2010-04-01,74.54
2010-07-01,71.51
2010-10-01,74.0
2011-01-01,61.53
2011-04-01,76.62
2011-07-01,75.03
2011-10-01,72.99
2012-01-01,58.19
2012-04-01,70.84
2012-07-01,70.42
2012-10-01,75.67
2013-01-01,59.6
2013-04-01,73.05
2013-07-01,73.11
2013-10-01,75.82
2014-01-01,60.0
2014-04-01,70.14
2014-07-01,73.11
2014-10-01,74.1
2015-01-01,63.17
2015-04-01,77.08
2015-07-01,82.18
2015-10-01,82.45
2016-01-01,69.32
2016-04-01,77.6
2016-07-01,80.21
2016-10-01,86.37
2017-01-01,76.71
2017-04-01,90.81
2017-07-01,105.48
2017-10-01,84.92
2018-01-01,73.78
2018-04-01,81.57
2018-07-01,87.97
2018-10-01,102.45
2019-01-01,84.26
2019-04-01,99.97
2019-07-01,83.62
2019-10-01,95.59
2020-01-01,79.0
2020-04-01,96.45
2020-07-01,98.04
2020-10-01,107.18
2021-01-01,83.67
2021-04-01,95.72
2021-07-01,105.43
2021-10-01,115.2
2022-01-01,89.26
2022-04-01,101.98
2022-07-01,102.68
2022-10-01,117.98
2023-01-01,93.83
2023-04-01,116.72
2023-07-01,99.51
2023-10-01,108.11
2024-01-01,91.55
2024-04-01,104.52
2024-07-01,104.22
2024-10-01,116.47
2025-01-01,93.0
2025-04-01,104.89
