Tarih,TP_UREN_S04_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,95.19
2009-04-01,88.5
2009-07-01,98.21
2009-10-01,96.34
2010-01-01,99.95
2010-04-01,99.25
2010-07-01,113.9
2010-10-01,106.85
2011-01-01,113.44
2011-04-01,103.36
2011-07-01,115.31
2011-10-01,109.82
2012-01-01,113.84
2012-04-01,101.97
2012-07-01,113.35
2012-10-01,100.62
2013-01-01,99.85
2013-04-01,94.2
2013-07-01,96.85
2013-10-01,90.07
2014-01-01,93.79
2014-04-01,89.01
2014-07-01,99.19
2014-10-01,87.59
2015-01-01,88.0
2015-04-01,83.71
2015-07-01,106.38
2015-10-01,87.95
2016-01-01,90.48
2016-04-01,90.22
2016-07-01,106.07
2016-10-01,92.51
2017-01-01,92.74
2017-04-01,88.11
2017-07-01,99.49
2017-10-01,82.4
2018-01-01,93.32
2018-04-01,84.53
2018-07-01,103.84
2018-10-01,84.08
2019-01-01,92.45
2019-04-01,91.75
2019-07-01,102.99
2019-10-01,85.21
2020-01-01,93.93
2020-04-01,88.53
2020-07-01,108.05
2020-10-01,96.34
2021-01-01,96.69
2021-04-01,96.13
2021-07-01,110.19
2021-10-01,97.01
2022-01-01,96.74
2022-04-01,88.15
2022-07-01,101.54
2022-10-01,77.6
2023-01-01,81.06
2023-04-01,77.37
2023-07-01,97.19
2023-10-01,78.46
2024-01-01,84.27
2024-04-01,88.4
2024-07-01,101.52
2024-10-01,89.55
2025-01-01,86.88
2025-04-01,90.01
