Tarih,TP_BKR_TRY_KTF18
2016-12-01,13.11
2017-01-01,13.49
2017-02-01,13.46
2017-03-01,13.72
2017-04-01,13.82
2017-05-01,14.07
2017-06-01,14.36
2017-07-01,14.53
2017-08-01,14.65
2017-09-01,14.72
2017-10-01,14.72
2017-11-01,14.94
2017-12-01,15.23
2018-01-01,15.34
2018-02-01,15.42
2018-03-01,15.61
2018-04-01,15.76
2018-05-01,16.6
2018-06-01,17.51
2018-07-01,17.94
2018-08-01,20.17
2018-09-01,22.04
2018-10-01,21.76
2018-11-01,21.26
2018-12-01,21.08
2019-01-01,20.47
2019-02-01,19.92
2019-03-01,19.9
2019-04-01,20.41
2019-05-01,21.08
2019-06-01,21.25
2019-07-01,20.57
2019-08-01,19.83
2019-09-01,18.39
2019-10-01,17.69
2019-11-01,16.73
2019-12-01,15.54
2020-01-01,14.66
2020-02-01,13.9
2020-03-01,13.47
2020-04-01,12.63
2020-05-01,12.11
2020-06-01,11.68
2020-07-01,11.46
2020-08-01,11.72
2020-09-01,11.91
2020-10-01,12.23
2020-11-01,12.96
2020-12-01,13.42
2021-01-01,13.72
2021-02-01,14.1
2021-03-01,14.62
2021-04-01,15.04
2021-05-01,15.4
2021-06-01,16.08
2021-07-01,16.33
2021-08-01,16.94
2021-09-01,16.93
2021-10-01,16.92
2021-11-01,16.8
2021-12-01,18.5
2022-01-01,18.35
2022-02-01,18.17
2022-03-01,18.16
2022-04-01,18.4
2022-05-01,19.22
2022-06-01,20.45
2022-07-01,21.27
2022-08-01,21.3
2022-09-01,20.33
2022-10-01,19.68
2022-11-01,18.74
2022-12-01,17.46
2023-01-01,16.75
2023-02-01,15.94
2023-03-01,15.78
2023-04-01,15.58
2023-05-01,15.49
2023-06-01,15.82
2023-07-01,18.58
2023-08-01,22.26
2023-09-01,28.46
2023-10-01,32.82
2023-11-01,37.11
2023-12-01,39.82
2024-01-01,41.77
2024-02-01,43.43
2024-03-01,47.09
2024-04-01,48.91
2024-05-01,49.97
2024-06-01,50.51
2024-07-01,50.61
2024-08-01,50.84
2024-09-01,50.97
2024-10-01,50.9
2024-11-01,50.8
2024-12-01,49.77
2025-01-01,48.96
2025-02-01,49.12
2025-03-01,48.95
2025-04-01,49.79
2025-05-01,50.4
2025-06-01,50.58
2025-07-01,49.66
2025-08-01,48.93
